Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715604707335
Timestamp end: 1715605607963

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      449.3   885.5   160.7   216.9   237.2   356.0   395.7   419.3   435.9   462.0   502.4   621.5  3365.9  9616.9 32068.5   7405.0     7434
read      408.1   448.7   148.8   200.7   215.2   342.0   418.6   466.1   503.7   553.9   626.2   753.9  1311.4  5856.4 14444.6  67335.8    67201
read      412.1   434.5   148.8   202.9   218.9   347.5   420.5   466.0   503.2   552.7   630.3   774.8  1347.4  4281.4 16618.7  86110.6    85927
read      395.7   372.1   148.8   199.8   214.2   338.1   412.0   458.7   494.8   541.2   607.9   728.1  1233.8  3254.7 13332.8  64277.8    63953
read      401.1   475.1   148.8   197.5   211.3   339.6   428.7   478.2   512.4   552.8   604.7   693.7  1162.5  6802.6 16033.5  31571.4    31595
read      410.5   476.0   148.8   204.7   221.3   348.1   420.5   466.6   504.0   551.3   622.2   754.8  1196.8  5375.8 15962.2  88023.0    87879
read      421.5   855.7   160.7   217.2   238.4   348.4   387.1   408.4   427.0   450.2   484.6   574.8  1702.8 12066.4 35612.0   7308.4     7287
read      396.8   408.7   148.8   198.1   212.3   335.4   409.4   456.6   493.4   541.5   609.7   735.1  1282.0  3923.2 12829.8  62253.8    62295
read      385.5   417.3   160.7   217.2   240.9   342.1   378.4   399.5   416.7   436.5   473.1   558.9  1361.0  5766.6 15487.7   6492.4     6561
read      494.6   880.2   148.8   199.1   214.1   377.4   475.7   534.8   584.5   656.2   769.3   951.3  2039.9 13914.3 32464.4  22496.4    22532
read      396.6   387.7   148.8   198.2   212.5   336.8   412.5   459.2   495.2   541.9   609.0   735.6  1289.2  3516.2 12822.0  60472.4    60653
