Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715641987079
Timestamp end: 1715642887598

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      473.9  1001.3   173.5   242.9   266.2   390.6   430.6   453.9   469.6   494.1   529.1   611.1  2337.3 14568.4 36054.0   7368.1     7434
read      417.2   397.1   148.8   213.9   228.9   357.7   437.3   486.9   525.5   572.8   633.0   738.9  1215.7  4765.3 12770.2  67174.5    67201
read      440.4   356.2   148.8   219.4   236.5   378.1   459.4   509.1   548.7   600.7   677.0   836.3  1420.0  3222.2 13022.8  85960.2    85927
read      423.8   444.8   148.8   214.1   229.3   362.2   443.1   493.5   532.7   580.5   640.8   758.9  1250.0  5135.7 14659.2  63909.8    63953
read      432.5   508.2   160.7   210.7   226.3   371.7   465.9   521.9   559.1   597.8   641.8   731.7  1172.1  8251.0 20747.6  31539.3    31595
read      429.3   366.9   160.7   218.9   235.9   373.6   450.5   498.0   535.5   583.2   649.6   782.4  1195.8  4422.3 12453.4  87883.0    87879
read      427.7   638.2   160.7   241.1   264.8   383.3   421.7   442.8   459.7   479.9   509.2   573.0  1085.3  9744.1 28830.7   7303.0     7287
read      422.2   391.2   160.7   214.2   229.3   361.9   444.3   495.2   534.6   582.6   643.1   765.2  1252.2  4091.3 12724.4  62401.9    62295
read      421.4   645.8   173.5   242.0   267.0   373.8   408.6   429.2   444.6   464.2   494.2   557.9  1421.4  7888.1 31279.7   6616.0     6561
read      422.1   414.1   160.7   213.3   228.8   377.1   472.2   517.1   544.8   576.0   614.2   687.2  1062.9  5022.7 13707.2  22447.4    22532
read      420.1   391.7   148.8   213.3   228.7   361.7   444.4   496.5   536.3   583.3   641.8   754.4  1175.1  4866.1 12134.1  60706.9    60653
read      418.6   364.2   148.8   213.4   228.6   360.3   442.9   495.3   535.5   583.5   642.2   748.5  1185.0  4158.9 12797.0  58957.0    59076
read      418.8   351.6   148.8   214.2   229.4   362.2   444.8   497.3   537.3   584.5   644.3   755.8  1168.5  3277.3 13523.8  60167.1    60154
read      431.9   499.2   160.7   212.1   227.3   377.0   480.5   527.9   556.9   587.5   627.5   708.2  1116.1  6304.3 23920.7  22984.9    22964
read      428.3   657.9   173.5   236.4   258.1   385.2   426.7   449.9   465.9   487.8   516.1   579.9  1167.1  8750.5 30442.0   8185.6     8172
read      426.1   366.2   148.8   211.4   226.6   368.6   475.1   528.8   562.4   597.7   641.3   730.7  1099.0  5109.5 12964.9  27667.5    27652
read      423.6   324.6   148.8   210.4   225.8   363.4   460.8   522.0   564.3   608.7   665.7   761.2  1175.7  3724.5 11567.8  37625.7    37594
read      430.8   516.8   160.7   212.1   227.4   373.5   476.3   525.2   555.5   587.0   629.0   710.8  1086.5  6755.0 25566.1  24396.3    24367
read      428.0   378.3   160.7   210.2   225.4   366.2   465.6   524.8   564.1   607.0   665.8   764.5  1198.0  4812.1 13103.5  33821.8    33771
read      437.7   445.3   148.8   217.5   234.5   377.7   456.4   504.9   543.3   592.4   669.7   801.1  1234.3  5521.3 14146.2  84880.2    84944
read      429.0   397.7   148.8   218.4   235.4   373.6   450.5   498.0   535.0   582.3   652.4   775.1  1153.1  4769.6 13536.6  85563.2    85666
read      422.6   373.7   160.7   213.2   228.3   361.5   448.7   504.9   547.8   597.9   667.9   775.0  1210.4  2940.8 14579.1  51982.2    51918
read      427.0   362.1   160.7   210.8   226.0   365.2   468.2   529.6   570.0   615.5   675.1   768.3  1134.9  3654.0 13914.8  34298.4    34406
read      428.7   355.5   160.7   211.3   226.5   370.1   477.9   534.2   570.5   611.7   667.0   754.8  1152.6  3296.7 12392.7  28827.5    28664
read      426.2   376.6   148.8   210.3   225.5   365.2   459.5   518.9   560.6   608.8   672.7   768.0  1178.4  4557.9 12595.9  38362.1    38289
