Random waveform, random seed
Total number of intervals = 84 (57360, 95703, 9728, 52767, 52975, 27127, 57515, 48265, 97638, 53318, 82180, 86449, 11716, 17639, 12752, 52971, 53461, 28638, 78178, 88938, 29473, 63691, 5451, 84889, 8247, 60530, 79775, 32707, 63266, 83704, 41173, 30323, 94804, 7951, 14981, 76490, 28736, 24613, 77660, 25938, 27714, 37925, 76928, 62532, 99478, 94923, 20379, 70334, 14288, 17558, 65980, 84699, 41005, 72478, 38897, 78741, 45206, 76029, 68056, 20796, 50858, 68126, 60375, 39907, 34315, 18777, 41527, 7689, 85948, 39921, 89538, 56653, 87182, 65695, 56681, 83809, 5382, 68464, 39934, 28345, 9624, 22017, 52652, 18091)
Average QPS expected = 50537
Timestamp start: 1715467544570
Timestamp end: 1715468385014

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      425.8   491.6   148.8   204.3   218.7   351.9   433.1   485.4   525.5   575.5   641.4   768.2  1600.6  5833.0 16199.3  57353.1    57360
read      457.8   425.7   148.8   220.3   242.1   395.4   478.5   532.8   576.0   630.7   709.2   845.5  1258.2  4527.2 14763.3  95737.5    95703
read      419.7   712.2   160.7   213.7   229.4   363.0   414.7   442.2   462.5   489.3   531.7   628.0  1277.9  8824.7 31492.3   9711.8     9728
read      400.5   384.5   148.8   201.6   215.1   345.6   426.2   477.4   517.4   566.4   627.8   714.3  1110.5  3943.6 13552.7  52658.5    52767
read      401.0   322.8   148.8   202.7   216.3   347.6   428.8   481.2   521.7   570.5   631.3   722.1  1155.4  2309.9 11591.9  53141.5    52975
read      402.3   475.8   148.8   201.1   214.5   342.8   443.7   494.7   527.5   563.5   608.8   676.8  1007.6  7615.6 16252.9  27028.8    27127
read      394.9   260.9   148.8   202.1   215.4   345.7   424.0   472.9   512.3   560.2   624.1   716.1  1093.9  2321.3  9101.9  57467.2    57515
read      399.9   343.0   148.8   200.9   215.1   346.8   427.5   481.2   521.8   570.6   630.5   716.6  1140.8  2509.1 15134.2  48162.6    48265
read      431.0   385.9   148.8   213.6   234.0   377.8   455.4   503.6   542.0   590.3   659.3   784.8  1141.9  3833.6 12900.5  97640.0    97638
read      399.4   426.4   148.8   200.2   214.4   345.5   428.6   481.3   521.4   570.6   633.3   727.1  1126.6  2349.8 11170.3  53356.7    53318
read      403.2   410.4   148.8   204.0   220.0   349.9   425.9   472.9   509.5   554.9   617.6   720.5  1065.2  4067.7 13946.4  82166.8    82180
read      400.1   364.2   148.8   205.4   221.7   351.2   423.9   469.1   504.6   548.7   611.6   713.3  1032.1  3197.2 14539.9  86588.5    86449
read      420.3   623.5   160.7   207.0   221.7   370.7   432.0   463.3   487.1   516.8   571.8   678.7  1170.9  8574.5 30981.6  11762.7    11716
read      418.1   535.8   148.8   204.9   218.6   367.7   452.4   490.1   515.1   543.6   587.2   694.0  1202.7  7359.9 29629.7  17652.7    17639
