name, value
blackscholes-1.raw, 	0m0.826s
blackscholes-2.raw, 	0m0.489s
blackscholes-4.raw, 	0m0.318s
blackscholes-8.raw, 	0m0.255s
canneal-1.raw, 	0m8.554s
canneal-2.raw, 	0m7.798s
canneal-4.raw, 	0m7.035s
canneal-8.raw, 	0m7.124s
dedup-1.raw, 	0m21.040s
dedup-2.raw, 	0m18.105s
dedup-4.raw, 	0m10.170s
dedup-8.raw, 	0m16.538s
ferret-1.raw, 	0m3.395s
ferret-2.raw, 	0m3.132s
ferret-4.raw, 	0m1.572s
ferret-8.raw, 	0m1.600s
freqmine-1.raw, 	0m6.193s
freqmine-2.raw, 	0m5.686s
freqmine-4.raw, 	0m2.256s
freqmine-8.raw, 	0m1.727s
radix-1.raw, 	0m58.135s
radix-2.raw, 	0m39.252s
radix-4.raw, 	0m14.870s
radix-8.raw, 	0m9.942s
vips-1.raw, 	1m43.852s
vips-2.raw, 	0m53.069s
vips-4.raw, 	0m28.525s
vips-8.raw, 	0m23.647s
