#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      265.5   295.7   137.8   184.0   194.6   247.7   273.7   289.9   301.5   316.0   335.2   364.2   434.4  1493.4 16221.9  29961.2    30000  1714295208869  1714295219032
read      270.4   235.1   137.8   184.4   195.7   258.2   287.0   302.9   314.5   328.1   344.5   371.1   433.2   723.2 13603.0  30004.8    30005  1714295220537  1714295230681
read      274.7   249.0   137.8   188.9   200.2   260.5   289.1   305.1   316.3   330.4   346.5   373.5   439.1  1114.5 15248.6  30020.2    30010  1714295232188  1714295242297
read      262.6   275.7   137.8   186.1   196.1   246.4   270.3   285.1   295.6   310.3   328.5   357.2   423.0  1475.6 15726.0  29997.0    30015  1714295243802  1714295253915
read      277.2   364.5   137.8   186.7   199.1   259.4   285.9   300.6   312.2   325.0   342.5   369.8   441.6  2695.8 17070.4  30097.1    30020  1714295255422  1714295265535
read      296.6   324.9   137.8   191.8   205.4   275.8   308.1   325.8   339.5   356.0   376.4   413.3   530.8  3799.2 16513.5  30019.3    30025  1714295267040  1714295277153
read      276.7   366.7   137.8   186.2   196.8   253.5   281.4   297.4   310.7   325.3   345.2   377.8   475.7  3516.5 17385.2  30007.7    30030  1714295278660  1714295288778
read      267.3   325.5   137.8   184.1   194.4   245.6   270.2   285.4   296.3   311.8   331.7   363.8   460.4  3415.2 16369.2  30022.9    30035  1714295290284  1714295300404
read      279.7   281.8   137.8   187.8   198.2   259.3   289.2   306.4   318.4   334.7   355.1   388.5   497.5  3255.6 15027.7  30100.3    30040  1714295301910  1714295312024
read      275.9   333.9   137.8   184.3   195.6   254.3   282.5   298.0   310.8   324.7   343.7   373.2   465.5  4287.1 15802.1  30040.1    30045  1714295313531  1714295323643
read      272.9   329.7   137.8   183.9   195.1   251.4   278.2   294.2   306.6   320.2   340.6   371.4   468.9  3620.7 16269.1  30022.9    30050  1714295325148  1714295335256
read      261.6   331.3   137.8   178.7   189.9   239.9   265.1   279.9   291.9   306.9   326.5   358.9   442.8  3447.5 16454.1  30033.9    30055  1714295336763  1714295346879
read      282.5   910.9   137.8   189.0   199.7   258.0   286.4   302.7   314.8   329.5   347.6   379.8   485.5  3340.5 17241.1  30082.0    30060  1714295348386  1714295358494
read      278.3   267.8   137.8   186.1   197.4   259.4   288.8   305.7   317.6   333.2   352.6   385.5   490.7  3350.0 12510.4  30051.5    30065  1714295360000  1714295370109
read      273.8   295.4   137.8   182.9   194.5   253.1   281.1   296.6   309.1   322.4   342.2   371.7   465.7  4245.0 15482.2  30153.4    30070  1714295371614  1714295381722
read      276.0   335.6   137.8   185.0   196.2   254.7   283.4   299.4   312.3   327.0   345.8   377.0   474.6  3473.3 16914.3  30083.0    30075  1714295383229  1714295393344
read      282.7   273.4   137.8   187.1   198.5   261.6   291.9   309.6   321.7   338.3   359.2   393.5   507.0  3836.0 12080.9  29981.5    30080  1714295394850  1714295404968
read      261.5   220.3   137.8   185.4   195.2   242.3   266.0   280.9   293.0   308.7   329.2   362.8   468.9  2683.9  8689.9  30159.4    30085  1714295406475  1714295416585
read      257.7   162.3   137.8   187.9   196.7   243.6   267.2   281.8   293.1   307.8   326.2   355.4   423.1   926.8  7921.1  30042.2    30090  1714295418091  1714295428208
read      274.7   176.1   137.8   191.4   204.0   262.8   290.4   306.4   317.4   331.7   348.1   374.6   440.3   890.0  8038.9  29994.6    30095  1714295429714  1714295439825
