#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      345.1   484.1   173.5   228.8   249.4   315.7   338.5   351.0   361.5   372.1   391.5   427.5   666.5  5836.9 26336.6   4997.2     5000  1714414057685  1714414063104
read      353.0   308.4   160.7   207.7   223.9   343.0   381.1   399.5   412.6   427.0   444.7   470.2   549.0  4418.7 11988.1   9939.3    10000  1714414064610  1714414069978
read      357.4   316.8   148.8   202.5   215.6   344.3   401.1   426.1   442.0   458.9   478.4   506.3   584.1  4294.8 12798.9  14977.8    15000  1714414071482  1714414076784
read      366.3   284.5   148.8   199.1   213.2   343.2   424.2   457.2   477.2   498.1   522.8   554.2   631.8  3827.3 11958.9  20001.6    20000  1714414078288  1714414083609
read      363.9   261.6   148.8   197.6   211.2   327.5   419.3   461.3   486.6   512.0   540.9   581.5   665.5  2312.9 11617.5  25085.2    25000  1714414085111  1714414090434
read      361.2   246.7   148.8   194.9   208.4   319.1   411.9   459.9   489.4   519.3   550.5   593.2   687.6  1909.3  8302.6  29991.8    30000  1714414091937  1714414097254
read      363.1   232.9   148.8   195.1   208.9   319.8   406.9   460.3   494.8   529.4   566.6   615.2   710.6  1700.8 10490.4  34842.2    35000  1714414098758  1714414104056
read      360.5   217.6   148.8   196.0   209.6   319.0   397.6   449.1   485.0   523.8   566.4   620.1   724.6  1504.1  9422.2  39826.0    40000  1714414105560  1714414110853
read      363.3   193.6   148.8   196.4   210.1   322.4   401.5   452.6   488.4   528.0   572.6   631.1   746.2  1393.4  7629.0  44924.0    45000  1714414112356  1714414117662
read      364.9   228.9   148.8   197.2   211.0   324.6   400.5   449.8   486.5   528.2   575.0   633.4   745.6  1593.7  8890.1  50012.0    50000  1714414119165  1714414124469
read      361.7   200.3   148.8   197.7   211.3   322.1   395.2   442.6   479.1   522.3   571.9   632.9   740.7  1394.7  8334.3  55002.6    55000  1714414125973  1714414131267
read      355.2   170.9   148.8   196.3   209.8   314.6   388.2   436.7   472.9   514.9   564.6   628.8   742.2  1037.1  6246.5  60073.8    60000  1714414132771  1714414138066
read      357.0   167.0   148.8   197.7   211.8   322.4   391.4   433.2   466.1   506.7   557.5   622.9   730.5  1162.5  6033.1  65043.4    65000  1714414139570  1714414144864
read      358.4   197.3   148.8   199.7   213.6   323.2   391.6   433.9   466.9   506.4   555.8   624.0   742.2  1059.5  7754.2  70045.6    70000  1714414146368  1714414151678
read      361.2   191.3   148.8   201.6   215.9   328.2   396.4   436.7   467.1   504.5   553.3   621.8   742.2  1208.1  6605.3  74884.0    75000  1714414153182  1714414158489
read      350.4   187.5   148.8   200.8   214.1   317.8   379.8   417.9   447.4   483.7   532.1   602.8   733.4  1310.3  5480.0  80025.5    80000  1714414159992  1714414165292
read      355.0   179.0   148.8   202.1   216.1   322.8   386.0   424.4   454.0   490.6   537.9   607.6   745.2  1052.5  6729.5  84884.8    85000  1714414166796  1714414172096
read      355.2   166.6   148.8   203.1   217.7   324.5   386.7   424.4   453.4   488.5   534.2   602.8   740.2  1136.6  6170.8  89835.8    90000  1714414173600  1714414178902
read      353.9   172.5   148.8   203.9   219.1   327.2   386.8   422.4   449.3   481.6   524.4   588.7   718.3  1002.5  5172.9  94718.6    95000  1714414180405  1714414185707
read      351.5   154.5   148.8   203.8   219.2   325.8   383.8   418.7   445.0   476.7   518.8   583.9   712.6   951.0  5011.0  99864.8   100000  1714414187210  1714414192513
read      330.9   146.1   148.8   202.6   215.8   308.8   357.2   386.1   407.6   435.9   474.5   537.1   654.4   865.6  5205.5 104880.9   105000  1714414194016  1714414199318
read      365.5   148.3   148.8   211.2   228.6   343.0   399.1   432.5   458.4   489.7   530.9   593.1   731.5   954.7  4152.4 110033.4   110000  1714414200822  1714414206132
read      390.1   204.7   148.8   219.0   237.7   360.2   421.2   460.2   491.2   529.6   580.8   659.2   804.2  1061.0  8629.5 114939.4   115000  1714414207635  1714414212938
read      382.8   191.7   148.8   217.0   235.1   351.8   408.8   447.2   476.8   515.3   569.7   655.7   825.6  1083.1  7373.8 120074.2   120000  1714414214442  1714414219747
read      465.1   256.2   148.8   237.9   265.7   419.1   502.4   560.5   607.4   664.0   734.0   829.8   995.5  1252.9  9746.1 119359.6   125000  1714414221251  1714414226550
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.31%,53.27%,100.00%
