#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      380.7   457.5   173.5   246.2   269.4   354.3   381.1   395.7   404.8   419.9   435.0   465.1   582.9  8804.5 16936.8   4975.8     5000  1714836215674  1714836221100
read      389.8   311.8   160.7   227.6   245.4   384.4   429.6   451.2   465.1   482.4   503.0   536.1   609.7  3983.7 17601.2   9958.2    10000  1714836222606  1714836227990
read      396.6   258.2   160.7   218.7   234.2   392.3   459.4   488.3   506.3   527.6   549.8   584.4   657.4  2451.9  9972.2  14957.6    15000  1714836229494  1714836234823
read      399.1   272.5   160.7   212.5   227.5   381.2   471.1   508.4   530.7   553.5   580.3   619.9   691.5  1982.9 12868.0  20100.0    20000  1714836236326  1714836241661
read      401.5   254.4   148.8   208.3   223.7   366.2   475.4   521.5   549.6   577.4   608.6   648.1   731.7  2223.4  9459.4  24969.6    25000  1714836243165  1714836248487
read      404.3   305.9   148.8   209.9   225.1   357.0   470.0   525.1   558.5   589.9   626.6   671.1   744.0  1902.1 16269.3  30007.6    30000  1714836249991  1714836255309
read      392.5   233.1   148.8   205.2   219.5   343.4   450.7   512.7   551.5   586.9   627.5   673.8   744.8  1177.4  9588.2  35003.0    35000  1714836256813  1714836262126
read      381.0   216.7   148.8   205.1   218.9   331.9   424.9   488.7   531.2   572.7   615.3   664.4   737.7  1068.8  8257.2  39823.8    40000  1714836263630  1714836268936
read      381.7   233.2   148.8   204.7   218.6   332.3   419.4   480.2   525.3   571.9   620.3   673.5   749.8  1326.7  9823.4  45131.2    45000  1714836270440  1714836275745
read      380.6   216.9   148.8   204.2   218.2   332.9   418.6   476.8   522.3   570.9   621.7   675.6   765.9  1286.9  7872.1  49948.1    50000  1714836277248  1714836282572
read      382.5   205.8   148.8   207.5   222.0   338.0   419.4   471.2   515.2   566.1   620.4   676.8   765.5  1439.7  6853.7  54886.2    55000  1714836284076  1714836289383
read      378.3   228.8   148.8   207.9   222.6   335.1   412.6   461.9   501.5   550.8   607.9   670.8   758.3  1155.9  9363.6  60216.4    60000  1714836290887  1714836296204
read      378.1   187.2   148.8   208.5   223.0   335.5   414.9   463.9   502.1   548.8   605.4   672.1   776.9  1107.8  7584.7  65036.2    65000  1714836297708  1714836303010
read      375.5   213.5   148.8   208.3   222.7   332.1   407.2   456.2   494.3   539.6   593.3   666.7   793.7  1356.0  7421.3  70059.2    70000  1714836304513  1714836309817
read      362.4   210.1   148.8   206.1   220.1   324.4   392.1   433.0   465.5   507.1   562.2   637.3   744.8  1321.9  8885.6  74916.0    75000  1714836311321  1714836316634
read      358.5   187.5   148.8   208.3   222.4   321.2   385.0   425.2   457.3   497.5   550.0   627.2   746.5  1353.4  7131.1  80161.4    80000  1714836318138  1714836323448
read      360.0   178.2   148.8   207.9   222.3   327.7   391.7   429.6   458.6   494.4   542.3   615.2   739.6  1156.5  7072.9  84980.0    85000  1714836324953  1714836330267
read      366.7   207.0   148.8   210.8   226.1   333.0   396.0   433.9   463.7   500.4   547.6   621.3   768.7  1644.1  7837.3  90010.6    90000  1714836331771  1714836337073
read      349.5   177.5   148.8   208.2   222.6   319.1   374.7   408.7   435.1   468.3   513.9   584.3   719.2  1595.6  6647.6  95113.2    95000  1714836338577  1714836343890
read      355.9   197.3   148.8   207.3   221.7   319.3   378.5   416.9   446.8   484.1   534.0   612.5   798.7  1550.5  7616.2 100021.0   100000  1714836345394  1714836350697
read      358.7   180.5   148.8   212.6   227.8   331.4   387.8   421.8   448.1   480.2   523.2   589.5   732.0  1038.5  5655.7 104949.6   105000  1714836352202  1714836357509
read      395.6   209.7   148.8   219.5   237.6   361.3   426.0   466.4   498.6   538.9   594.1   686.1   875.5  1162.6  7610.4 110066.8   110000  1714836359013  1714836364314
read      436.0   209.1   148.8   231.0   255.2   397.3   473.7   526.4   566.8   615.0   675.0   759.2   910.7  1120.2  6114.0 114704.0   115000  1714836365818  1714836371126
read      454.3   199.8   160.7   250.4   278.8   425.6   498.0   542.3   576.1   616.5   668.3   743.5   881.3  1086.2  7767.1 119031.0   120000  1714836372632  1714836377935
read      428.0   215.4   148.8   237.7   263.1   403.5   473.0   512.8   541.8   575.5   617.6   680.1   803.2  1037.5  7793.1 124996.4   125000  1714836379439  1714836384744
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.38%,72.14%,100.00%
