#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      393.1   457.2   173.5   240.8   265.5   365.7   400.1   420.3   434.0   452.3   471.8   510.1   641.5  5690.1 18605.1   5059.8     5000  1714835665481  1714835670930
read      434.6   332.9   160.7   228.6   248.6   420.2   484.9   517.7   539.4   564.1   592.2   638.0   746.1  4759.5 14792.9   9950.6    10000  1714835672437  1714835677812
read      448.2   288.8   148.8   218.4   236.0   426.8   513.4   558.6   589.1   623.2   662.7   719.2   848.2  4027.4  9686.1  14957.2    15000  1714835679317  1714835684645
read      476.1   278.2   160.7   215.3   233.6   451.9   558.8   617.3   655.0   691.4   737.3   796.5   926.3  3137.1  8824.2  19903.6    20000  1714835686149  1714835691493
read      473.1   337.8   160.7   211.8   228.9   428.3   544.4   613.6   662.0   710.7   765.8   841.3  1014.9  2497.7 12194.4  25048.4    25000  1714835692998  1714835698345
read      478.7   376.4   148.8   209.7   226.2   413.9   544.8   624.5   679.1   737.0   800.6   898.9  1119.6  4254.5 15226.1  30129.0    30000  1714835699849  1714835705181
read      493.8   344.3   160.7   213.7   230.0   424.7   569.7   652.8   711.8   774.4   844.8   948.0  1219.4  2622.1 12535.6  35102.0    35000  1714835706685  1714835711984
read      478.1   341.1   148.8   211.3   227.1   384.7   528.2   626.3   697.3   773.4   853.8   981.6  1251.8  2025.7  8881.1  39933.2    40000  1714835713488  1714835718797
read      477.7   349.7   148.8   211.5   227.1   366.8   507.9   610.8   691.8   781.7   877.3  1029.0  1352.2  3367.3  9952.5  44904.8    45000  1714835720301  1714835725601
read      463.1   346.0   148.8   209.5   224.4   351.1   475.0   574.3   658.7   756.2   865.0  1041.0  1367.6  2153.7  9998.2  50026.0    50000  1714835727105  1714835732435
read      477.6   367.5   148.8   214.5   230.4   354.7   465.0   562.8   656.1   773.3   913.1  1135.2  1585.9  2355.5 11175.1  54850.6    55000  1714835733939  1714835739261
read      482.6   396.2   148.8   218.4   233.9   358.6   468.8   561.9   645.4   768.7   932.2  1169.0  1588.5  2131.2 13966.3  59969.2    60000  1714835740766  1714835746071
read      491.6   413.2   148.8   220.7   237.8   357.2   453.5   537.9   625.4   781.9   991.2  1273.9  1715.9  2342.2 12641.6  64878.0    65000  1714835747575  1714835752880
read      491.8   398.0   148.8   222.1   239.8   361.4   456.7   537.7   621.6   767.5   975.8  1244.7  1759.5  2567.8 12503.3  69870.1    70000  1714835754384  1714835759694
read      674.8   658.1   160.7   240.1   267.7   437.4   622.0   801.7   974.8  1114.9  1346.9  1932.0  2689.6  5799.6 16260.4  74670.4    75000  1714835761198  1714835766503
read      649.9   579.1   148.8   233.1   257.2   422.6   633.4   828.5   978.7  1103.6  1293.6  1835.6  2441.4  3690.0 15646.5  78842.6    80000  1714835768007  1714835773312
read      897.5  1243.8   160.7   292.9   329.8   470.8   700.2  1454.1  1569.9  1671.9  1786.6  1958.1  2973.4 13743.5 35881.7  74339.0    85000  1714835774816  1714835780125
read      782.7  1089.1   160.7   285.0   308.4   398.4   496.8  1282.7  1463.5  1571.6  1679.4  1828.2  2844.4 12748.0 32727.2  84596.0    90000  1714835781630  1714835786951
read      848.7  1274.3   160.7   295.2   322.5   434.9   589.2  1390.2  1522.5  1615.3  1725.0  1881.4  2866.2 16998.8 36846.0  79004.2    95000  1714835788455  1714835793768
read      875.2  1123.1   148.8   297.4   336.9   458.6   735.1  1472.2  1571.8  1662.2  1760.4  1919.6  2845.3 14011.8 33034.6  76038.3   100000  1714835795271  1714835800572
read      866.2  1300.6   160.7   297.9   333.1   447.8   597.7  1412.0  1541.7  1637.9  1737.3  1881.2  2872.2 17377.7 36865.7  77333.6   105000  1714835802076  1714835807380
read      818.4  1229.2   137.8   282.1   309.1   421.8   546.8  1311.2  1487.8  1591.4  1701.2  1858.5  2871.7 14956.2 35809.6  81516.8   110000  1714835808883  1714835814189
read      822.1  1233.7   160.7   294.1   320.1   421.1   543.1  1334.5  1499.8  1596.7  1703.6  1856.3  2816.9 17096.4 36200.5  81238.9   115000  1714835815694  1714835821007
read      816.0  1067.4   148.8   286.5   312.2   424.4   600.7  1383.7  1507.6  1602.3  1709.7  1864.5  2758.8 12827.0 35715.6  81316.2   120000  1714835822511  1714835827824
read      885.8  1209.1   160.7   304.0   349.8   464.2   714.6  1450.4  1566.6  1662.6  1767.3  1959.3  2891.8 12852.7 43242.8  75227.8   125000  1714835829327  1714835834628
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.57%,69.19%,100.00%
