2024-05-09T16:19:01.875293 start scheduler
2024-05-09T16:19:01.893004 custom scheduler memcached+pid%3D10222
2024-05-09T16:19:01.893225 custom scheduler scheduler+pid%3D10222
2024-05-09T16:19:01.893449 custom scheduler unstable+%28CURR+0+-+0+QPS%29
2024-05-09T16:19:01.894338 update_cores memcached [0,1]
2024-05-09T16:19:01.957209 custom scheduler stable+%280+QPS%29
2024-05-09T16:19:02.153873 start freqmine [2,3] 3
2024-05-09T16:19:02.408534 start canneal [2,3] 3
2024-05-09T16:19:02.592616 custom scheduler stable+%280+QPS%29
2024-05-09T16:19:02.704471 start dedup [1] 1
2024-05-09T16:19:02.717316 update_cores memcached [0]
2024-05-09T16:19:03.289996 custom scheduler stable+%280+QPS%29
2024-05-09T16:19:03.976948 custom scheduler stable+%280+QPS%29
2024-05-09T16:19:04.667568 custom scheduler stable+%280+QPS%29
2024-05-09T16:19:04.798627 custom scheduler unstable+%28CURR+31513+-+2174+QPS%29
2024-05-09T16:19:04.804104 update_cores memcached [0,1]
2024-05-09T16:19:04.818119 pause dedup
2024-05-09T16:19:05.918929 custom scheduler stable+%2872403+QPS%29
2024-05-09T16:19:06.562454 custom scheduler stable+%2882053+QPS%29
2024-05-09T16:19:07.293154 custom scheduler stable+%2873205+QPS%29
2024-05-09T16:19:08.013977 custom scheduler stable+%2873251+QPS%29
2024-05-09T16:19:08.731855 custom scheduler stable+%2873366+QPS%29
2024-05-09T16:19:09.447023 custom scheduler stable+%2873435+QPS%29
2024-05-09T16:19:10.155767 custom scheduler stable+%2873753+QPS%29
2024-05-09T16:19:10.867581 custom scheduler stable+%2873578+QPS%29
2024-05-09T16:19:11.520242 custom scheduler unstable+%28CURR+106742+-+73405+QPS%29
2024-05-09T16:19:11.584359 custom scheduler stable+%2873472+QPS%29
2024-05-09T16:19:12.288394 custom scheduler stable+%2873355+QPS%29
2024-05-09T16:19:13.000922 custom scheduler stable+%2873890+QPS%29
2024-05-09T16:19:13.725771 custom scheduler stable+%2873453+QPS%29
2024-05-09T16:19:14.438158 custom scheduler stable+%2873040+QPS%29
2024-05-09T16:19:15.146864 custom scheduler stable+%2863528+QPS%29
2024-05-09T16:19:15.843621 custom scheduler stable+%2847292+QPS%29
2024-05-09T16:19:16.542497 custom scheduler stable+%2846845+QPS%29
2024-05-09T16:19:17.246605 custom scheduler stable+%2847187+QPS%29
2024-05-09T16:19:17.949977 custom scheduler stable+%2847269+QPS%29
2024-05-09T16:19:18.654544 custom scheduler stable+%2847618+QPS%29
2024-05-09T16:19:19.353775 custom scheduler stable+%2847207+QPS%29
2024-05-09T16:19:20.057563 custom scheduler stable+%2847319+QPS%29
2024-05-09T16:19:20.751257 custom scheduler stable+%2847268+QPS%29
2024-05-09T16:19:21.449362 custom scheduler stable+%2847287+QPS%29
2024-05-09T16:19:22.145371 custom scheduler stable+%2847291+QPS%29
2024-05-09T16:19:22.839156 custom scheduler stable+%2847143+QPS%29
2024-05-09T16:19:23.536896 custom scheduler stable+%2847418+QPS%29
2024-05-09T16:19:24.245536 custom scheduler stable+%2847252+QPS%29
2024-05-09T16:19:24.822493 custom scheduler unstable+%28CURR+90526+-+48763+QPS%29
2024-05-09T16:19:25.524595 custom scheduler stable+%2867293+QPS%29
2024-05-09T16:19:26.165936 custom scheduler stable+%2874470+QPS%29
2024-05-09T16:19:26.874073 custom scheduler stable+%2874056+QPS%29
2024-05-09T16:19:27.329716 custom scheduler unstable+%28CURR+115904+-+73909+QPS%29
2024-05-09T16:19:27.393504 custom scheduler stable+%2874083+QPS%29
2024-05-09T16:19:27.586434 custom scheduler stable+%2874233+QPS%29
2024-05-09T16:19:28.290686 custom scheduler stable+%2874780+QPS%29
2024-05-09T16:19:29.001763 custom scheduler stable+%2874168+QPS%29
2024-05-09T16:19:29.705203 custom scheduler stable+%2873875+QPS%29
2024-05-09T16:19:30.416660 custom scheduler stable+%2874303+QPS%29
2024-05-09T16:19:31.122667 custom scheduler stable+%2873771+QPS%29
2024-05-09T16:19:31.829925 custom scheduler stable+%2872930+QPS%29
2024-05-09T16:19:32.105605 custom scheduler unstable+%28CURR+108182+-+74194+QPS%29
2024-05-09T16:19:32.170758 custom scheduler stable+%2874367+QPS%29
2024-05-09T16:19:32.568669 custom scheduler stable+%2874096+QPS%29
2024-05-09T16:19:33.268769 custom scheduler stable+%2874557+QPS%29
2024-05-09T16:19:33.977884 custom scheduler stable+%2874683+QPS%29
2024-05-09T16:19:34.680477 custom scheduler stable+%2874049+QPS%29
2024-05-09T16:19:35.380975 custom scheduler stable+%2863141+QPS%29
2024-05-09T16:19:36.077830 custom scheduler stable+%2856836+QPS%29
2024-05-09T16:19:36.777212 custom scheduler stable+%2856908+QPS%29
2024-05-09T16:19:37.468557 custom scheduler stable+%2856502+QPS%29
2024-05-09T16:19:38.052411 custom scheduler unstable+%28CURR+84450+-+56277+QPS%29
2024-05-09T16:19:38.116345 custom scheduler stable+%2856309+QPS%29
2024-05-09T16:19:38.179565 custom scheduler stable+%2856249+QPS%29
2024-05-09T16:19:38.878112 custom scheduler stable+%2856919+QPS%29
2024-05-09T16:19:39.590773 custom scheduler stable+%2857123+QPS%29
2024-05-09T16:19:40.298504 custom scheduler stable+%2857057+QPS%29
2024-05-09T16:19:41.010871 custom scheduler stable+%2857217+QPS%29
2024-05-09T16:19:41.709655 custom scheduler stable+%2857391+QPS%29
2024-05-09T16:19:42.417788 custom scheduler stable+%2856940+QPS%29
2024-05-09T16:19:43.117161 custom scheduler stable+%2856588+QPS%29
2024-05-09T16:19:43.815172 custom scheduler stable+%2856953+QPS%29
2024-05-09T16:19:44.520948 custom scheduler stable+%2856925+QPS%29
2024-05-09T16:19:44.837494 custom scheduler unstable+%28CURR+89352+-+58091+QPS%29
2024-05-09T16:19:45.156436 custom scheduler stable+%2863025+QPS%29
2024-05-09T16:19:45.221888 custom scheduler stable+%2864109+QPS%29
2024-05-09T16:19:45.925075 custom scheduler stable+%2872927+QPS%29
2024-05-09T16:19:46.624953 custom scheduler stable+%2873409+QPS%29
2024-05-09T16:19:47.149449 custom scheduler unstable+%28CURR+105171+-+72616+QPS%29
2024-05-09T16:19:47.215592 custom scheduler stable+%2873255+QPS%29
2024-05-09T16:19:47.343619 custom scheduler stable+%2873500+QPS%29
2024-05-09T16:19:48.050127 custom scheduler stable+%2874686+QPS%29
2024-05-09T16:19:48.752683 custom scheduler stable+%2873731+QPS%29
