Random waveform, random seed
Total number of intervals = 90 (15788, 52699, 44729, 38306, 16109, 43934, 78098, 74254, 58724, 27174, 77175, 43005, 39362, 96377, 42003, 19540, 31450, 35936, 95679, 78879, 77166, 77335, 65546, 14262, 54223, 6207, 71387, 39117, 67168, 13803, 46281, 6321, 84271, 74177, 98339, 50875, 73479, 48400, 85434, 46876, 37400, 89365, 80789, 75640, 84936, 32568, 5759, 34244, 58573, 59670, 58233, 49094, 60405, 66563, 96093, 18831, 96859, 62731, 16249, 16671, 78737, 71261, 16116, 64528, 12684, 47182, 39216, 13414, 58522, 49990, 18119, 86070, 7728, 62433, 48815, 37202, 91935, 53594, 78948, 7591, 50792, 15652, 57027, 97596, 94222, 18942, 56934, 53005, 59960, 89311)
Average QPS expected = 52756
Timestamp start: 1715275190622
Timestamp end: 1715276091117

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      592.0  1159.7   160.7   223.6   242.5   442.1   543.6   610.8   660.4   720.0   811.6  1085.7  3851.3 15198.8 37209.5  15689.4    15788
read      443.0   539.1   160.7   218.4   232.9   360.1   445.0   498.9   540.1   591.2   665.3   826.6  1573.5  6755.2 23442.2  52572.4    52699
read      427.3   456.5   160.7   219.7   234.4   357.4   446.6   502.9   543.5   590.9   652.7   758.3  1247.0  5411.7 14834.8  44744.3    44729
read      426.8   435.8   160.7   218.9   233.0   356.7   454.0   509.7   548.5   592.5   653.5   765.7  1235.4  5125.9 14694.6  38327.8    38306
read      558.5  1045.0   160.7   225.5   244.3   437.1   543.1   614.7   664.4   721.6   799.6   974.6  1729.3 16213.4 35441.4  16093.1    16109
read      428.4   564.2   160.7   217.7   232.0   354.7   442.0   496.4   536.2   582.6   642.9   750.0  1263.8  8148.4 29919.6  43875.9    43934
read      424.5   434.5   160.7   218.9   234.3   358.9   429.8   474.6   510.0   556.8   626.4   766.9  1535.4  5078.4 14911.3  78133.4    78098
read      430.5   433.3   160.7   218.1   233.1   362.9   435.7   481.5   517.5   565.3   636.3   794.8  1606.3  4680.5 14514.0  74330.8    74254
read      415.1   397.2   148.8   217.8   231.9   353.6   430.7   480.4   519.4   567.5   632.6   746.0  1246.2  3924.0 11950.6  58767.2    58724
read      556.5   904.7   160.7   219.9   236.2   421.6   548.2   638.7   717.5   810.2   924.2  1102.3  1859.7 12583.2 34825.4  27156.0    27174
read      451.0   548.6   160.7   220.8   237.8   370.8   444.7   492.2   530.4   581.4   662.0   849.8  1708.2  7097.3 20415.7  77110.6    77175
read      423.2   422.5   160.7   217.7   232.1   357.8   445.8   499.8   538.7   585.1   646.5   758.7  1229.8  4529.3 15768.1  42999.0    43005
read      423.4   369.1   160.7   220.4   235.3   360.4   452.6   508.6   547.8   593.8   652.8   747.0  1185.8  3520.6 12344.3  39350.1    39362
read      450.5   445.2   160.7   230.1   252.0   393.3   464.3   509.0   545.5   592.8   665.7   804.5  1259.7  5357.1 15853.2  96187.9    96377
