#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      370.0   649.6   160.7   225.9   248.1   328.9   358.8   375.6   388.8   402.1   422.9   456.4   727.5  9654.4 25346.3   4988.2     5000  1714411357718  1714411363146
read      388.9   361.6   160.7   209.4   225.2   376.5   430.2   455.8   472.2   493.3   517.1   550.6   662.7  5152.2 15677.8   9966.2    10000  1714411364651  1714411370022
read      405.5   322.7   148.8   210.1   225.8   384.0   461.4   498.6   523.5   549.3   584.6   632.4   748.9  3608.0 12483.8  15032.0    15000  1714411371525  1714411376866
read      423.7   291.7   148.8   208.0   224.9   394.3   485.7   534.1   566.8   603.1   644.5   705.4   824.8  2137.9 15268.3  19951.8    20000  1714411378369  1714411383691
read      435.2   301.7   148.8   208.5   226.7   400.8   492.0   544.8   583.8   626.2   675.6   740.1   870.7  2617.4 12435.5  25045.6    25000  1714411385195  1714411390521
read      429.7   258.2   148.8   205.8   223.1   391.8   482.6   539.9   582.6   630.3   685.7   757.9   894.1  1866.4 10112.3  30076.0    30000  1714411392024  1714411397364
read      433.6   251.9   148.8   203.0   221.0   396.0   486.9   543.2   587.7   640.7   702.7   783.5   930.6  1693.8 10052.9  34848.8    35000  1714411398867  1714411404185
read      438.1   234.3   148.8   206.0   224.1   404.1   493.3   547.3   591.3   642.1   706.5   790.2   948.7  1321.5  8313.0  39863.6    40000  1714411405689  1714411410984
read      439.2   248.9   148.8   206.7   224.3   403.4   494.4   548.8   592.8   644.3   709.8   794.3   940.3  1345.9  8300.8  45007.0    45000  1714411412488  1714411417782
read      438.4   279.1   148.8   207.3   225.0   399.2   491.5   546.0   588.5   639.6   707.1   796.8   974.9  1365.7 10555.1  49790.2    50000  1714411419286  1714411424585
read      449.6   249.6   148.8   209.2   228.6   410.1   504.6   561.7   605.1   656.0   722.3   819.7  1003.1  1473.1  9239.9  54819.4    55000  1714411426088  1714411431402
read      447.0   242.5   148.8   209.1   229.7   409.6   501.2   554.2   595.1   647.4   715.1   809.0   995.3  1370.7  8885.5  59833.4    60000  1714411432905  1714411438220
read      443.0   256.2   137.8   209.8   230.9   405.0   496.8   549.0   590.0   638.4   700.6   792.4   960.3  1349.9 10179.3  64969.8    65000  1714411439723  1714411445031
read      448.1   234.4   148.8   212.6   235.7   411.0   500.9   552.4   592.2   639.6   705.2   799.4  1003.4  1365.7  8299.8  70026.4    70000  1714411446536  1714411451840
read      755.3   494.6   148.8   305.5   379.7   685.3   763.1   821.7   926.2  1177.9  1301.8  1412.9  1583.8  4543.8 18292.2  73700.9    75000  1714411453344  1714411458649
read      652.8   405.4   148.8   275.2   328.0   595.2   685.2   747.7   837.1   975.8  1108.9  1249.8  1430.7  1798.6 17608.3  79378.0    80000  1714411460152  1714411465467
read      834.7   449.4   148.8   517.3   562.0   706.4   791.2  1038.3  1179.0  1255.1  1329.9  1419.5  1571.5  3972.9 16164.0  77465.6    85000  1714411466970  1714411472266
read      737.0   374.1   160.7   446.3   482.2   605.2   818.4  1000.3  1048.3  1089.9  1138.9  1193.2  1324.8  2708.1 13984.5  85429.2    90000  1714411473770  1714411479071
read      726.5   345.8   160.7   443.5   474.7   600.7   814.2   968.2  1021.9  1068.0  1120.1  1186.7  1338.4  2026.2 12574.9  87838.7    95000  1714411480574  1714411485876
read      824.0   469.5   173.5   515.0   549.4   687.5   792.0  1071.3  1151.8  1220.5  1289.0  1374.2  1502.4  4403.1 19325.6  79914.2   100000  1714411487379  1714411492678
read      883.9   457.4   173.5   591.2   616.5   735.0   803.0  1139.5  1266.2  1334.3  1398.8  1476.9  1606.9  4394.1 16469.5  74632.2   105000  1714411494181  1714411499497
read      763.8   425.3   173.5   472.6   500.0   625.3   872.1  1023.9  1072.5  1121.0  1169.4  1242.8  1375.9  3824.4 17216.4  86006.8   110000  1714411501002  1714411506306
read      779.3   387.9   160.7   484.9   515.2   638.2   855.5  1048.6  1104.1  1151.1  1201.9  1267.5  1380.8  2675.7 15260.5  84160.0   115000  1714411507809  1714411513111
read      786.0   405.6   160.7   493.5   524.8   641.9   794.2  1066.1  1123.2  1167.4  1218.1  1274.7  1383.6  2665.1 16339.0  83471.8   120000  1714411514614  1714411519921
read      779.6   388.1   173.5   477.1   512.4   643.0   865.0  1039.1  1095.8  1144.1  1193.4  1266.2  1394.8  3333.4 13836.3  84182.2   125000  1714411521424  1714411526727
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.66%,65.66%,100.00%
