#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      387.0   316.3   160.7   241.1   265.2   368.9   403.6   424.4   437.7   456.3   477.4   513.1   633.3  5640.7  8742.6   4879.8     5000  1714835128060  1714835133612
read      422.3   262.1   160.7   225.4   244.8   411.7   474.3   506.3   528.2   550.4   581.3   627.1   726.6  3728.7  9904.3   9836.6    10000  1714835135120  1714835140501
read      456.8   368.3   160.7   220.6   238.6   430.4   517.7   565.0   596.1   631.6   671.2   727.0   860.9  6467.2 12169.1  15121.8    15000  1714835142006  1714835147369
read      471.2   362.9   148.8   217.3   234.9   443.1   546.8   604.3   644.4   683.2   730.3   792.7   926.6  2228.8 20006.0  19935.6    20000  1714835148873  1714835154226
read      468.3   337.1   160.7   213.1   229.5   425.5   536.9   602.3   649.1   694.7   748.2   821.4   985.8  3837.6 12842.2  25079.6    25000  1714835155730  1714835161090
read      487.6   313.6   160.7   213.4   230.4   435.5   565.0   641.3   692.0   749.7   812.1   909.3  1130.2  2504.3  9915.7  29994.0    30000  1714835162594  1714835167918
read      468.7   279.1   148.8   211.7   227.4   399.9   531.8   616.6   677.8   740.6   807.1   910.7  1141.5  1468.1  8066.0  35155.8    35000  1714835169423  1714835174740
read      478.1   324.9   160.7   211.2   227.1   386.0   527.5   622.4   695.5   775.5   858.9   988.5  1257.0  1817.6 12140.8  40202.0    40000  1714835176245  1714835181552
read      472.7   308.2   148.8   211.7   227.1   373.2   509.3   604.0   681.2   767.4   865.2  1013.1  1323.2  1750.4  7890.9  44942.2    45000  1714835183057  1714835188389
read      502.2   364.7   160.7   220.3   237.6   389.8   523.1   621.0   700.1   797.8   915.5  1103.2  1523.1  3180.1 11203.9  49934.4    50000  1714835189893  1714835195201
read      469.9   343.6   148.8   212.9   228.5   346.1   449.6   548.5   643.3   769.7   919.6  1151.4  1540.7  2002.0  7963.1  54932.6    55000  1714835196705  1714835202020
read      485.2   378.8   160.7   219.0   235.1   359.9   467.2   559.5   644.4   778.9   947.9  1182.0  1606.4  2116.4 12282.2  59973.3    60000  1714835203525  1714835208830
read      490.4   375.5   148.8   221.1   238.4   361.0   458.5   544.2   630.3   778.2   979.9  1249.3  1705.0  2319.2 10618.8  64863.5    65000  1714835210333  1714835215636
read      503.7   418.4   148.8   223.6   242.4   362.5   453.1   537.8   630.3   801.7  1037.2  1339.5  1812.0  2482.9 11975.9  69788.7    70000  1714835217140  1714835222442
read      478.7   373.8   148.8   220.5   237.9   350.4   432.2   505.4   586.3   739.5   965.2  1237.0  1777.0  2539.9  9140.4  75021.8    75000  1714835223945  1714835229265
read      693.8   940.7   148.8   238.2   263.6   420.3   579.4   773.7   959.9  1122.4  1417.5  1923.2  3043.5 10311.2 31818.3  79060.4    80000  1714835230768  1714835236065
read      862.5  1191.3   160.7   292.3   333.2   450.1   614.4  1414.6  1543.2  1637.8  1737.4  1892.3  2900.9 13036.3 35796.1  76940.8    85000  1714835237570  1714835242885
read      865.1  1106.3   160.7   291.1   329.4   458.2   699.8  1452.2  1559.7  1652.1  1754.4  1909.7  2817.1 12800.9 35194.6  76781.9    90000  1714835244389  1714835249704
read      844.9  1263.0   160.7   293.2   327.5   434.7   572.5  1377.1  1519.7  1617.0  1717.8  1865.0  2851.1 16980.3 36291.2  79123.5    95000  1714835251208  1714835256518
read      883.9  1272.6   160.7   291.0   332.2   461.1   647.6  1432.9  1555.5  1653.9  1761.5  1925.6  2939.9 16690.1 36191.3  75806.6   100000  1714835258023  1714835263331
read      826.6  1300.2   148.8   298.4   326.0   419.7   517.2  1323.3  1495.1  1595.6  1699.1  1851.6  2853.6 17064.7 36137.8  81119.0   105000  1714835264836  1714835270134
read      892.3  1270.4   160.7   289.5   338.2   465.8   659.2  1442.9  1563.4  1660.5  1768.1  1937.2  2943.8 16833.9 36180.4  74988.2   110000  1714835271638  1714835276949
read      839.6  1301.9   160.7   295.6   325.7   428.1   548.1  1373.1  1515.5  1615.2  1713.0  1860.2  2836.1 16742.2 36974.4  79960.6   115000  1714835278453  1714835283767
read      839.4  1280.0   160.7   302.6   333.2   426.8   542.2  1376.7  1519.2  1613.6  1712.4  1861.3  2822.4 16886.6 35584.0  79617.2   120000  1714835285271  1714835290575
read      835.9  1057.8   148.8   296.8   328.9   435.4   626.2  1418.9  1538.4  1629.1  1722.0  1864.8  2762.9 12730.6 32038.8  79403.2   125000  1714835292078  1714835297386
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.38%,51.53%,100.00%
