Random waveform, random seed
Total number of intervals = 84 (91122, 68757, 17939, 16833, 42222, 89620, 92766, 62738, 35804, 56728, 19721, 33428, 20541, 35905, 41675, 20915, 61555, 7576, 88504, 53666, 48878, 50803, 7205, 14730, 48725, 45054, 91893, 14078, 14016, 20142, 88632, 29148, 6800, 49861, 28347, 43290, 82481, 9157, 46784, 7471, 23001, 58599, 17311, 5440, 93762, 73308, 33990, 66988, 30331, 34360, 19092, 15496, 83971, 62459, 94253, 54821, 80209, 8257, 29430, 91607, 53024, 86784, 34417, 16314, 61516, 27201, 60066, 74931, 46136, 42761, 32480, 50764, 98824, 27298, 73572, 5547, 82432, 47811, 64994, 56225, 22749, 10223, 12016, 36663)
Average QPS expected = 45320
Timestamp start: 1715469522744
Timestamp end: 1715470363181

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      484.1   534.5   148.8   217.7   239.9   409.8   500.6   558.3   606.2   670.6   762.3   909.6  1391.9  6337.1 28254.3  91175.5    91122
read      415.1   412.5   148.8   205.6   221.0   354.1   437.6   488.8   527.0   574.8   637.3   742.7  1225.2  4351.7 12801.1  68716.4    68757
read      428.2   523.8   148.8   203.8   217.5   372.1   456.7   496.0   523.7   557.5   618.3   767.3  1263.8  7615.1 23991.5  17910.9    17939
read      443.9   619.1   148.8   203.3   217.4   380.5   463.2   502.7   533.2   576.3   654.0   806.2  1345.9 10209.7 30167.9  16802.6    16833
read      403.4   346.0   148.8   200.8   215.2   347.7   435.7   491.4   531.0   577.9   634.8   721.7  1129.6  2964.4 13497.8  42230.0    42222
read      429.0   427.5   148.8   211.1   230.0   373.1   453.8   502.9   541.3   590.2   656.9   776.9  1113.7  4457.4 15894.1  89921.8    89620
read      428.5   449.7   148.8   212.4   231.2   371.6   451.2   500.6   539.1   586.7   652.0   767.8  1100.0  4779.1 16260.3  92618.4    92766
read      401.4   371.8   148.8   202.1   216.3   346.3   429.9   481.5   520.1   567.3   629.9   726.6  1085.9  2565.6 13413.2  62708.5    62738
read      402.5   407.2   148.8   200.0   214.7   345.6   436.5   493.6   532.7   577.3   629.5   707.6  1089.2  3460.3 14704.6  35782.6    35804
read      404.4   340.9   148.8   202.6   217.1   350.3   432.1   483.0   521.9   570.1   633.9   731.4  1176.0  2697.0 10554.4  56795.0    56728
read      431.1   432.7   148.8   202.5   216.5   371.9   467.8   511.7   542.7   584.5   654.8   820.9  1321.0  5059.6 17684.2  19760.1    19721
read      398.7   349.4   148.8   201.2   215.7   343.9   436.5   491.3   528.5   571.0   622.1   695.2  1069.5  2147.3 14624.3  33454.1    33428
read      433.5   576.6   148.8   204.5   218.9   365.8   461.9   506.7   538.5   579.4   643.3   810.5  1245.9  8047.7 28705.9  20631.7    20541
read      403.3   381.9   148.8   202.6   217.0   344.8   435.2   490.8   530.0   574.2   625.9   702.3  1117.7  4006.1 12658.4  35877.7    35905
read      402.1   278.5   148.8   203.6   218.3   349.9   435.8   490.3   530.1   577.1   633.1   715.6  1105.0  2344.2 10770.7  41688.5    41675
read      453.2   671.3   148.8   204.8   219.0   369.6   468.0   514.0   546.2   589.4   668.0   859.9  1477.9  9527.3 30331.0  20924.5    20915
read      400.8   274.0   148.8   203.0   217.5   350.2   430.9   480.9   518.3   564.4   625.3   717.7  1128.1  2808.5  9360.0  61569.7    61555
read      375.0   443.4   160.7   211.3   228.3   338.1   378.9   401.6   420.4   442.3   473.9   545.5  1095.3  6356.6 17189.5   7587.4     7576
read      425.7   380.6   148.8   208.6   226.9   369.2   450.6   500.7   539.8   588.1   655.0   774.9  1158.8  4186.1 14376.8  88317.0    88504
read      411.7   332.3   148.8   202.8   217.4   354.3   443.3   496.7   536.2   584.5   647.2   744.7  1259.6  3090.6 12184.9  53571.0    53666
read      403.4   316.9   148.8   202.5   216.8   350.7   435.1   489.1   529.0   577.2   636.8   726.1  1129.1  2237.4 11844.6  48714.9    48878
read      414.6   362.3   148.8   204.0   219.2   356.3   442.6   495.8   535.7   584.7   646.9   745.2  1248.7  3783.3 13828.8  50677.3    50803
read      420.7   981.1   160.7   214.5   233.2   343.3   384.4   407.5   427.1   451.9   488.6   566.6  1283.2 11443.5 34493.2   7216.4     7205
read      427.9   606.5   148.8   204.5   218.3   375.3   447.9   483.1   507.5   542.5   604.4   734.7  1236.0  8677.6 30504.7  14705.9    14730
read      404.1   374.9   148.8   202.6   217.1   350.0   431.4   483.0   522.3   569.5   628.9   717.8  1147.6  2985.1 12644.7  48555.0    48725
read      403.2   343.0   148.8   202.6   217.4   349.9   433.2   487.2   527.0   574.7   632.8   718.4  1160.4  2097.8 17673.9  44966.7    45054
read      416.0   359.1   137.8   209.8   228.3   366.8   443.5   491.6   528.2   573.9   635.1   743.2  1058.6  3109.4 14329.1  91885.6    91893
read      425.3   715.2   148.8   205.8   219.6   368.6   436.2   467.8   491.5   520.3   567.6   684.9  1311.6  8937.1 32198.2  14082.6    14078
read      410.9   404.3   160.7   205.8   220.0   372.4   441.7   474.9   499.8   533.3   589.2   719.0  1120.4  4831.7 14875.0  14021.6    14016
read      436.3   449.4   148.8   203.7   217.5   373.2   468.0   513.7   546.2   592.1   677.0   851.1  1292.5  5334.8 14572.1  20091.8    20142
read      425.0   399.7   148.8   208.1   226.0   366.9   447.0   496.7   535.8   585.5   654.0   781.3  1237.6  3426.7 14578.9  88603.0    88632
read      420.0   555.2   148.8   204.1   218.9   346.7   444.8   498.0   532.8   572.2   621.3   705.0  1302.6  6752.2 28872.1  29128.8    29148
read      442.0  1203.7   160.7   210.5   228.2   331.8   371.2   395.4   414.2   437.1   472.4   547.9  2781.5 25870.8 37500.8   6774.8     6800
read      401.2   387.4   148.8   200.1   214.8   344.0   426.2   478.6   517.9   565.5   626.1   714.8  1201.2  3097.2 13624.7  49709.6    49861
read      399.3   475.3   148.8   201.3   215.3   338.3   435.6   488.5   522.3   558.0   601.7   672.5  1061.2  5848.0 21344.9  28446.4    28347
read      398.2   380.1   148.8   198.9   213.4   342.3   426.5   480.7   521.2   567.8   624.6   703.9  1112.4  3578.3 11936.3  43208.2    43290
read      405.2   408.9   148.8   203.6   219.6   350.3   425.4   471.8   508.0   552.2   614.4   721.2  1135.1  4522.8 14398.4  82505.9    82481
read      407.9   583.2   160.7   208.2   224.6   358.5   409.0   437.4   460.9   491.3   538.6   634.8  1260.0  8066.2 28501.9   9169.4     9157
read      398.8   353.8   148.8   199.5   214.0   344.6   429.3   483.4   523.7   571.1   629.5   715.5  1128.4  2591.8 11892.4  46807.1    46784
read      415.2   909.8   160.7   210.0   227.6   339.4   380.4   402.3   420.5   441.5   475.8   559.0  1798.5 11991.2 36236.8   7442.9     7471
read      434.5   474.8   148.8   203.7   218.0   361.2   462.9   511.7   544.8   587.8   660.5   863.0  1393.3  4642.7 19993.9  22991.7    23001
read      428.1   482.3   148.8   202.9   218.0   351.3   433.9   487.3   527.6   578.0   644.7   774.5  1692.5  5926.2 15113.2  58600.0    58599
read      454.7   744.9   160.7   205.4   219.7   376.7   460.7   500.4   530.3   571.1   644.6   814.6  1651.4 11626.6 31449.0  17265.0    17311
read      387.6   781.9   160.7   217.6   239.0   324.3   358.0   377.7   394.5   416.2   450.2   524.0  1263.2 12499.9 32028.9   5439.1     5440
read      430.3   404.2   148.8   210.9   230.3   375.1   456.5   507.2   547.2   598.1   669.5   790.5  1086.2  3764.7 16021.6  93643.2    93762
read      404.1   358.4   148.8   203.9   219.2   350.4   430.6   479.0   515.4   560.5   621.6   719.9  1114.8  3522.8 14229.6  73463.9    73308
read      398.6   308.4   148.8   202.9   217.4   343.7   437.4   494.1   531.8   574.3   624.8   693.2  1055.9  2734.9 11543.3  34039.7    33990
read      399.9   390.6   148.8   202.4   217.1   345.6   425.1   474.2   511.8   556.8   616.2   706.0  1086.2  3899.6 14470.2  66919.8    66988
read      398.0   360.6   148.8   202.5   216.8   340.3   439.0   493.8   529.3   568.3   615.0   683.3  1061.1  3806.4 11796.8  30397.9    30331
