2024-05-09T21:49:56.630558 start scheduler
2024-05-09T21:49:56.649926 custom scheduler memcached+pid%3D8686
2024-05-09T21:49:56.650132 custom scheduler scheduler+pid%3D8686
2024-05-09T21:49:56.650254 custom scheduler unstable+%28CURR+0+-+0+QPS%29
2024-05-09T21:49:56.651287 update_cores memcached [0,1]
2024-05-09T21:49:56.717158 custom scheduler stable+%2818865+QPS%29
2024-05-09T21:49:56.936814 start freqmine [2,3] 3
2024-05-09T21:49:57.208121 start canneal [2,3] 3
2024-05-09T21:49:57.355870 custom scheduler stable+%2814772+QPS%29
2024-05-09T21:49:57.532950 start dedup [1] 1
2024-05-09T21:49:57.737318 custom scheduler unstable+%28CURR+20808+-+14468+QPS%29
2024-05-09T21:49:57.782063 pause dedup
2024-05-09T21:49:57.802509 custom scheduler stable+%2814514+QPS%29
2024-05-09T21:49:57.823626 unpause dedup
2024-05-09T21:49:58.052788 custom scheduler stable+%2814436+QPS%29
2024-05-09T21:49:58.744746 custom scheduler stable+%2814226+QPS%29
2024-05-09T21:49:59.446127 custom scheduler stable+%2814417+QPS%29
2024-05-09T21:50:00.137340 custom scheduler stable+%2814352+QPS%29
2024-05-09T21:50:00.757009 pause dedup
2024-05-09T21:50:00.808544 unpause dedup
2024-05-09T21:50:00.836246 custom scheduler stable+%2814525+QPS%29
2024-05-09T21:50:01.536236 custom scheduler stable+%2814526+QPS%29
2024-05-09T21:50:02.227262 custom scheduler stable+%2814394+QPS%29
2024-05-09T21:50:02.928806 custom scheduler stable+%2814469+QPS%29
2024-05-09T21:50:03.642412 custom scheduler stable+%2814447+QPS%29
2024-05-09T21:50:04.344171 custom scheduler unstable+%28CURR+70016+-+17215+QPS%29
2024-05-09T21:50:04.363038 pause dedup
2024-05-09T21:50:05.199234 custom scheduler stable+%2883019+QPS%29
2024-05-09T21:50:05.842224 custom scheduler stable+%2891543+QPS%29
2024-05-09T21:50:06.560688 custom scheduler unstable+%28CURR+136643+-+91636+QPS%29
2024-05-09T21:50:06.624091 custom scheduler stable+%2891541+QPS%29
2024-05-09T21:50:07.283904 custom scheduler stable+%2891043+QPS%29
2024-05-09T21:50:07.999149 custom scheduler stable+%2890814+QPS%29
2024-05-09T21:50:08.726558 custom scheduler stable+%2891164+QPS%29
2024-05-09T21:50:09.446372 custom scheduler stable+%2891231+QPS%29
2024-05-09T21:50:10.172311 custom scheduler stable+%2891237+QPS%29
2024-05-09T21:50:10.887967 custom scheduler stable+%2891659+QPS%29
2024-05-09T21:50:11.610824 custom scheduler stable+%2891468+QPS%29
2024-05-09T21:50:12.014573 custom scheduler unstable+%28CURR+135750+-+89932+QPS%29
2024-05-09T21:50:12.144099 custom scheduler stable+%2893949+QPS%29
2024-05-09T21:50:12.335441 custom scheduler stable+%2891855+QPS%29
2024-05-09T21:50:12.876513 custom scheduler unstable+%28CURR+137666+-+90005+QPS%29
2024-05-09T21:50:13.071118 custom scheduler stable+%2891636+QPS%29
2024-05-09T21:50:13.790037 custom scheduler stable+%2895229+QPS%29
2024-05-09T21:50:14.505608 custom scheduler stable+%2890045+QPS%29
2024-05-09T21:50:14.902077 custom scheduler unstable+%28CURR+131878+-+87555+QPS%29
2024-05-09T21:50:14.971575 custom scheduler stable+%2887461+QPS%29
2024-05-09T21:50:15.228563 custom scheduler stable+%2885323+QPS%29
2024-05-09T21:50:15.940498 custom scheduler stable+%2884572+QPS%29
2024-05-09T21:50:16.660857 custom scheduler stable+%2884316+QPS%29
2024-05-09T21:50:17.371803 custom scheduler stable+%2884832+QPS%29
2024-05-09T21:50:18.079428 custom scheduler stable+%2884759+QPS%29
2024-05-09T21:50:18.798357 custom scheduler stable+%2884759+QPS%29
2024-05-09T21:50:19.506673 custom scheduler stable+%2884439+QPS%29
2024-05-09T21:50:19.773009 custom scheduler unstable+%28CURR+126650+-+83892+QPS%29
2024-05-09T21:50:19.835893 custom scheduler stable+%2884559+QPS%29
2024-05-09T21:50:20.223989 custom scheduler stable+%2884340+QPS%29
2024-05-09T21:50:20.616960 custom scheduler unstable+%28CURR+130860+-+85006+QPS%29
2024-05-09T21:50:20.682439 custom scheduler stable+%2886195+QPS%29
2024-05-09T21:50:20.938835 custom scheduler stable+%2883928+QPS%29
2024-05-09T21:50:21.644761 custom scheduler stable+%2884597+QPS%29
2024-05-09T21:50:22.358210 custom scheduler stable+%2884230+QPS%29
2024-05-09T21:50:23.076053 custom scheduler stable+%2884250+QPS%29
2024-05-09T21:50:23.344239 custom scheduler unstable+%28CURR+138635+-+84533+QPS%29
2024-05-09T21:50:23.407381 custom scheduler stable+%2884701+QPS%29
2024-05-09T21:50:23.800346 custom scheduler stable+%2884206+QPS%29
2024-05-09T21:50:24.514414 custom scheduler stable+%2876634+QPS%29
2024-05-09T21:50:25.214973 custom scheduler stable+%2853559+QPS%29
2024-05-09T21:50:25.911882 custom scheduler stable+%2850675+QPS%29
2024-05-09T21:50:26.555809 custom scheduler unstable+%28CURR+77518+-+50373+QPS%29
2024-05-09T21:50:26.619919 custom scheduler stable+%2850481+QPS%29
2024-05-09T21:50:27.317649 custom scheduler stable+%2850682+QPS%29
2024-05-09T21:50:28.027051 custom scheduler stable+%2850805+QPS%29
2024-05-09T21:50:28.732072 custom scheduler stable+%2850388+QPS%29
2024-05-09T21:50:29.423029 custom scheduler stable+%2850796+QPS%29
2024-05-09T21:50:30.121040 custom scheduler stable+%2850424+QPS%29
2024-05-09T21:50:30.815735 custom scheduler stable+%2850637+QPS%29
2024-05-09T21:50:31.520712 custom scheduler stable+%2850755+QPS%29
2024-05-09T21:50:32.212644 custom scheduler stable+%2850173+QPS%29
2024-05-09T21:50:32.904725 custom scheduler stable+%2850396+QPS%29
2024-05-09T21:50:33.598757 custom scheduler stable+%2850166+QPS%29
2024-05-09T21:50:34.293462 custom scheduler stable+%2850749+QPS%29
2024-05-09T21:50:34.358315 custom scheduler unstable+%28CURR+92871+-+52393+QPS%29
2024-05-09T21:50:34.867662 custom scheduler stable+%2864968+QPS%29
2024-05-09T21:50:35.526776 custom scheduler stable+%2875462+QPS%29
2024-05-09T21:50:36.234408 custom scheduler stable+%2875547+QPS%29
2024-05-09T21:50:36.947902 custom scheduler stable+%2875504+QPS%29
2024-05-09T21:50:37.643471 custom scheduler stable+%2875736+QPS%29
2024-05-09T21:50:38.346006 custom scheduler stable+%2876061+QPS%29
2024-05-09T21:50:39.051882 custom scheduler stable+%2875813+QPS%29
2024-05-09T21:50:39.753401 custom scheduler stable+%2875642+QPS%29
2024-05-09T21:50:40.081813 custom scheduler unstable+%28CURR+108132+-+75627+QPS%29
2024-05-09T21:50:40.144831 custom scheduler stable+%2875674+QPS%29
2024-05-09T21:50:40.466563 custom scheduler stable+%2875334+QPS%29
2024-05-09T21:50:41.171525 custom scheduler stable+%2875312+QPS%29
2024-05-09T21:50:41.880525 custom scheduler stable+%2875054+QPS%29
2024-05-09T21:50:42.580595 custom scheduler stable+%2875467+QPS%29
2024-05-09T21:50:43.286258 custom scheduler stable+%2875508+QPS%29
2024-05-09T21:50:43.984172 custom scheduler stable+%2875269+QPS%29
2024-05-09T21:50:44.684459 custom scheduler stable+%2870954+QPS%29
2024-05-09T21:50:45.383062 custom scheduler stable+%2863608+QPS%29
2024-05-09T21:50:46.091402 custom scheduler stable+%2863025+QPS%29
2024-05-09T21:50:46.788638 custom scheduler stable+%2862693+QPS%29
2024-05-09T21:50:47.486678 custom scheduler stable+%2862951+QPS%29
2024-05-09T21:50:48.188843 custom scheduler stable+%2863261+QPS%29
2024-05-09T21:50:48.899250 custom scheduler stable+%2863251+QPS%29
2024-05-09T21:50:49.595868 custom scheduler stable+%2863077+QPS%29
2024-05-09T21:50:50.292812 custom scheduler stable+%2863451+QPS%29
2024-05-09T21:50:50.992577 custom scheduler stable+%2862812+QPS%29
2024-05-09T21:50:51.685021 custom scheduler stable+%2862985+QPS%29
2024-05-09T21:50:52.194930 custom scheduler unstable+%28CURR+91900+-+63404+QPS%29
2024-05-09T21:50:52.257306 custom scheduler stable+%2863127+QPS%29
2024-05-09T21:50:52.386867 custom scheduler stable+%2863322+QPS%29
2024-05-09T21:50:53.093419 custom scheduler stable+%2863367+QPS%29
