Random waveform, random seed
Total number of intervals = 90 (88281, 15882, 22336, 96047, 6768, 82173, 51081, 27318, 33107, 39911, 14265, 24606, 47353, 64930, 9913, 24498, 39535, 56119, 40827, 20231, 64037, 19741, 96074, 82270, 74184, 29969, 31201, 25699, 87322, 40158, 85746, 58011, 12838, 63329, 89855, 50626, 70757, 95522, 14279, 58832, 38144, 59406, 84918, 12900, 65518, 20138, 8866, 6121, 46382, 94750, 53385, 69649, 92040, 16001, 24067, 15149, 49662, 14044, 99835, 18603, 64240, 6136, 11685, 80886, 82812, 56364, 68699, 82967, 5567, 34269, 5153, 17548, 89565, 29884, 29905, 89158, 23727, 6648, 63421, 21485, 49309, 61446, 75939, 78682, 93669, 26871, 24442, 49609, 71735, 97542)
Average QPS expected = 48273
Timestamp start: 1715445039876
Timestamp end: 1715445940354

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      426.2   509.1   148.8   202.7   220.7   356.7   431.6   479.8   518.4   567.7   636.1   774.8  1448.8  6727.4 21113.2  88117.1    88281
read      440.7   673.6   148.8   196.7   212.3   374.8   451.9   492.6   523.4   565.2   633.5   763.0  1392.2  9810.0 31733.5  15907.7    15882
read      478.8   856.2   148.8   194.8   210.0   368.2   467.3   522.5   566.1   629.5   732.1   911.2  2031.4 11250.3 35304.1  22240.2    22336
read      409.3   365.2   148.8   203.3   221.9   353.5   424.5   469.4   505.7   552.2   620.9   746.0  1212.4  4193.1 12265.3  95955.2    96047
read      432.9   869.4   160.7   212.4   237.2   357.2   405.1   436.6   461.3   491.2   533.0   631.5  1505.9 10100.3 35546.3   6803.9     6768
read      403.7   378.7   148.8   198.4   214.8   342.9   417.4   463.9   500.3   546.7   615.6   746.2  1425.9  3706.8 10764.7  81898.6    82173
read      390.0   357.9   148.8   195.5   210.7   336.6   410.7   459.4   497.2   543.7   605.3   708.3  1144.7  2675.7 13334.7  51055.0    51081
read      487.6   758.3   148.8   194.6   210.1   365.1   482.0   550.0   607.0   692.4   824.7  1035.8  1905.4  9931.0 31939.7  27367.5    27318
read      400.5   456.1   148.8   194.6   209.4   337.4   420.7   472.7   510.3   553.8   611.2   718.0  1201.5  5837.6 14492.0  33080.7    33107
read      397.3   324.8   148.8   196.7   212.1   339.2   420.7   472.7   512.2   558.0   618.4   728.5  1218.0  2926.3 13178.9  39889.6    39911
read      419.0   585.1   148.8   195.4   210.7   366.4   433.5   471.3   500.9   539.3   597.8   717.5  1222.6  6839.8 30572.6  14290.6    14265
read      417.6   561.2   148.8   190.7   204.6   342.2   437.7   488.4   523.4   565.0   628.6   792.0  1306.6  6730.4 29711.3  24629.0    24606
read      391.4   351.0   148.8   193.7   208.5   334.4   410.6   460.9   499.2   545.8   607.8   713.9  1217.8  2917.5 12653.0  47462.4    47353
read      388.8   325.7   148.8   194.2   209.2   335.9   409.6   455.9   492.4   539.0   603.4   719.5  1173.4  2635.1 12575.1  64849.1    64930
read      396.1   531.8   148.8   199.0   216.6   351.3   400.4   430.8   456.5   490.9   541.1   638.8  1136.9  5947.8 30175.6   9874.2     9913
read      432.2   570.6   148.8   192.1   206.4   352.9   453.4   506.0   543.4   591.3   678.4   850.6  1374.2  6934.3 30807.8  24536.8    24498
read      390.0   443.4   148.8   193.6   208.1   331.4   409.5   460.2   498.4   542.8   596.6   685.0  1137.5  4929.4 17878.1  39564.3    39535
read      387.8   321.5   148.8   194.0   208.9   334.6   408.4   456.3   493.1   538.5   598.3   698.8  1180.7  3107.5 12346.9  56136.3    56119
read      388.3   364.1   148.8   193.5   208.0   333.2   410.4   460.8   499.1   544.7   602.9   695.8  1135.9  3499.8 12402.8  40870.2    40827
read      384.1   442.3   148.8   193.6   207.5   343.2   421.0   459.5   485.9   515.8   553.3   624.3   944.2  6138.7 15612.7  20182.2    20231
read      387.1   357.3   148.8   194.4   209.3   332.8   405.5   452.4   488.8   534.5   595.9   705.0  1174.3  2784.9 13281.0  64043.6    64037
read      426.5   589.7   148.8   195.1   209.8   363.6   449.2   494.0   525.9   565.8   631.9   776.4  1255.7  8522.9 30428.7  19698.0    19741
read      396.9   377.2   148.8   199.1   216.5   343.5   414.7   459.4   494.6   539.0   600.7   714.6  1132.6  3971.0 13177.9  95838.8    96074
read      391.6   395.1   148.8   195.6   211.5   336.6   408.2   453.1   488.5   533.6   594.8   712.2  1140.5  4260.0 13591.1  82056.2    82270
read      396.3   340.3   137.8   196.9   213.1   340.2   411.4   456.3   491.5   536.8   602.2   730.9  1337.9  3329.6 11681.7  74202.3    74184
read      382.7   365.8   148.8   191.5   205.0   328.0   416.1   466.2   500.7   538.9   584.6   664.8  1061.9  4464.2 12521.5  29953.9    29969
read      396.5   412.3   148.8   194.0   208.3   334.8   424.3   476.9   513.1   553.9   606.0   697.5  1178.6  5586.5 12575.6  31200.3    31201
read      481.5   572.7   148.8   194.4   210.0   372.4   495.5   572.2   638.1   729.1   836.9  1007.6  1685.9  6766.0 28859.0  25630.7    25699
read      398.9   411.4   148.8   195.5   211.7   341.1   414.8   461.2   497.8   543.8   611.2   734.8  1175.3  3880.1 14349.8  87355.4    87322
read      392.7   390.7   148.8   195.2   210.4   337.2   413.9   462.6   500.6   546.6   607.5   714.2  1151.3  2802.6 15419.6  40115.4    40158
read      385.7   371.0   148.8   195.5   211.3   334.1   404.2   448.7   483.2   527.6   587.8   693.5  1065.3  3898.1 13497.7  85831.9    85746
read      389.2   426.0   148.8   194.5   209.3   334.3   407.4   454.8   492.1   538.3   597.8   702.3  1161.8  3092.1 17264.4  58140.7    58011
read      414.2   772.2   148.8   194.7   209.7   356.9   413.2   442.3   464.5   494.4   538.5   635.4  1241.7 10658.4 31912.6  12854.0    12838
read      398.2   405.0   148.8   195.4   210.6   339.8   415.7   462.7   499.9   547.0   612.5   730.6  1270.6  3520.4 15362.0  63375.2    63329
read      397.1   341.7   148.8   196.6   213.6   342.6   413.9   459.3   495.4   541.6   608.1   732.6  1200.2  3255.9 12547.3  89949.4    89855
read      392.7   376.6   148.8   195.9   211.4   337.4   410.7   458.0   495.7   542.8   605.9   710.8  1177.0  4021.1 13722.8  50570.7    50626
read      405.7   469.2   148.8   194.9   210.4   337.9   413.6   461.3   498.9   545.7   614.1   741.5  1488.9  4677.9 15013.8  70550.7    70757
read      431.3   475.5   148.8   200.7   219.6   361.8   442.3   495.4   537.4   590.5   669.3   818.5  1373.3  5357.7 16166.0  95422.2    95522
read      427.0   659.4   148.8   194.1   209.6   365.4   431.1   468.2   498.6   539.9   605.0   733.8  1451.0  7721.6 31861.5  14300.8    14279
read      381.4   325.2   137.8   193.6   208.5   333.5   405.1   449.7   484.5   529.3   588.5   687.8  1061.9  2351.6 13627.4  58735.4    58832
read      390.3   328.3   148.8   195.0   210.2   340.0   416.8   465.2   502.8   548.0   607.6   709.1  1110.4  2081.9 13203.7  38149.9    38144
read      379.6   246.7   148.8   193.1   207.6   332.8   405.3   452.0   488.1   533.1   592.4   691.8  1091.3  2002.1  8343.2  59239.4    59406
read      378.4   302.2   148.8   194.4   209.7   331.1   401.7   445.7   479.2   522.7   581.7   682.1  1011.2  2971.3 10173.6  84910.9    84918
read      415.0   560.5   148.8   195.0   211.3   366.5   429.0   465.9   497.4   538.7   593.8   692.7  1185.8  7229.2 29022.0  12880.0    12900
read      383.0   305.8   148.8   193.7   208.9   334.1   405.0   449.6   484.3   529.5   590.1   693.9  1095.8  2797.2  9693.6  65463.6    65518
read      379.2   416.4   148.8   193.3   207.4   342.0   417.8   455.5   481.5   510.6   548.6   619.7   931.0  3744.7 18253.2  20245.0    20138
read      438.6   802.9   148.8   204.4   224.0   362.4   417.1   451.3   478.3   513.2   563.5   674.4  1836.5  8135.9 31914.3   8822.9     8866
read      421.9   888.7   148.8   212.2   238.2   344.1   387.1   413.1   433.1   460.5   501.3   605.9  1607.1 10808.5 35491.3   6090.5     6121
read      385.7   313.6   137.8   194.1   209.0   334.9   410.5   459.1   497.1   543.1   599.8   687.4  1046.7  3881.9 10099.6  46281.6    46382
read      384.1   326.2   148.8   195.8   212.4   335.9   404.1   447.9   481.4   524.3   582.5   685.5  1068.6  2985.3 12778.3  94724.9    94750
read      386.4   299.3   148.8   195.7   211.4   338.7   410.1   454.4   489.6   534.9   596.6   706.6  1085.2  2185.9 12331.4  53497.4    53385
read      382.2   293.7   137.8   194.4   209.5   333.0   404.2   449.2   484.0   528.4   588.0   692.6  1101.0  2665.2  9854.4  69638.0    69649
read      380.5   312.1   137.8   196.0   212.1   334.0   401.6   444.5   477.3   519.7   577.9   683.1  1045.4  2551.8 11337.1  92190.1    92040
read      406.4   471.5   148.8   193.4   208.5   361.7   430.4   466.8   495.5   532.3   588.2   714.2  1178.9  5800.8 26502.8  16006.5    16001
read      458.2   632.6   148.8   192.5   207.7   363.4   467.0   526.8   572.9   639.5   751.1   927.6  1631.6  7637.9 30920.0  23990.5    24067
read      422.1   658.4   148.8   193.7   208.8   361.2   429.2   467.1   497.9   538.6   607.0   740.0  1326.0  7984.0 31882.2  15197.8    15149
read      404.9   491.2   137.8   196.0   211.9   338.6   411.7   459.6   498.5   548.2   618.0   744.3  1368.3  5658.1 28663.9  49602.0    49662
read      437.0   684.0   148.8   196.9   212.4   371.3   436.3   472.3   501.8   540.3   603.9   746.8  1705.6  9055.1 31099.6  14009.2    14044
read      398.2   357.7   148.8   200.4   218.6   347.6   418.3   463.3   499.1   543.3   604.0   712.0  1079.5  3751.8 13108.0  99698.6    99835
read      406.0   418.3   148.8   193.2   207.5   359.2   438.0   477.8   506.5   541.8   592.1   715.5  1238.7  4918.1 16988.8  18687.5    18603
read      382.4   277.2   148.8   193.3   208.2   333.2   406.1   451.6   486.9   532.1   593.3   702.5  1109.6  2648.1  9781.4  64255.2    64240
read      425.0   914.5   148.8   212.5   238.7   343.8   387.4   414.4   435.2   466.5   517.7   661.5  1438.3 12248.0 38891.3   6167.8     6136
read      440.6   716.2   148.8   198.8   215.5   365.6   424.0   458.2   487.0   528.0   589.5   723.1  1996.8  9251.3 30998.0  11602.1    11685
read      393.2   332.6   137.8   195.2   210.7   335.9   409.1   454.3   489.0   533.3   595.6   717.7  1332.0  4051.8 10740.1  80904.8    80886
read      379.4   324.3   148.8   194.4   209.8   330.8   401.7   445.5   479.1   522.2   580.0   680.3  1023.4  3318.9 10977.2  82746.7    82812
read      386.1   276.3   148.8   193.9   208.8   337.3   411.7   457.8   494.2   540.9   603.9   707.1  1115.9  2428.5  9711.0  56412.4    56364
read      396.7   374.0   148.8   196.3   212.2   341.3   415.0   460.1   495.9   541.4   607.8   732.1  1231.3  3246.3 13328.6  68809.9    68699
read      562.2   733.5   148.8   208.7   231.7   399.8   496.1   562.4   623.1   722.6  1052.5  1654.4  2511.7  9127.4 30530.5  82894.8    82967
read      416.4   980.7   160.7   215.2   241.7   336.4   373.2   396.3   413.7   434.7   467.8   543.0  1871.7 12728.7 32390.2   5556.5     5567
read      371.2   240.3   148.8   192.1   206.0   326.1   406.5   456.4   491.6   530.7   577.3   639.8   874.4  2767.0  8093.1  34221.8    34269
read      356.0   449.2   160.7   220.7   245.5   321.3   347.4   363.8   374.0   390.3   410.0   457.5   953.3  7162.4 18132.9   5201.8     5153
read      361.5   310.5   148.8   192.2   205.8   340.4   407.4   439.3   461.2   486.3   516.5   563.6   727.0  2613.4 12068.0  17544.8    17548
read      365.6   268.3   148.8   194.5   210.1   328.0   393.5   432.9   463.3   500.7   549.5   631.1   850.1  2426.6 10224.8  89482.1    89565
read      366.2   233.0   148.8   191.0   204.5   324.9   408.6   456.3   489.0   525.0   566.7   624.8   801.6  2092.5  8342.2  29945.7    29884
read      362.8   262.3   148.8   192.2   206.4   323.1   408.7   453.8   483.3   514.4   551.2   604.3   743.0  2139.8  9677.5  29788.8    29905
read      348.9   175.4   137.8   192.0   206.8   319.0   381.7   419.2   447.2   480.8   526.7   594.4   744.6  1555.2  6894.1  89299.0    89158
read      361.2   209.7   148.8   195.3   210.3   334.9   413.5   449.4   472.3   498.2   530.0   578.1   709.9  1781.7  8027.0  23790.8    23727
read      356.2   387.7   148.8   219.7   241.9   333.2   362.0   377.2   389.7   402.3   423.3   459.6   646.7  5497.6 18491.5   6691.6     6648
read      354.0   169.2   137.8   192.3   207.0   325.6   391.1   429.4   458.2   492.9   538.3   606.3   742.2  1377.1  5698.4  63334.1    63421
read      361.6   248.9   137.8   194.8   209.6   338.7   416.3   450.0   471.4   495.4   524.0   566.1   662.7  2220.9 10911.2  21592.5    21485
read      357.9   181.6   137.8   192.6   207.6   326.4   394.4   436.1   468.1   505.8   551.8   616.0   740.4  1425.8  6282.6  49103.7    49309
read      356.7   177.1   148.8   192.7   207.6   328.0   393.9   431.9   460.6   495.6   541.3   611.8   761.3  1404.9  5945.9  61403.6    61446
read      352.1   166.1   148.8   193.4   208.6   324.1   387.5   424.4   452.0   485.4   529.9   599.4   758.8  1289.1  5653.4  75884.5    75939
read      349.7   163.4   137.8   191.8   206.5   320.5   385.9   423.8   452.1   486.2   531.3   597.9   742.2  1150.0  4629.0  78756.5    78682
read      349.4   165.2   137.8   193.6   208.8   320.5   382.6   419.4   447.0   480.4   526.1   594.6   748.2  1154.3  5305.8  93693.6    93669
read      367.5   245.8   148.8   195.2   210.3   332.4   421.0   463.0   490.1   519.1   552.8   602.4   726.5  1738.9  9805.9  26887.3    26871
read      365.5   219.4   148.8   194.9   209.6   336.1   420.9   459.0   483.9   509.8   542.7   589.1   707.1  2275.9  9011.2  24429.2    24442
read      363.0   179.7   148.8   196.6   212.8   334.4   398.6   436.3   465.3   500.6   547.0   619.5   775.6  1361.6  6480.9  49732.7    49609
read      353.9   175.0   137.8   193.1   208.2   324.6   389.9   427.7   456.2   491.0   536.9   607.4   751.6  1203.2  6918.3  71578.1    71735
read      347.5   163.5   137.8   193.7   208.9   320.7   381.0   416.6   443.2   475.5   519.9   587.6   733.7  1075.3  5287.3  97528.5    97542

Total QPS = 48256.7 (43431032 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 10727465398 bytes :   11.4 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.95%,50.25%,100.00%
