Random waveform, supplied seed
Total number of intervals = 78 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625)
Average QPS expected = 52543
Timestamp start: 1715784894565
Timestamp end: 1715785675128

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      378.0   851.4    74.4   137.1   163.1   308.0   355.9   382.6   402.9   429.9   467.9   545.1  2145.7 10001.7 35782.6   7364.7     7434
read      384.7   396.1    74.4   132.0   151.8   328.5   418.0   471.8   511.9   561.1   627.6   747.4  1447.5  3905.0 13338.1  67095.4    67201
read      373.5   291.5    74.4   135.4   156.8   327.7   413.8   465.7   505.9   555.6   623.4   735.0  1114.9  2511.5 10554.6  85955.7    85927
read      370.3   371.4    68.9   131.7   151.0   325.9   414.5   465.9   504.3   550.0   610.4   707.0  1052.5  3797.0 12519.6  64009.5    63953
read      364.0   434.5    74.4   128.2   146.6   321.2   403.0   452.3   488.2   529.5   580.2   661.5  1077.9  5029.1 15329.7  31584.1    31595
read      381.7   373.7    74.4   134.2   156.1   324.9   410.9   464.4   505.8   557.1   626.9   747.9  1375.7  4056.4 12669.3  87659.0    87879
read      388.0   949.5    80.4   135.4   163.9   315.6   366.6   395.5   417.6   444.9   482.3   550.5  1908.3 13002.9 32233.8   7290.5     7287
read      372.6   333.1    68.9   131.6   150.8   323.1   410.9   462.9   501.5   547.1   608.7   716.3  1373.4  3085.9  9666.5  62177.4    62295
read      358.4   726.5    80.4   142.7   170.9   301.9   348.1   374.5   394.6   419.6   455.6   529.6  1526.8  9957.0 31910.9   6545.7     6561
read      413.5   550.5    74.4   128.7   147.4   329.1   433.2   496.8   546.6   625.5   746.2   913.4  1328.7  6304.5 22927.5  22552.7    22532
