Random waveform, supplied seed
Total number of intervals = 74 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642)
Average QPS expected = 51606
Timestamp start: 1715818314710
Timestamp end: 1715819055580

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      427.1   859.8    80.4   146.2   177.6   346.5   403.3   437.6   463.7   493.9   535.8   634.9  2207.5 12096.9 31946.1   7439.8     7434
read      372.2   409.3    68.9   131.4   150.8   309.1   396.4   452.5   496.1   547.7   615.7   725.7  1529.1  4104.0 13300.9  67273.5    67201
read      365.0   321.3    68.9   135.1   156.3   318.1   401.7   455.3   496.1   545.2   610.5   711.4  1027.4  2871.5 11744.7  85922.2    85927
read      380.9   440.0    74.4   133.5   153.5   320.4   410.2   466.9   509.9   563.6   628.7   731.3  1453.8  4271.9 15819.5  63965.8    63953
read      361.0   351.0    74.4   124.6   142.1   308.2   418.9   486.0   527.2   569.9   617.3   683.5   950.5  3792.2 11522.4  31479.0    31595
read      398.5   580.0    74.4   136.7   158.9   322.9   406.0   461.1   503.8   557.2   629.9   757.3  1654.0  8042.0 28383.7  87865.9    87879
read      388.8   647.0    86.8   153.7   185.8   341.0   390.6   419.6   441.7   469.1   505.3   574.5  1415.8  9518.6 27771.3   7273.6     7287
read      351.9   313.2    68.9   128.8   147.2   304.3   388.8   443.5   486.1   536.8   598.5   687.6  1021.1  2896.2  8990.9  62155.7    62295
read      406.8   851.5    86.8   159.6   193.0   337.9   385.2   413.3   435.1   464.2   501.9   582.6  1792.4 12287.2 32233.6   6568.1     6561
read      446.8   919.3    74.4   126.1   145.5   352.0   470.7   530.9   573.6   625.4   697.7   826.5  1670.3 15137.9 34484.3  22480.1    22532
read      351.6   245.3    74.4   130.9   149.9   311.7   394.5   445.7   486.0   534.9   595.7   685.5   980.3  2029.1  8008.4  60518.5    60653
