Random waveform, supplied seed
Total number of intervals = 78 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625)
Average QPS expected = 52543
Timestamp start: 1715820037091
Timestamp end: 1715820817931

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      395.6   787.6    74.4   152.5   182.7   336.0   389.9   420.5   443.4   468.3   502.2   566.4  1733.6  8756.4 35831.9   7488.6     7434
read      385.9   480.0    68.9   131.7   151.7   321.0   410.3   466.9   509.5   561.3   626.2   731.1  1567.9  6090.3 19029.5  67041.7    67201
read      366.3   306.7    68.9   133.4   154.9   320.2   403.9   457.3   497.6   546.2   610.7   711.5  1068.4  2968.9  9606.5  85943.4    85927
read      381.3   400.1    74.4   132.1   152.0   321.0   413.7   471.6   515.7   567.9   631.1   734.4  1434.7  4718.2 12148.3  64045.6    63953
read      361.5   287.7    74.4   124.6   143.0   314.4   422.1   486.3   526.3   567.6   613.7   679.7   962.6  2758.0  9230.2  31497.8    31595
read      390.2   449.8    68.9   134.7   157.6   328.3   412.7   466.4   508.3   561.7   632.3   757.9  1534.6  4407.0 16228.4  87729.1    87879
read      398.1   923.9    80.4   156.2   186.7   327.0   372.7   398.6   419.8   445.8   480.0   546.2  1711.5 11774.2 35898.8   7250.4     7287
read      366.6   311.0    68.9   129.6   149.1   318.9   408.2   464.3   506.5   556.2   617.1   704.2  1172.6  2823.2  9808.2  62199.3    62295
read      386.2   784.9    80.4   162.0   193.6   328.8   373.8   400.0   421.8   447.9   481.8   545.9  1564.1  9437.6 31731.5   6619.3     6561
read      416.9   494.7    68.9   125.3   145.4   354.9   477.1   536.6   578.7   630.2   701.1   828.6  1328.6  4933.4 23150.5  22426.8    22532
read      360.8   329.2    68.9   128.2   147.4   313.7   401.6   458.0   500.3   549.8   608.5   689.4  1077.9  3269.3 11884.9  60753.6    60653
