Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715599823213
Timestamp end: 1715600723760

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      489.4  1120.7   160.7   223.0   244.8   371.8   417.1   444.6   466.0   498.0   548.8   704.8  3892.3 13838.9 36864.7   7432.0     7434
read      430.1   472.3   148.8   206.4   222.3   359.8   442.5   493.4   533.3   584.2   656.4   798.8  1453.7  5506.4 15893.2  67067.1    67201
read      442.9   441.6   148.8   211.0   229.5   374.8   454.2   504.0   544.2   598.2   678.5   840.4  1474.0  5012.3 15909.8  85990.5    85927
read      418.2   386.1   148.8   204.9   220.2   353.8   434.8   486.0   526.2   577.5   647.3   784.9  1391.8  3721.4 14297.1  63826.5    63953
read      421.8   460.6   148.8   201.8   216.2   356.5   454.9   510.1   549.2   592.4   646.4   750.8  1227.6  6709.1 16100.0  31564.9    31595
read      438.8   441.1   148.8   211.6   230.2   372.7   451.3   501.2   541.7   593.6   672.8   831.1  1405.0  4752.2 14998.3  87897.2    87879
read      468.5  1073.3   160.7   221.5   243.6   369.3   415.9   443.7   466.4   498.6   548.2   675.1  2373.9 12729.8 37536.7   7275.0     7287
read      421.2   440.2   148.8   204.3   219.5   352.7   434.1   484.7   524.8   576.0   645.4   789.7  1480.9  4443.0 16362.9  62219.6    62295
read      429.2   693.4   160.7   225.2   249.3   360.7   399.5   423.8   441.7   467.0   506.9   611.9  1874.5  9160.9 30679.3   6594.6     6561
read      456.0   536.8   148.8   204.3   219.1   379.7   478.5   529.0   565.8   611.6   686.8   868.3  1556.8  7321.8 23485.8  22474.9    22532
read      423.2   356.6   148.8   205.3   220.7   355.7   437.5   489.6   530.6   583.6   657.0   803.2  1499.0  3803.6 12527.5  60642.6    60653
read      411.4   384.1   148.8   204.1   218.8   350.5   431.0   481.1   521.6   572.3   638.2   761.4  1301.0  3177.8 14295.2  59037.6    59076
read      417.8   387.0   148.8   204.3   219.4   352.1   433.4   485.1   526.2   578.3   648.4   787.0  1389.0  4032.3 14333.8  60207.6    60154
read      452.5   649.4   148.8   204.6   219.6   374.2   471.9   520.9   554.9   595.6   656.6   813.7  1477.7  8129.3 31007.2  22963.7    22964
read      444.8   799.7   160.7   219.9   240.3   374.4   420.0   446.5   466.5   495.0   538.7   634.6  1791.4 10285.1 32197.1   8172.6     8172
read      424.3   492.0   148.8   202.6   216.4   357.1   457.3   509.8   546.5   587.8   639.8   746.8  1274.7  6531.4 24086.4  27623.2    27652
read      418.7   401.6   148.8   202.8   217.1   352.4   447.0   504.3   546.1   594.5   653.4   761.3  1273.6  5098.8 12037.9  37670.7    37594
read      463.8   617.8   160.7   204.7   219.7   377.5   481.5   535.6   575.2   623.8   701.4   905.0  1611.1  8200.6 25566.6  24318.8    24367
read      419.2   401.9   148.8   203.4   217.5   356.8   454.2   511.1   552.8   599.1   654.0   755.1  1218.8  3869.7 13651.2  33748.4    33771
read      437.2   464.5   148.8   210.5   228.5   369.3   447.5   496.9   536.1   586.4   661.5   809.2  1417.0  6392.7 13949.1  85000.3    84944
read      434.6   472.5   148.8   210.5   228.5   369.7   447.9   497.4   537.2   588.6   663.1   803.3  1270.9  6829.5 16763.4  85695.4    85666
read      426.9   474.0   148.8   203.7   218.9   355.8   440.6   494.2   537.0   589.5   660.2   796.1  1461.5  5116.3 18651.4  51800.7    51918
read      407.6   334.8   148.8   200.4   214.4   348.6   443.4   499.3   539.1   584.6   638.0   735.9  1180.8  3552.9 11206.4  34443.6    34406
read      414.5   456.7   148.8   200.7   214.9   352.5   452.0   505.2   541.5   582.4   632.3   728.4  1169.6  4456.2 16029.4  28597.8    28664
read      422.0   393.0   148.8   204.0   219.5   355.5   448.3   505.0   548.1   598.4   660.9   779.9  1285.6  4388.1 13553.4  38361.3    38289
read      449.9   648.3   160.7   204.6   219.5   379.6   470.0   514.6   547.1   588.1   650.3   820.6  1439.6  8715.6 29780.7  20648.7    20658
read      460.4   721.0   160.7   208.3   224.3   392.9   459.9   496.5   525.4   564.5   630.9   777.9  1673.4  9612.6 31673.9  13823.6    13840
read      446.5   494.2   148.8   213.2   233.1   379.3   457.8   508.3   549.4   603.8   681.7   831.5  1426.0  4758.1 18916.2  93396.9    93419
read      487.2   442.9   148.8   228.4   256.1   422.2   509.9   568.1   613.3   670.0   746.9   892.1  1366.3  5609.6 15642.4  98292.7    98284
read      419.9   447.5   148.8   205.4   221.0   354.4   433.1   482.0   520.1   569.3   636.8   776.0  1416.0  4741.3 14336.5  71320.9    71313
read      415.9   407.5   148.8   202.1   216.3   353.6   441.8   495.4   536.1   585.6   648.1   766.1  1282.1  3885.8 14193.7  42027.2    42089
read      423.1   467.0   148.8   203.3   218.1   355.8   442.9   497.0   538.8   590.6   658.7   790.0  1358.9  4051.9 18021.5  46521.8    46458
read      418.0   423.6   148.8   201.8   215.6   353.5   453.8   507.0   545.2   588.3   640.8   748.4  1222.2  5064.6 15099.4  30743.1    30755
read      427.3   398.5   148.8   203.9   218.8   359.1   449.7   505.4   548.2   602.1   670.4   801.0  1388.2  4807.0 10572.5  42884.1    42889
read      451.9   403.0   148.8   216.6   237.6   389.1   468.9   521.3   562.8   617.0   695.6   849.9  1392.6  4458.2 14497.7  93727.3    93552
read      419.1   436.4   148.8   204.9   220.3   353.2   432.6   481.7   520.4   570.2   637.6   771.5  1386.7  5110.0 16250.6  65586.1    65694
read      418.0   437.7   148.8   201.6   215.6   355.5   455.6   508.7   546.0   587.6   638.8   740.1  1200.2  5043.6 15838.6  29506.9    29574
read      442.3   504.5   148.8   204.4   219.8   361.3   449.3   503.2   545.5   599.7   675.8   842.6  1689.1  6828.7 16126.4  51342.1    51355
read      421.5   496.6   148.8   203.3   218.4   349.8   428.0   476.2   515.1   564.8   634.0   780.5  1510.6  5819.1 22079.0  67309.9    67361
