Random waveform, supplied seed
Total number of intervals = 82 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394)
Average QPS expected = 52040
Timestamp start: 1715796063816
Timestamp end: 1715796884620

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      386.2   917.1    74.4   134.5   161.6   314.0   360.1   387.1   407.1   433.9   476.1   561.0  1950.7 10390.5 35625.9   7399.4     7434
read      377.9   435.9    74.4   129.5   149.9   323.2   405.9   457.2   497.0   545.4   610.0   723.5  1414.8  4804.3 14584.1  67309.9    67201
read      372.5   338.8    68.9   133.1   156.3   328.3   409.5   459.7   499.2   547.3   614.1   723.6  1063.5  3384.2 12338.2  85998.6    85927
read      375.1   433.4    68.9   129.1   149.3   324.3   406.8   456.8   495.3   541.5   600.9   700.7  1298.7  5145.3 13467.8  63794.5    63953
read      349.1   357.2    74.4   122.6   140.5   314.3   390.8   437.5   475.6   516.7   565.3   638.6   965.4  4056.6 13362.0  31659.2    31595
read      399.6   494.0    68.9   135.6   159.8   337.1   420.9   472.9   514.7   567.7   639.6   771.2  1497.9  6346.1 21650.3  87887.7    87879
read      421.1  1215.2    74.4   132.7   163.0   320.7   369.2   397.4   418.8   445.2   485.6   569.8  2494.1 25623.2 36699.4   7281.8     7287
read      359.1   330.3    68.9   127.0   146.5   320.5   401.1   449.1   486.4   531.6   587.1   675.9  1061.0  3429.0 12181.3  62103.0    62295
read      430.3  1244.3    74.4   137.6   170.3   316.1   362.5   389.2   408.9   435.4   480.5   590.3  3268.5 25230.2 37132.4   6577.0     6561
read      455.6   689.8    68.9   126.1   146.4   348.6   481.6   581.2   657.4   736.8   826.4   953.5  1476.0  8839.7 29705.0  22573.5    22532
read      357.1   277.2    68.9   127.6   147.3   321.4   402.6   452.2   490.5   535.8   591.4   681.5  1012.5  1996.6  9859.3  60659.2    60653
read      369.4   328.0    74.4   129.1   149.1   327.4   410.0   460.7   499.9   546.8   606.2   701.2  1142.6  3222.4 12516.5  59023.9    59076
read      362.2   318.3    68.9   127.9   147.5   324.3   404.7   454.1   492.1   537.6   594.2   686.5  1057.6  2889.6 10603.7  60166.7    60154
read      420.1   721.1    68.9   122.0   141.0   324.3   421.3   489.2   544.2   625.5   743.4   903.0  1528.2  8985.2 31373.6  22939.7    22964
read      403.6  1024.3    74.4   131.0   156.1   310.0   358.3   388.5   412.1   443.7   490.6   588.8  2641.5 12696.4 32513.3   8117.5     8172
read      347.9   474.9    68.9   119.4   136.8   301.8   374.5   421.1   457.3   499.9   549.6   640.0  1088.1  7166.3 19660.9  27649.7    27652
read      350.4   316.0    74.4   122.9   141.4   315.4   391.6   437.7   476.5   521.2   574.7   657.8  1017.1  2810.1 10975.6  37666.5    37594
read      398.8   557.4    68.9   121.0   139.2   318.0   412.1   475.8   528.5   601.1   723.1   890.3  1366.5  5820.9 28493.6  24361.2    24367
read      346.6   394.2    68.9   121.8   140.1   311.4   386.4   432.4   469.8   513.2   563.0   635.9   940.2  3876.7 14755.0  33667.0    33771
read      378.0   321.5    68.9   131.8   153.9   323.8   410.5   464.7   507.0   560.4   632.0   760.3  1333.6  2939.9  9492.5  85026.0    84944
