Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715638933182
Timestamp end: 1715639833709

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      475.2   982.4   173.5   237.2   262.4   395.9   435.7   462.0   482.2   507.1   546.3   629.6  1642.2 13241.3 32470.1   7449.4     7434
read      426.3   426.0   148.8   219.0   234.6   363.6   439.1   490.3   530.2   580.1   648.9   777.4  1275.2  4342.2 12719.3  67120.4    67201
read      441.4   422.7   160.7   223.1   242.0   382.7   459.7   508.2   547.5   599.5   676.0   808.6  1269.4  3592.2 16691.1  86004.8    85927
read      429.3   468.4   160.7   219.5   235.2   367.7   445.9   498.7   539.6   590.1   662.5   796.6  1295.5  2701.8 15065.9  63997.8    63953
read      500.6  2543.3   160.7   221.4   240.6   431.1   520.6   579.0   619.9   666.7   725.8   812.1  1172.0  4470.6 214877.9  31625.5    31595
read      423.0   436.8   148.8   215.9   233.4   365.7   440.0   487.1   523.8   571.1   636.6   756.8  1172.4  4971.2 14565.7  87792.2    87879
read      443.6   589.1   173.5   239.4   263.3   413.1   455.3   476.4   493.5   511.2   540.2   593.3   996.3  8099.7 30560.1   7337.4     7287
read      420.4   405.4   148.8   213.4   229.0   356.3   437.6   491.3   534.7   588.7   658.2   762.6  1276.8  3441.5 14306.5  62234.1    62295
read      456.8   684.4   160.7   242.3   268.5   402.4   447.6   472.5   494.3   519.6   555.5   632.9  1621.2  8335.7 31798.4   6615.3     6561
read      494.0   737.4   160.7   212.9   229.3   412.2   523.5   576.3   614.0   661.2   737.4   894.4  1526.9 10351.1 31449.2  22585.6    22532
