2024-05-13T22:22:12.870943 start scheduler
2024-05-13T22:22:12.889466 custom scheduler memcached+pid%3D8483
2024-05-13T22:22:12.889723 custom scheduler scheduler+pid%3D8483
2024-05-13T22:22:12.889876 custom scheduler unstable+%28CURR+0+-+0+QPS%29
2024-05-13T22:22:12.890788 update_cores memcached [0,1]
2024-05-13T22:22:12.956391 custom scheduler stable+%280+QPS%29
2024-05-13T22:22:13.165726 start freqmine [2,3] 3
2024-05-13T22:22:13.451247 start canneal [2,3] 3
2024-05-13T22:22:13.579863 custom scheduler stable+%280+QPS%29
2024-05-13T22:22:13.642282 custom scheduler unstable+%28CURR+0+-+48+QPS%29
2024-05-13T22:22:13.814549 start radix [1] 1
2024-05-13T22:22:13.905267 update_cores radix [3]
2024-05-13T22:22:13.939776 pause radix
2024-05-13T22:22:14.520978 custom scheduler stable+%286469+QPS%29
2024-05-13T22:22:15.018156 custom scheduler unstable+%28CURR+10656+-+7393+QPS%29
2024-05-13T22:22:15.080279 custom scheduler stable+%287369+QPS%29
2024-05-13T22:22:15.142760 custom scheduler stable+%287395+QPS%29
2024-05-13T22:22:15.826284 custom scheduler stable+%287507+QPS%29
2024-05-13T22:22:16.510916 custom scheduler stable+%287543+QPS%29
2024-05-13T22:22:17.197616 custom scheduler stable+%287412+QPS%29
2024-05-13T22:22:17.882092 custom scheduler stable+%287478+QPS%29
2024-05-13T22:22:18.075046 update_cores radix [1]
2024-05-13T22:22:18.095731 unpause radix
2024-05-13T22:22:18.149248 update_cores radix [3]
2024-05-13T22:22:18.184527 pause radix
2024-05-13T22:22:18.325248 custom scheduler unstable+%28CURR+10990+-+7519+QPS%29
2024-05-13T22:22:18.387488 custom scheduler stable+%287581+QPS%29
2024-05-13T22:22:18.579821 custom scheduler stable+%287541+QPS%29
2024-05-13T22:22:19.263871 custom scheduler stable+%287654+QPS%29
2024-05-13T22:22:19.954658 custom scheduler stable+%287649+QPS%29
2024-05-13T22:22:20.081554 custom scheduler unstable+%28CURR+11197+-+7617+QPS%29
2024-05-13T22:22:20.143331 custom scheduler stable+%287601+QPS%29
2024-05-13T22:22:20.639228 custom scheduler stable+%287693+QPS%29
2024-05-13T22:22:21.323122 custom scheduler stable+%287653+QPS%29
2024-05-13T22:22:22.006386 custom scheduler stable+%287556+QPS%29
2024-05-13T22:22:22.689791 custom scheduler stable+%287547+QPS%29
2024-05-13T22:22:23.372221 custom scheduler stable+%287503+QPS%29
2024-05-13T22:22:23.683012 custom scheduler unstable+%28CURR+47792+-+9547+QPS%29
2024-05-13T22:22:24.513645 custom scheduler stable+%2858261+QPS%29
