Random waveform, supplied seed                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 302
97, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)                                                                                                                                                                                                                                                                                                             
Average QPS expected = 51583                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Timestamp start: 1715595616277                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Timestamp end: 1715596516969                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target                                                                                                                                                                                                                                                                                                                                             
read      461.1   926.8   160.7   223.6   245.9   373.1   416.6   441.4   462.1   489.8   533.7   648.8  2699.3 12218.6 32232.7   7420.2     7434                                                                                                                                                                                                                                                                                                                                             
read      462.4   540.1   148.8   210.8   228.6   385.4   478.2   533.2   575.6   628.6   703.8   862.0  1557.7  6111.0 28072.2  67157.8    67201                                                                                                                                                                                                                                                                                                                                             
read      502.7   502.1   148.8   220.5   243.8   415.5   505.7   565.2   614.3   680.7   786.4  1022.2  1824.9  5444.5 17535.2  86041.3    85927                                                                                                                                                                                                                                                                                                                                             
read      444.7   455.2   148.8   208.7   225.8   378.7   470.1   524.1   564.9   616.4   686.4   831.5  1427.7  4141.6 16076.4  64110.3    63953                                                                                                                                                                                                                                                                                                                                             
read      438.1   530.4   148.8   203.5   219.1   369.8   473.7   530.5   569.2   612.9   667.4   780.1  1293.5  6430.3 27975.5  31632.1    31595                                                                                                                                                                                                                                                                                                                                             
read      488.6   470.2   148.8   222.8   247.4   421.4   511.3   568.7   615.0   675.3   761.8   927.0  1428.0  5381.2 16926.5  87890.0    87879                                                                                                                                                                                                                                                                                                                                             
read      466.5  1107.0   160.7   220.8   243.0   369.7   413.1   437.2   458.2   483.8   523.7   619.1  2532.6 15638.7 37794.4   7252.4     7287                                                                                                                                                                                                                                                                                                                                             
read      451.8   478.1   148.8   208.5   225.5   379.1   472.5   528.1   569.6   621.2   690.8   842.2  1595.0  5532.8 17012.5  62148.7    62295                                                                                                                                                                                                                                                                                                                                             
read      453.1  1028.0   160.7   223.3   248.1   362.3   404.2   430.6   451.1   475.3   515.9   615.3  2002.8 14228.9 32324.2   6573.7     6561                                                                                                                                                                                                                                                                                                                                             
read      466.8   708.6   148.8   204.4   220.2   384.6   485.0   534.2   569.1   612.4   679.3   863.2  1626.8 10126.7 32446.5  22516.2    22532                                                                                                                                                                                                                                                                                                                                             
read      442.4   435.8   148.8   209.3   226.5   374.6   464.9   518.7   559.6   611.1   680.1   818.8  1445.5  5021.3 14536.7  60623.9    60653                                                                                                                                                                                                                                                                                                                                             
read      439.8   454.3   148.8   206.7   223.4   373.0   463.3   516.4   557.4   609.7   679.4   820.6  1454.9  3883.8 14957.7  59038.7    59076                                                                                                                                                                                                                                                                                                                                             
read      440.7   413.5   148.8   207.2   223.9   375.6   466.1   520.1   561.0   613.1   683.4   827.6  1435.1  3724.3 13933.7  60133.6    60154                                                                                                                                                                                                                                                                                                                                             
read      475.3   719.2   148.8   204.6   220.3   389.4   493.2   543.3   581.0   628.6   713.1   929.7  1641.8 10066.0 31612.9  22995.5    22964                                                                                                                                                                                                                                                                                                                                             
read      442.7   770.5   160.7   217.5   237.3   374.1   421.8   448.5   468.1   496.6   539.7   641.4  1810.5 11970.2 32049.8   8166.3     8172                                                                                                                                                                                                                                                                                                                                             
read      433.5   444.3   148.8   203.3   218.7   372.5   476.8   529.3   565.3   606.6   659.1   769.4  1253.7  5742.7 15958.0  27590.7    27652                                                                                                                                                                                                                                                                                                                                             
read      434.9   427.1   148.8   204.2   220.2   372.3   470.4   528.3   569.1   616.0   674.8   788.7  1301.4  4473.3 15513.9  37530.9    37594                                                                                                                                                                                                                                                                                                                                             
read      480.0   651.1   148.8   204.4   220.6   390.7   500.9   555.9   597.2   651.0   748.0   970.9  1602.1  8442.6 30765.5  24410.0    24367                                                                                                                                                                                                                                                                                                                                             
read      430.3   380.4   148.8   202.6   217.9   366.6   470.0   528.1   568.1   613.0   668.8   777.3  1299.2  4318.8 12161.9  33728.4    33771                                                                                                                                                                                                                                                                                                                                             
read      473.2   512.6   148.8   216.7   238.1   403.1   492.2   546.2   590.2   646.9   731.6   895.5  1408.3  7001.7 20196.5  84957.0    84944                                                                                                                                                                                                                                                                                                                                             
read      472.9   483.7   148.8   216.9   238.5   403.5   493.2   547.5   591.2   647.2   733.5   900.3  1430.0  6601.5 17351.4  85588.0    85666                                                                                                                                                                                                                                                                                                                                             
read      441.2   545.4   148.8   205.0   221.3   371.8   462.6   516.6   557.3   608.2   674.3   799.3  1414.7  5087.3 25898.8  51845.1    51918                                                                                                                                                                                                                                                                                                                                             
read      444.2   449.2   148.8   204.5   220.7   376.3   479.8   537.4   578.7   626.3   686.5   808.1  1371.4  5326.2 13055.8  34322.6    34406                                                                                                                                                                                                                                                                                                                                             
read      436.2   393.5   148.8   203.7   219.5   375.6   481.3   536.4   573.4   615.1   669.9   783.8  1263.9  4934.2 12976.7  28646.5    28664                                                                                                                                                                                                                                                                                                                                             
read      444.8   436.2   148.8   205.0   221.3   376.6   476.7   536.0   579.3   628.9   691.0   822.3  1403.2  5177.5 16384.4  38210.3    38289                                                                                                                                                                                                                                                                                                                                             
read      467.6   554.4   148.8   206.2   222.2   401.4   500.4   548.1   584.4   630.9   710.2   895.9  1472.7  6419.8 21850.6  20695.0    20658                                                                                                                                                                                                                                                                                                                                             
read      473.1   788.9   160.7   209.3   226.1   405.8   477.2   514.3   543.0   583.6   648.6   795.8  1717.1 10755.6 36568.7  13813.1    13840                                                                                                                                                                                                                                                                                                                                             
read      576.8   539.3   148.8   250.1   288.2   494.8   606.2   682.1   741.3   813.8   910.0  1069.9  1587.2  7230.8 18338.6  93453.9    93419                                                                                                                                                                                                                                                                                                                                             
read      606.1   525.2   148.8   279.9   322.4   528.2   644.0   720.8   779.3   850.6   941.8  1088.5  1532.7  7608.4 18746.9  98265.6    98284                                                                                                                                                                                                                                                                                                                                             
read      453.8   455.6   148.8   210.5   228.6   385.6   475.5   529.6   570.7   623.4   698.9   857.2  1535.7  4579.7 15906.3  71359.8    71313                                                                                                                                                                                                                                                                                                                                             
read      440.5   414.9   148.8   204.8   221.0   375.3   472.0   530.1   572.9   623.6   687.4   816.2  1347.2  4802.2 12868.3  42135.9    42089                                                                                                                                                                                                                                                                                                                                             
