Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715602464019
Timestamp end: 1715603364559

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      493.9  1251.9   160.7   219.2   240.4   365.0   410.0   436.4   459.8   489.8   538.6   673.7  3809.4 15913.7 37779.1   7391.6     7434
read      424.7   524.1   148.8   203.8   219.1   349.8   429.1   477.8   516.7   567.1   638.2   785.7  1531.4  6949.5 26986.0  67174.5    67201
read      423.2   490.0   148.8   205.7   222.5   353.8   428.4   476.1   514.4   564.9   638.1   789.1  1454.1  6208.3 16279.2  85979.2    85927
read      410.7   455.2   148.8   201.3   215.7   342.5   419.0   467.3   505.7   555.7   626.2   765.1  1412.4  4873.1 16207.0  63944.0    63953
read      416.0   517.0   148.8   199.3   213.3   348.6   442.5   495.1   532.4   576.4   632.7   744.4  1208.1  6196.5 26166.2  31663.6    31595
read      415.7   441.0   148.8   205.6   222.4   354.3   427.8   472.7   509.2   558.8   631.0   774.9  1286.6  4857.0 16326.7  87741.0    87879
read      431.8   737.2   160.7   219.2   241.4   361.6   402.2   428.3   449.1   475.4   519.5   634.2  1760.6  8784.9 31226.4   7232.1     7287
read      412.8   420.8   148.8   202.5   216.8   345.3   424.4   473.0   512.1   564.0   635.6   784.2  1414.3  4052.0 13562.9  62242.7    62295
read      421.9   621.3   160.7   225.0   249.7   360.6   400.2   425.4   445.0   470.4   514.3   623.0  1671.8  8097.4 28387.2   6549.1     6561
read      438.2   527.0   148.8   203.4   217.9   370.8   463.8   509.1   542.6   584.4   646.7   809.3  1471.3  6863.1 21279.0  22522.3    22532
read      407.8   447.8   148.8   201.4   215.6   341.6   418.6   466.7   504.7   554.0   623.8   752.6  1334.3  5474.9 14277.7  60644.4    60653
read      410.3   391.1   148.8   202.6   216.8   347.2   427.0   474.9   513.2   563.3   632.0   762.8  1362.8  4133.0 16271.7  58962.2    59076
read      407.5   401.8   148.8   202.8   217.0   344.9   422.8   470.4   508.1   557.3   626.3   755.2  1325.6  4612.2 14199.2  60206.9    60154
read      429.2   450.5   148.8   201.1   215.1   367.8   462.1   508.3   542.1   584.1   649.9   816.8  1365.0  4369.2 16963.9  23072.0    22964
read      452.1   904.1   160.7   216.9   237.0   371.7   418.2   445.5   466.0   494.8   540.5   650.1  1989.4 12775.1 32061.0   8191.2     8172
read      417.3   508.8   148.8   199.4   213.3   352.7   449.7   499.2   533.6   573.4   625.3   735.1  1209.9  7604.5 22266.4  27704.1    27652
read      409.7   374.7   148.8   199.9   214.1   345.9   436.9   491.8   531.2   578.5   638.1   756.5  1262.7  3771.4 14805.3  37584.8    37594
read      445.5   567.6   148.8   201.3   215.3   368.0   467.3   517.0   553.2   601.2   681.3   868.3  1494.2  6821.2 29029.0  24355.2    24367
read      412.2   565.8   148.8   198.6   212.6   342.5   438.2   493.0   530.6   574.3   629.4   736.4  1229.3  5544.4 19902.2  33782.0    33771
read      413.9   390.5   148.8   206.1   222.6   353.7   427.3   473.0   509.2   557.6   628.8   770.2  1328.8  3951.6 14897.3  84855.0    84944
read      406.1   387.0   148.8   204.5   220.7   347.7   419.4   463.8   499.3   545.0   614.1   746.1  1300.5  4240.7 12692.1  85657.3    85666
read      404.9   392.7   148.8   200.6   214.7   342.6   422.3   472.0   511.5   562.7   630.1   755.4  1311.8  3408.6 13604.0  52013.1    51918
read      411.1   422.3   148.8   199.4   213.4   346.4   439.8   493.8   532.1   577.4   634.1   746.1  1233.6  4918.7 16664.3  34430.7    34406
read      411.4   470.6   148.8   199.3   213.2   349.0   446.4   496.3   531.0   571.1   622.9   727.7  1178.7  5203.9 16109.2  28608.0    28664
read      405.8   427.2   148.8   198.6   212.6   341.3   430.8   484.4   523.8   571.1   630.6   740.4  1223.5  4223.6 15917.7  38312.7    38289
