Random waveform, supplied seed
Total number of intervals = 78 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625)
Average QPS expected = 52543
Timestamp start: 1715785880029
Timestamp end: 1715786660576

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      352.1   660.3    74.4   139.4   164.5   298.5   342.9   368.5   388.2   412.8   451.3   525.9  1879.0  8058.6 30810.9   7400.5     7434
read      373.9   478.1    74.4   131.1   150.4   314.9   398.4   450.3   489.9   538.8   604.0   721.6  1374.4  5276.7 18889.4  67196.2    67201
read      364.0   322.9    74.4   135.4   156.1   314.0   395.0   445.5   485.5   536.2   602.7   713.6  1153.9  2892.4 11570.2  85975.1    85927
read      360.6   322.8    74.4   131.7   150.7   314.4   397.2   447.4   486.0   533.4   594.3   698.7  1133.8  2829.2 10729.0  63874.7    63953
read      367.7   578.8    74.4   127.2   144.8   304.2   387.6   436.6   473.3   516.4   572.1   676.2  1347.7  6896.6 20189.3  31614.9    31595
read      366.0   368.5    68.9   131.7   152.4   310.1   390.4   441.0   481.6   533.2   600.3   719.0  1357.7  3723.4 10781.8  87618.7    87879
read      460.4  1436.6    80.4   135.8   165.6   314.2   370.2   400.4   424.2   453.8   496.8   619.2  3990.4 30046.5 37511.4   7267.6     7287
read      347.9   318.2    68.9   127.4   145.6   303.9   384.5   432.6   469.3   514.8   574.0   668.5  1067.0  2764.6 10182.7  62128.4    62295
read      405.5  1091.6    80.4   139.2   169.2   306.0   358.5   386.5   406.2   432.1   468.2   552.6  2574.3 13807.7 32471.9   6564.2     6561
read      445.3   725.3    74.4   127.8   147.0   335.9   464.0   558.3   632.6   708.5   793.9   923.8  1493.4  9401.6 31327.5  22444.6    22532
read      352.9   308.4    68.9   128.9   147.5   308.0   390.5   440.0   477.7   523.6   582.4   684.0  1110.1  2321.7 12349.0  60654.1    60653
read      354.4   294.4    74.4   130.0   148.7   314.0   395.7   445.2   483.1   529.5   588.1   684.4  1005.7  2403.9  9527.5  59150.7    59076
read      354.2   367.0    68.9   128.1   146.4   307.6   389.3   438.3   475.9   521.9   580.9   680.3  1103.8  3179.3 11579.7  60278.7    60154
read      397.5   589.1    74.4   125.9   143.7   313.1   412.8   470.6   518.7   586.0   690.3   848.9  1437.0  7225.1 29422.2  23037.8    22964
read      372.2   837.6    80.4   135.1   157.8   302.2   351.5   381.9   404.2   434.0   476.0   558.6  1673.1 12786.2 31280.4   8260.8     8172
read      340.1   380.7    74.4   126.0   142.8   295.0   374.1   422.0   455.9   494.3   543.2   635.4  1062.0  3935.1 13277.6  27549.0    27652
read      346.1   333.0    74.4   126.3   144.1   303.6   381.8   430.3   466.3   508.4   563.4   651.7  1069.1  3876.3 12428.0  37667.4    37594
read      392.9   505.3    74.4   127.4   145.2   309.8   409.4   470.2   518.4   588.1   708.8   878.3  1332.6  6558.5 19850.1  24275.8    24367
read      336.2   308.0    68.9   125.2   142.5   297.3   376.7   425.4   460.3   500.1   548.9   630.4   945.6  2255.0 12619.5  33787.5    33771
read      351.8   357.2    74.4   130.5   150.2   303.9   383.9   433.9   472.4   521.2   583.8   683.2  1022.4  2762.5 11669.6  85010.2    84944
read      344.8   295.3    68.9   129.1   148.6   302.5   381.7   431.2   469.1   517.1   579.5   676.3   961.6  2188.2  9917.5  85786.7    85666
read      348.1   307.1    68.9   127.5   145.6   306.4   387.8   435.9   471.9   516.7   574.0   665.8  1009.4  3034.7  9151.9  51829.9    51918
read      339.0   350.3    74.4   125.8   143.2   298.6   379.2   428.0   463.4   503.8   554.1   638.1   970.3  2361.4 12860.0  34466.9    34406
read      348.1   390.6    74.4   127.8   144.8   303.4   388.7   438.7   472.1   511.4   562.4   645.3  1057.3  3872.2 14727.3  28605.3    28664
read      354.0   436.0    74.4   126.9   145.0   303.4   384.6   434.4   470.2   512.9   567.7   659.5  1213.4  4242.2 13173.2  38256.6    38289
read      388.6   512.0    80.4   129.9   147.5   323.7   418.4   472.3   514.8   573.1   659.9   796.8  1202.1  6705.6 30160.4  20660.8    20658
read      330.3   377.0    74.4   131.5   148.2   306.2   365.4   396.3   418.9   445.2   479.2   537.6   791.5  5870.8 15133.9  13828.6    13840
read      352.6   255.9    74.4   134.1   154.7   308.9   388.3   437.1   476.0   524.7   588.2   689.1  1010.6  2192.8  8928.1  93533.2    93419
read      366.8   336.1    68.9   138.3   160.4   319.3   400.2   450.6   489.6   538.4   604.4   713.2  1065.7  2733.0 12351.7  98510.5    98284
read      350.4   295.5    68.9   129.8   148.6   309.6   390.6   439.6   477.6   524.5   584.4   679.8   965.0  2397.7  9520.4  71397.7    71313
read      352.8   322.3    74.4   128.2   146.6   311.6   393.5   443.4   480.7   525.0   579.9   668.5   993.6  3230.8 12292.2  42124.9    42089
read      349.5   322.0    68.9   127.7   146.0   311.0   391.1   438.1   473.6   516.7   571.3   657.6   952.6  3408.9 10040.2  46527.7    46458
read      344.8   302.7    74.4   128.4   146.0   308.3   389.5   438.4   473.4   512.9   561.7   638.0   932.0  2589.7 11191.9  30732.1    30755
read      351.3   299.5    74.4   129.4   147.7   313.5   394.4   443.8   480.1   523.5   578.8   666.2   970.5  2350.3 10018.0  42785.1    42889
read      360.7   312.3    68.9   135.3   156.6   314.3   395.2   445.1   484.1   533.5   598.4   704.5  1024.3  2763.4 11199.4  93584.1    93552
read      354.6   315.8    68.9   130.4   149.5   313.3   395.4   445.4   483.1   530.2   589.1   682.5   977.3  2251.4 11773.6  65652.3    65694
read      339.2   332.3    74.4   127.1   144.4   301.7   380.1   428.0   462.2   500.8   548.3   625.4   904.9  3851.5 12820.4  29598.3    29574
read      351.0   332.0    68.9   127.8   146.3   312.6   392.6   440.3   476.6   521.5   578.2   666.0   970.3  2478.4 10167.3  51353.3    51355
read      347.2   242.9    68.9   128.6   147.1   308.6   389.6   437.3   474.4   520.2   579.4   673.8   982.3  2044.8  8085.8  67388.3    67361
read      340.0   588.9    74.4   128.3   144.6   301.0   368.5   403.3   428.0   456.3   492.4   551.0   921.3  7543.6 31470.9  16246.5    16287
read      374.1   389.8    68.9   133.5   154.4   321.8   403.7   454.8   495.3   546.4   619.6   738.1  1220.0  3657.2 11699.3  81437.6    81508
read      355.0   317.1    68.9   131.2   151.5   310.7   389.9   438.4   477.2   526.9   591.4   695.8   997.9  2885.3 10427.8  87507.9    87619
read      353.2   290.0    74.4   134.3   155.8   310.8   388.2   436.3   474.3   522.8   586.6   688.8   983.8  2119.1  9913.1  99293.3    99068
read      341.3   257.6    68.9   125.7   143.8   306.4   385.0   431.8   467.1   509.5   564.8   650.1   922.7  2230.7  8538.9  51177.8    51267
read      314.9   382.6    74.4   128.2   144.8   292.8   345.9   373.6   393.6   416.7   447.0   499.7   728.3  5167.5 14639.6  11906.3    11822
read      352.0   311.8    74.4   132.5   153.4   307.5   384.7   432.5   470.6   519.8   584.1   685.9  1018.5  2800.3 10506.3  97456.1    97494
read      350.7   269.5    68.9   133.5   154.5   308.6   386.2   434.8   472.9   522.3   585.6   686.1   981.3  2082.5  9058.7  97222.5    97350
read      348.4   338.0    68.9   126.8   145.2   308.3   388.4   435.8   472.4   517.4   574.3   665.9   970.3  2481.8 11270.6  55430.4    55460
read      349.8   307.1    68.9   130.3   150.1   306.6   385.4   434.0   471.5   520.8   585.4   688.0   989.0  2280.9 12029.8  85964.8    85984
read      351.2   278.4    68.9   130.1   149.8   308.0   387.1   435.7   473.7   522.6   586.8   691.0  1051.5  2316.5  8569.7  82145.3    82043
read      350.2   307.0    74.4   127.3   145.7   310.5   390.7   438.1   474.3   519.0   576.6   670.5   998.2  2645.2 11761.5  52930.5    52873
read      309.3   329.2    74.4   120.1   136.4   290.8   347.2   377.3   398.1   423.4   455.7   506.4   753.9  4033.9 12759.0  13950.1    13911
read      351.1   366.5    68.9   123.5   142.1   307.3   388.8   437.3   474.7   520.7   579.9   677.9  1033.1  3726.7 12921.5  49912.2    49984
read      312.0   619.1    74.4   125.7   144.2   284.3   327.1   351.7   369.6   391.0   419.0   467.7   720.3  7309.8 31951.6   9327.4     9274
read      311.4   234.8    68.9   119.4   135.3   282.9   358.0   402.0   432.7   466.4   507.5   573.4   782.8  1567.7  9961.6  27150.9    27187
read      315.0   367.2    68.9   118.5   134.5   290.2   361.3   398.0   423.5   451.9   486.5   543.0   755.4  3996.0 12333.5  18652.0    18735
read      343.3   249.3    68.9   128.8   148.8   302.9   379.2   427.8   465.9   514.7   579.2   676.3   960.4  1916.1  7454.9  86456.8    86505
read      347.1   264.8    68.9   131.0   152.4   304.5   381.4   429.8   467.6   516.1   580.1   682.8   981.1  2011.4  8983.2  93158.7    93039
read      338.3   273.7    68.9   128.5   147.7   297.3   374.3   421.5   457.5   501.7   560.2   652.3   963.8  2191.0  9128.7  76080.2    75999
read      329.0   306.9    74.4   123.2   140.8   296.4   370.4   416.1   450.0   489.3   537.3   613.5   845.0  2217.4 12304.3  32308.8    32324
read      336.9   264.3    63.8   125.9   145.6   295.5   371.6   420.1   458.0   505.0   567.9   665.9   925.3  2181.6  9012.1  84384.3    84255
read      336.8   242.3    68.9   125.3   144.9   295.5   372.2   420.5   458.0   505.0   568.5   668.1   960.1  1999.2  7263.3  81692.1    81759
read      329.7   287.6    68.9   120.4   137.6   294.2   371.4   418.8   454.0   495.1   545.0   623.7   887.1  2160.1  9943.7  37294.1    37291
read      335.5   262.0    68.9   125.1   143.2   301.8   379.2   425.5   460.2   502.1   554.5   636.1   891.9  1735.8  8717.2  53938.1    53818
read      332.3   343.8    74.4   125.3   142.5   295.5   370.3   416.4   450.1   488.7   536.2   609.6   912.3  3921.1 13111.4  30243.0    30297
read      331.6   379.8    74.4   123.9   140.8   291.9   367.2   413.5   447.6   485.9   532.7   606.3   905.9  4562.8 13576.5  31524.4    31569
read      338.8   314.3    68.9   124.0   141.6   302.5   379.4   426.6   461.9   503.2   554.5   638.1   973.8  1999.6 10265.4  38848.3    38927
read      306.3   433.1    68.9   126.6   143.7   284.7   330.3   355.9   374.0   396.3   425.7   473.9   681.9  5422.0 19693.2  10700.4    10652
read      349.0   291.4    68.9   130.7   152.2   305.0   381.2   429.0   466.8   514.9   580.4   683.5   997.2  2415.5 11718.9  98097.5    98119
read      339.0   297.2    68.9   120.9   139.2   301.7   381.6   430.1   466.6   510.8   567.3   650.3   905.7  2168.2  9772.9  48321.0    48176
read      331.0   264.1    68.9   119.1   136.3   294.2   374.9   423.2   458.5   499.8   549.5   630.4   925.8  2128.6  9688.0  34926.3    34929
read      357.4   269.8    68.9   129.6   149.8   316.0   396.8   446.3   485.7   535.6   601.3   709.4  1005.7  2027.0  9534.3  69817.7    69735
read      315.8   294.1    68.9   123.9   140.6   293.9   364.7   401.6   427.9   457.6   494.5   549.4   719.1  2777.1 12089.8  20770.1    20753
read      337.2   217.7    63.8   128.9   149.2   302.3   378.8   425.4   461.4   506.6   568.1   661.5   862.7  1595.2  6731.8  84716.5    84642
read      330.9   215.7    68.9   125.7   143.8   303.9   378.0   422.3   455.9   496.5   546.5   625.0   805.9  1503.0  7800.1  42371.3    42333
read      332.7   189.6    68.9   128.2   146.9   304.5   380.8   425.9   459.9   500.7   552.0   629.9   826.5  1305.9  5030.1  61603.5    61587
read      336.9   219.6    68.9   128.4   148.1   304.3   380.6   426.5   462.3   506.6   566.1   656.4   852.6  1409.7  7979.2  77898.8    77998
read      336.8   207.3    68.9   130.7   152.0   302.4   377.3   423.8   459.8   504.5   565.9   659.8   849.2  1352.6  7581.2  97584.8    97625

Total QPS = 52549.1 (40988276 / 780.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 10124103925 bytes :   12.4 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.96%,49.75%,100.00%
