Random waveform, supplied seed                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Total number of intervals = 84 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30
297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252)                                                                                                                                                                                                                                                                                                                                                     
Average QPS expected = 51998                                                                                                                                                                                                                                                                                                                                                                                             
                                                                                                                                                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                                                                                                                         
Timestamp start: 1715782740156                                                                                                                                                                                                                                                                                                                                                                                           
Timestamp end: 1715783580707                                                                                                                                                                                                                                                                                                                                                                                             
                                                                                                                                                                                                                                                                                                                                                                                                                         
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target                                                                                                                                                                                                                                                                        
read      415.6  1129.4    80.4   132.9   158.5   303.7   353.4   383.8   406.6   436.7   481.1   588.4  3207.4 13708.3 36439.1   7393.2     7434                                                                                                                                                                                                                                                                        
read      400.6   486.4    68.9   131.9   152.5   331.7   420.1   472.4   513.5   565.0   635.3   780.1  1829.8  5539.6 15057.8  67097.5    67201                                                                                                                                                                                                                                                                        
read      377.6   349.0    74.4   134.5   156.3   329.6   413.2   464.6   504.8   555.1   623.5   734.0  1158.4  3543.0 12369.7  86116.1    85927                                                                                                                                                                                                                                                                        
read      376.0   361.0    74.4   131.7   151.8   331.3   418.0   469.0   507.5   554.1   615.3   716.1  1196.0  3338.8 13343.6  63924.6    63953                                                                                                                                                                                                                                                                        
read      367.7   432.5    74.4   129.3   147.9   322.0   401.9   451.1   487.5   529.5   581.5   669.1  1152.9  5425.6 16337.3  31587.4    31595                                                                                                                                                                                                                                                                        
read      407.7   527.1    68.9   138.8   162.9   343.6   429.6   482.6   524.8   577.9   651.6   785.3  1464.1  7450.1 21012.0  87740.7    87879                                                                                                                                                                                                                                                                        
read      474.9  1457.9    74.4   137.8   165.9   322.6   380.0   413.9   439.9   473.2   527.9   685.9  4097.2 30197.6 41891.6   7315.0     7287                                                                                                                                                                                                                                                                        
read      366.2   305.5    68.9   129.0   148.1   322.6   406.8   457.6   495.2   540.6   599.8   700.4  1241.0  2597.3 11049.4  62174.3    62295                                                                                                                                                                                                                                                                        
read      406.0  1192.8    80.4   135.6   164.1   297.3   342.5   369.6   390.7   417.3   457.3   545.8  2813.6 22478.1 37136.5   6561.3     6561                                                                                                                                                                                                                                                                        
read      433.8   841.7    74.4   126.1   144.7   326.7   425.6   487.4   537.2   613.4   740.0   924.6  1702.0 11496.1 32719.5  22549.8    22532                                                                                                                                                                                                                                                                        
