Random waveform, supplied seed
Total number of intervals = 84 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252)
Average QPS expected = 51998
Timestamp start: 1715783718169
Timestamp end: 1715784558882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      383.3   926.4    80.4   135.1   160.7   307.6   355.3   383.7   404.1   431.8   468.2   543.8  2130.2 11468.1 38521.3   7421.7     7434
read      386.7   455.3    68.9   132.8   152.6   320.9   409.9   463.0   503.3   552.6   622.2   746.6  1703.3  4724.6 13916.2  67159.3    67201
read      367.4   331.8    68.9   133.2   154.3   322.3   404.9   456.5   496.1   544.9   611.3   721.3  1061.4  2930.0  9971.9  86032.9    85927
read      352.2   309.1    68.9   127.0   145.2   310.5   393.6   442.1   478.8   523.5   580.1   672.4  1041.6  3229.3  9179.2  63937.8    63953
read      359.3   418.6    68.9   126.3   144.2   313.2   394.1   443.1   479.1   520.5   571.9   654.6  1162.5  5241.7 13781.4  31649.1    31595
read      377.4   401.7    68.9   132.1   153.2   317.6   402.0   454.9   495.3   544.4   614.9   739.3  1465.8  4232.8 11909.4  87851.9    87879
read      375.9   826.2    74.4   134.8   161.0   306.7   353.2   381.7   402.4   430.2   468.1   544.8  1908.7  9941.8 31829.7   7324.3     7287
read      369.8   355.8    74.4   129.1   148.0   321.6   409.9   462.3   501.2   546.7   609.3   715.8  1249.7  3027.2 12450.8  62290.3    62295
read      358.6   771.0    80.4   136.9   165.4   302.5   346.5   372.7   393.1   417.8   452.4   524.2  1566.5  8619.5 35354.6   6593.5     6561
read      394.0   405.9    68.9   126.1   144.3   322.4   423.3   484.5   534.3   607.7   725.2   880.0  1270.1  4068.4 14261.9  22477.2    22532
read      357.6   309.9    74.4   127.1   145.6   318.0   404.3   454.7   491.6   536.4   594.0   687.2  1026.3  2479.4 10660.3  60585.3    60653
read      364.2   381.5    68.9   126.9   145.7   317.6   403.6   454.9   492.5   538.3   597.0   693.8  1153.6  3909.4 12593.9  59028.3    59076
read      354.9   280.4    74.4   126.9   145.4   317.3   403.5   454.7   491.8   535.9   592.6   683.1   981.8  2138.5  9050.7  60148.2    60154
read      442.4   622.2    74.4   126.3   145.8   337.8   462.7   557.1   645.5   738.4   837.6   971.4  1387.2  7841.3 29467.2  22871.2    22964
read      399.6   789.0    74.4   130.6   157.8   334.4   395.0   428.6   453.1   482.0   522.7   608.9  2036.9 10122.0 36116.9   8179.4     8172
read      361.1   413.8    74.4   125.7   143.0   312.1   393.8   443.6   479.7   520.9   575.0   678.1  1207.0  5165.6 15233.4  27580.8    27652
read      342.5   314.1    74.4   122.7   140.4   308.1   388.1   434.5   469.1   509.8   561.2   637.2   939.1  2317.5 12385.0  37657.9    37594
read      410.5   659.4    68.9   126.2   144.2   317.4   412.2   470.5   516.2   582.4   712.1   920.5  1594.8  8145.9 30924.3  24274.3    24367
read      350.0   337.4    68.9   124.4   142.1   309.2   390.8   439.5   475.5   518.2   571.6   657.0  1118.0  3729.6 13437.9  33830.2    33771
read      357.2   271.8    74.4   130.3   150.4   313.6   398.0   449.6   488.7   536.0   598.6   704.6  1026.8  2319.8  9275.0  84890.9    84944
read      358.0   299.2    68.9   129.8   150.0   312.1   397.8   449.6   488.1   534.5   596.0   703.4  1047.0  3053.2  9543.1  85630.2    85666
read      349.5   285.9    68.9   125.1   143.1   313.7   398.5   448.3   484.5   528.1   583.5   669.8   950.0  2028.7  9386.6  52064.6    51918
read      346.7   351.6    68.9   124.1   142.1   310.6   392.6   441.0   477.0   518.1   569.1   641.8   935.4  2736.8 12608.3  34500.4    34406
read      357.4   465.4    74.4   127.2   144.5   310.5   393.0   441.9   476.5   516.7   566.3   643.3  1104.3  5205.1 17264.0  28655.3    28664
read      357.5   340.0    68.9   127.7   146.0   317.6   398.9   448.6   485.8   530.0   584.3   669.3  1046.4  3771.7 12307.4  38261.4    38289
read      357.7   409.1    74.4   128.5   145.8   311.4   393.7   439.5   470.2   506.0   554.5   664.3  1142.7  4804.4 14946.0  20746.6    20658
read      325.6   410.3    80.4   128.2   144.6   306.4   364.3   395.0   416.8   441.4   472.3   525.1   715.4  5208.9 18549.4  13827.6    13840
read      362.3   280.4    68.9   135.1   156.7   320.7   401.7   452.7   492.2   540.2   603.7   707.0   992.0  2236.0  9777.1  93398.3    93419
read      361.9   313.6    68.9   134.8   157.0   318.5   399.9   451.1   489.5   536.6   599.4   704.5   994.6  2334.0 11003.3  98473.8    98284
read      356.3   276.2    74.4   129.0   148.0   317.1   402.6   454.1   491.8   536.9   595.1   689.3   968.0  2179.3  8129.5  71494.1    71313
read      347.5   329.0    74.4   125.5   143.7   314.8   394.2   441.0   475.5   517.1   569.2   643.2   899.3  2032.5 11956.3  42111.4    42089
read      352.0   275.2    68.9   126.4   145.1   319.4   402.3   451.2   486.6   528.7   582.3   664.0   925.3  2115.4  7575.6  46477.8    46458
read      346.5   303.3    68.9   129.1   146.8   313.1   390.7   437.5   472.9   513.6   562.4   634.4   921.4  2855.5 10869.9  30719.0    30755
read      344.2   273.7    68.9   125.8   143.8   313.3   393.5   440.3   475.1   516.5   568.2   641.8   870.5  1931.1 10198.6  42787.8    42889
read      364.7   312.1    74.4   134.0   155.8   321.6   403.6   455.0   493.9   541.8   606.5   709.9   994.2  2588.1 12174.4  93597.9    93552
read      357.3   264.9    68.9   128.5   147.5   318.2   404.0   455.0   492.1   536.6   593.9   686.5   996.4  2363.6  9151.4  65784.3    65694
read      340.7   332.6    74.4   125.7   143.2   307.8   382.9   430.3   465.3   504.6   549.2   620.7   877.7  2737.9 12230.9  29579.4    29574
read      358.6   281.1    74.4   127.8   146.4   322.7   407.6   457.8   494.4   537.7   593.6   682.4   979.5  2142.9  8933.9  51345.2    51355
read      358.7   310.2    68.9   128.9   148.1   317.9   403.7   455.1   493.2   538.5   596.4   689.1   997.0  2503.7 10947.7  67296.2    67361
read      341.9   533.8    74.4   127.1   143.4   308.7   376.4   412.1   435.9   464.6   500.7   559.1   918.8  6165.4 24643.1  16303.3    16287
read      369.8   379.5    68.9   130.7   151.2   319.7   404.1   456.8   496.7   545.6   612.6   722.7  1161.2  3170.5 16413.9  81466.9    81508
read      363.7   356.8    68.9   131.3   151.9   317.4   398.6   450.3   490.3   539.4   604.3   706.0  1042.4  3274.9 11833.2  87660.8    87619
read      367.6   301.4    68.9   136.9   159.5   323.9   404.8   455.4   494.8   543.8   610.1   718.2  1040.8  2198.3 11488.6  99058.3    99068
read      352.3   331.9    68.9   126.2   144.4   316.0   398.7   447.4   483.3   526.2   581.0   665.6   959.0  2321.4 12484.1  51281.3    51267
read      324.0   452.6    74.4   128.3   144.9   303.0   354.1   380.9   399.5   422.4   452.0   501.6   761.4  6236.6 17736.3  11883.0    11822
read      362.7   297.5    68.9   133.6   155.6   319.5   400.0   450.8   490.0   538.1   602.5   711.0  1024.4  2384.4 10704.4  97491.1    97494
read      360.1   348.4    68.9   133.2   155.1   315.7   395.4   445.7   484.5   532.4   594.8   695.7   994.5  2583.7 13244.7  97453.6    97350
read      355.3   268.5    74.4   128.1   146.8   319.9   404.1   454.3   491.0   534.6   589.9   675.2   955.4  2242.5  9144.8  55455.2    55460
read      358.2   318.0    74.4   130.5   150.5   314.8   397.2   448.4   488.0   536.6   599.9   703.7  1016.4  2477.0 12478.1  85844.6    85984
read      357.8   292.0    74.4   130.2   150.2   315.9   399.2   450.7   489.8   537.5   600.6   700.3  1007.1  2261.1 10028.9  82015.7    82043
read      355.7   352.9    74.4   126.7   145.1   317.2   400.3   449.3   485.3   528.3   582.6   666.6   993.1  2549.8 15150.8  52721.2    52873
read      331.7   487.4    80.4   127.7   144.4   306.3   365.8   396.6   418.4   442.9   474.8   531.7   779.4  7102.1 21637.6  13910.8    13911
