Random waveform, supplied seed
Total number of intervals = 78 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625)
Average QPS expected = 52543
Timestamp start: 1715788450729
Timestamp end: 1715789231246

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      379.5   783.6    80.4   137.1   165.0   308.4   356.1   387.0   409.8   437.9   478.7   563.6  2033.2 10167.5 31063.6   7425.1     7434
read      385.6   362.3    74.4   133.5   154.2   335.1   423.4   473.6   512.7   561.0   625.3   740.5  1391.9  3779.9 10793.7  67022.3    67201
read      385.7   307.4    68.9   138.4   161.5   341.3   427.7   478.5   517.8   567.5   633.7   747.0  1132.4  2898.4 11109.7  85847.2    85927
read      379.5   349.6    74.4   132.3   152.4   332.2   420.8   471.4   509.4   555.9   618.2   724.2  1347.3  2952.4 10770.2  64083.7    63953
read      378.0   494.9    74.4   128.9   148.0   326.1   409.9   460.8   497.3   539.4   590.4   680.4  1275.3  6099.5 18121.9  31608.7    31595
read      415.0   487.6    74.4   140.4   165.0   348.6   435.7   488.8   530.9   585.3   663.2   812.7  1647.4  5759.4 19122.2  88142.5    87879
read      408.4  1181.6    74.4   135.5   163.1   303.8   350.0   380.5   403.6   431.9   470.3   552.2  2397.3 15499.8 39781.6   7311.4     7287
read      370.1   329.4    68.9   130.4   150.3   329.1   415.3   464.9   502.0   546.7   605.0   700.2  1138.6  2974.7 10131.3  62211.4    62295
read      392.0  1021.6    80.4   137.4   166.9   296.2   339.0   366.4   388.8   416.6   455.8   538.1  2367.8 15153.0 32335.0   6570.8     6561
read      415.1   588.9    74.4   126.9   145.8   328.8   438.4   503.0   554.5   629.7   738.6   893.1  1407.6  7999.6 29653.8  22620.3    22532
read      375.7   380.6    74.4   131.0   151.0   332.9   418.9   467.7   504.4   549.1   609.3   706.9  1223.6  2755.5 13283.4  60730.7    60653
read      370.5   316.6    74.4   130.5   150.5   329.5   415.0   464.2   501.0   545.5   603.7   697.8  1185.1  2758.0  9769.0  59108.6    59076
read      367.6   329.8    74.4   130.1   149.7   329.6   415.3   463.3   499.5   543.6   600.9   691.5  1066.0  2390.9 11828.4  60081.0    60154
read      438.9   545.0    74.4   126.7   146.6   342.1   484.5   583.6   657.8   734.3   821.5   944.4  1292.1  6026.3 23976.3  22963.4    22964
read      425.4  1128.4    80.4   133.3   160.6   326.3   388.3   422.9   447.5   475.9   517.8   608.1  2206.7 15709.2 38796.5   8165.5     8172
read      356.5   426.9    74.4   126.3   144.1   312.1   393.5   444.1   478.0   516.7   565.0   644.3  1059.0  4868.1 14984.7  27655.4    27652
read      360.3   358.7    68.9   127.0   145.6   321.8   401.6   451.7   488.7   531.0   582.1   662.7  1051.9  3965.4 13645.1  37588.3    37594
read      547.4  1764.5    74.4   126.8   145.9   325.2   430.1   490.3   536.6   604.9   736.0   975.8  4054.3 29309.1 41830.8  24426.3    24367
read      366.4   576.1    74.4   125.1   143.6   315.6   395.1   446.4   482.6   524.5   575.6   664.3  1201.4  4872.0 25456.7  33709.0    33771
read      369.4   287.0    74.4   133.5   155.2   327.7   411.9   461.7   499.8   546.7   611.5   718.2  1067.0  2535.5  9629.2  84855.4    84944
read      370.6   335.0    68.9   133.4   155.2   327.3   410.7   460.5   498.2   544.8   610.2   718.5  1053.1  2997.3 11893.1  85607.1    85666
read      363.3   270.0    68.9   128.8   148.6   331.7   414.6   462.0   497.6   540.5   594.1   679.1  1018.6  1969.8  9813.5  51996.0    51918
read      358.1   378.6    68.9   126.8   145.7   323.8   403.0   452.5   488.4   529.2   578.3   650.0   965.7  3047.2 15999.6  34409.0    34406
read      346.9   332.6    74.4   125.6   143.4   310.3   389.1   439.0   473.6   511.2   555.8   630.3   987.3  3857.3  9760.6  28593.1    28664
read      376.6   432.8    74.4   130.3   149.7   332.1   414.2   463.4   500.3   542.9   596.4   687.3  1192.8  5539.8 15822.2  38294.2    38289
read      403.0   746.2    68.9   129.3   147.8   322.7   415.1   466.4   502.1   547.1   622.5   786.3  1459.1 13007.3 30986.9  20657.5    20658
read      330.1   284.8    80.4   130.4   147.8   314.0   376.5   410.5   433.5   459.4   491.6   541.7   728.2  3219.1 12342.4  13798.2    13840
read      387.3   355.1    74.4   140.5   165.0   343.5   428.2   477.3   515.6   564.5   630.8   743.9  1072.3  3234.3 12479.2  93128.2    93419
read      394.2   304.4    74.4   146.0   172.9   354.3   437.3   487.6   527.0   577.2   643.2   758.1  1058.7  2018.6 12164.9  98191.7    98284
read      376.3   319.9    68.9   133.3   154.4   335.8   422.9   472.6   509.8   556.3   619.2   720.7  1087.0  2758.4 11188.3  71350.4    71313
read      376.4   380.8    68.9   130.4   150.2   338.8   421.9   469.2   505.1   548.3   603.8   690.1  1170.1  3311.5 15328.2  42034.5    42089
read      362.6   251.2    68.9   129.2   148.5   333.8   417.4   464.8   500.6   542.6   595.0   676.2   945.2  1971.8  7762.8  46490.8    46458
