Random waveform, supplied seed
Total number of intervals = 624 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463, 35396, 33885, 11712, 51485, 59378, 94757, 71707, 6184, 52631, 31188, 92326, 78268, 78655, 29798, 96196, 39289, 13806, 86543, 67095, 15164, 21544, 80587, 90870, 18274, 33727, 11433, 17009, 61531, 77691, 75329, 79936, 74872, 7464, 12219, 19906, 18108, 6498, 5794, 54376, 12545, 86110, 9730, 82140, 78511, 68231, 11420, 89777, 75189, 96119, 69998, 79345, 21991, 99920, 15067, 96201, 28442, 23738, 9437, 97039, 39843, 11616, 56350, 24650, 33825, 54193, 76287, 30507, 43736, 81903, 80570, 90992, 78961, 37791, 97764, 71081, 32361, 41597, 36321, 97570, 50500, 32308, 14115, 64826, 67795, 92688, 74427, 31361, 50686, 26859, 15666, 97479, 40641, 35398, 68885, 82658, 37588, 19382, 39597, 57154, 52183, 7024, 16027, 79406, 98199, 75565, 48872, 37140, 91170, 18318, 24202, 7149, 28608, 59337, 71066, 68555, 47586, 81864, 84384, 73197, 58808, 8661, 67893, 27081, 38973, 25147, 30015, 43619, 98527, 67442, 59250, 31042, 23168, 12188, 68103, 44810, 85198, 64988, 38245, 39413, 9583, 89844, 70336, 56324, 64001, 79935, 64293, 40603, 58949, 7297, 42332, 47325, 63001, 95603, 40233, 15311, 23880, 8459, 96950, 75208, 39389, 79892, 95654, 45055, 10973, 70015, 78241, 91472, 57947, 79016, 18117, 55130, 50438, 38809, 15631)
Average QPS expected = 50528
Timestamp start: 1715805697737
Timestamp end: 1715806479028

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      449.5  1208.5    86.8   138.7   165.3   314.3   366.5   399.7   424.7   457.8   507.7   633.7  3953.5 15730.3 36623.4   7475.2     7434
read      410.4   440.3    74.4   128.4   148.8   330.6   419.2   471.9   515.1   570.4   642.5   818.4  2221.4  4186.8  8756.7  66722.4    67201
read      382.1   378.3    74.4   130.5   153.2   329.8   412.5   463.4   504.2   554.0   619.2   728.0  1212.1  4681.0 10061.9  86040.0    85927
read      374.3   553.1    74.4   126.8   147.6   332.8   416.2   464.1   501.5   546.4   603.0   685.7   965.0  4960.7 35822.3  64072.8    63953
read      351.6   253.3    74.4   119.0   136.8   313.4   399.3   454.0   494.9   537.7   584.8   667.4  1032.1  3804.0  7788.4  31268.0    31595
read      408.4   464.7    74.4   137.8   162.7   358.7   444.8   497.8   539.4   589.5   659.9   785.7  1187.3  5905.1 18987.0  87950.4    87879
read      410.7  1498.3    80.4   140.9   167.0   303.6   345.2   368.6   387.0   409.6   444.3   531.8  2915.2 32355.6 50456.0   7256.0     7287
read      391.9   341.1    68.9   127.8   148.2   334.2   426.3   480.4   523.9   575.9   643.4   780.3  1659.6  3122.4 12102.4  61604.0    62295
read      356.9   657.5    86.8   148.1   176.7   302.2   343.7   366.9   384.8   406.8   440.5   508.8  1363.6 12561.8 17036.9   6576.0     6561
read      547.8  1226.6    74.4   123.3   143.7   355.5   504.1   607.5   680.7   758.4   860.0  1056.3  4879.3 22097.7 35309.2  22436.8    22532
read      417.8   509.9    68.9   130.0   151.7   346.1   437.4   495.1   539.3   593.9   668.8   842.4  1860.5  3719.0 22955.8  60881.6    60653
read      380.4   338.0    68.9   126.6   146.8   328.9   414.9   465.5   505.6   557.6   624.2   740.0  1535.8  3111.6  9983.9  59336.0    59076
read      375.8   298.3    74.4   128.1   148.0   333.0   420.3   469.0   507.1   554.5   615.0   717.7  1392.2  2333.7  9303.2  60330.4    60154
read      364.2   436.1    74.4   121.0   140.2   317.8   400.4   448.8   485.5   528.7   587.0   717.8  1176.3  3970.3 30220.5  22949.6    22964
read      388.7  1116.0    74.4   136.0   165.3   314.2   363.7   393.0   416.4   445.9   486.9   569.6  1789.0  8113.8 40963.5   8100.8     8172
read      385.7   529.4    74.4   119.2   137.4   313.5   409.8   467.4   509.7   553.0   615.4   747.3  1382.8  8125.0 12220.3  27632.0    27652
read      388.3   831.6    74.4   122.0   140.7   319.4   401.6   451.7   490.6   535.3   586.9   666.7  1206.1  8578.2 37079.3  37956.0    37594
read      352.5   325.8    74.4   120.3   138.6   312.5   400.3   452.4   488.8   528.0   574.8   656.3   976.2  5012.9  8448.4  24401.6    24367
read      395.0   318.1    74.4   121.2   140.8   321.4   421.7   489.7   541.9   607.3   721.2   972.9  1329.3  3512.7  9685.1  33944.8    33771
read      389.2   292.6    74.4   134.7   158.6   349.4   435.4   487.5   527.0   576.5   640.3   754.0  1087.3  2768.0 10972.6  84906.4    84944
read      388.8   274.7    68.9   134.9   158.6   347.3   431.4   480.5   519.7   569.7   638.4   762.7  1201.4  2721.0  9226.8  86068.8    85666
read      379.7   317.6    74.4   129.8   150.9   348.3   435.9   484.9   521.8   564.6   619.6   701.5  1040.9  2373.8 13424.4  52062.4    51918
read      362.8   324.8    68.9   123.3   142.3   325.6   404.5   454.4   494.5   540.5   590.5   677.7  1088.1  3450.0 10139.3  34396.0    34406
read      361.0   573.9    68.9   120.6   138.7   312.9   394.7   443.6   479.5   520.9   565.7   628.4  1024.2  8242.5 31083.8  28698.4    28664
read      360.5   273.9    74.4   123.9   143.1   330.9   412.9   460.6   499.5   543.3   595.2   669.2   959.0  1819.0 10055.7  38236.0    38289
read      399.8   648.5    74.4   121.4   139.9   322.3   408.7   458.8   496.5   541.5   606.7   759.8  1814.7  8630.1 23694.3  20787.2    20658
read      447.5   772.9    74.4   123.4   144.3   350.6   458.6   522.7   563.5   605.9   657.4   756.0  2853.3  8660.7 38331.1  13918.4    13840
read      931.9   842.8    74.4   276.6   302.6   534.6  1427.7  1574.2  1658.3  1735.2  1871.8  2027.5  2800.0  8705.8 25962.6  93215.2    93419
read      982.3   865.7    93.8   295.2   321.8   604.6  1473.5  1621.5  1692.6  1777.1  1906.5  2086.5  2899.4  5768.8 28493.6  98888.8    98284
read      722.3   838.3    80.4   209.4   250.2   459.1   636.9   809.7  1154.9  1444.4  1615.3  1849.1  2784.4  8071.5 23923.7  71927.2    71313
read      406.0   689.5    80.4   129.6   146.9   328.7   415.4   465.8   509.9   577.2   674.0   844.6  1619.7  7936.2 29169.7  42170.4    42089
read      369.2   342.4    74.4   126.7   146.1   338.7   422.4   470.1   508.8   551.9   606.7   690.3  1012.7  1842.6 17226.2  46372.8    46458
read      356.2   340.9    74.4   122.6   141.2   320.4   404.4   457.2   495.0   535.5   582.5   654.2   957.9  2708.0 13523.9  30583.2    30755
read      362.1   429.0    74.4   123.3   142.6   323.2   405.5   455.8   494.6   540.1   594.5   673.4  1047.0  2969.3 12597.7  42660.0    42889
read      386.0   375.9    74.4   135.0   159.2   338.7   420.6   469.5   508.4   557.4   623.4   732.2  1152.9  4007.2 13595.0  93707.2    93552
