Random waveform, supplied seed
Total number of intervals = 520 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463, 35396, 33885, 11712, 51485, 59378, 94757, 71707, 6184, 52631, 31188, 92326, 78268, 78655, 29798, 96196, 39289, 13806, 86543, 67095, 15164, 21544, 80587, 90870, 18274, 33727, 11433, 17009, 61531, 77691, 75329, 79936, 74872, 7464, 12219, 19906, 18108, 6498, 5794, 54376, 12545, 86110, 9730, 82140, 78511, 68231, 11420, 89777, 75189, 96119, 69998, 79345, 21991, 99920, 15067, 96201, 28442, 23738, 9437, 97039, 39843, 11616, 56350, 24650, 33825, 54193, 76287, 30507, 43736, 81903, 80570)
Average QPS expected = 50130
Timestamp start: 1715807737139
Timestamp end: 1715808518334

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      388.1   777.2    80.4   135.5   162.0   310.8   360.7   390.8   413.8   443.8   490.1   594.5  2327.3 11297.6 29838.4   7493.3     7434
read      393.9   523.7    68.9   124.2   143.7   310.7   398.0   454.4   498.2   552.9   633.8   803.8  1926.9  6024.4 20483.5  66774.7    67201
read      355.8   323.5    74.4   127.5   148.1   313.6   394.8   444.0   482.5   529.9   591.3   693.3   977.8  2912.0 11379.9  85642.7    85927
read      347.1   276.0    68.9   122.4   141.4   304.3   385.0   432.7   469.2   515.5   575.6   670.4  1078.2  3920.1  8912.1  64358.0    63953
read      336.4   262.2    74.4   119.7   137.3   305.2   386.5   435.1   474.0   517.8   563.5   631.1   809.0  1520.1 12986.2  31516.0    31595
read      357.4   345.3    68.9   128.9   150.0   316.7   396.5   446.8   486.8   534.4   594.7   691.9   917.5  2790.8 12303.1  88014.0    87879
read      345.2   794.6    80.4   135.9   163.3   293.5   334.0   357.3   373.1   395.1   424.2   483.5  1366.4  7810.9 36378.2   7392.7     7287
read      379.5   489.0    68.9   124.6   144.2   315.5   402.2   456.6   498.4   550.1   620.4   752.2  1470.3  4374.9 25551.8  61861.3    62295
read      341.5   708.4    74.4   136.4   163.8   287.5   328.2   352.0   369.0   391.5   421.8   479.7  1454.7  8169.8 31336.6   6572.7     6561
read      438.9   878.0    74.4   120.7   140.0   324.6   434.8   505.6   558.9   625.1   715.5   848.5  2049.9  9138.8 31813.8  22394.7    22532
read      372.7   405.5    74.4   126.8   146.1   319.2   403.6   455.2   494.4   543.0   607.3   714.9  1330.4  6691.9 16859.4  60631.3    60653
read      352.7   402.5    63.8   123.3   142.1   308.5   387.8   434.6   472.0   519.8   577.4   663.5   969.1  5997.7 10282.9  59270.0    59076
read      355.0   358.7    74.4   124.9   144.1   315.4   399.0   448.4   486.5   532.1   588.9   681.3   991.2  2625.0 10927.6  60434.0    60154
read      356.4   332.5    74.4   119.3   136.6   312.3   405.4   458.4   498.4   540.6   591.4   691.8  1022.6  2535.0 13213.3  22828.0    22964
read      381.4  1080.4    80.4   132.4   158.0   300.6   344.5   369.2   388.6   411.6   442.1   513.1  1348.1 12819.9 32030.1   8204.0     8172
read      409.6   546.3    74.4   121.4   139.9   323.1   426.9   498.1   550.1   616.1   724.5   915.6  1319.8  7271.5 17365.3  27724.7    27652
read      341.1   361.9    74.4   119.6   137.0   302.7   381.3   430.5   468.7   512.8   564.3   632.6   821.8  5796.8 12329.8  37416.7    37594
read      353.2   395.5    68.9   118.6   135.8   308.4   400.9   456.1   496.3   540.0   591.2   687.0  1018.9  2080.3 13778.6  24399.3    24367
read      359.1   292.0    74.4   119.4   136.2   301.4   390.6   449.9   495.4   546.3   614.0   763.3  1221.4  2891.7  9464.0  33892.0    33771
read      369.8   332.8    74.4   130.7   152.1   323.0   405.5   457.8   498.8   548.9   618.8   726.7  1074.5  3226.4  9074.6  85246.7    84944
read      361.9   407.8    68.9   128.3   148.2   312.8   394.2   444.9   484.0   533.1   596.7   701.1  1020.2  5066.4  9374.5  85642.0    85666
read      354.1   287.5    74.4   124.1   142.7   316.7   399.6   451.1   491.0   537.8   592.7   681.2   998.6  1981.9 11209.5  52308.0    51918
read      354.4   535.1    68.9   119.2   136.4   298.2   378.7   429.5   467.6   512.7   566.9   646.6  1107.2  7834.1 29773.7  34353.3    34406
read      328.4   245.2    74.4   121.1   138.6   297.5   382.1   430.7   465.8   504.9   548.9   609.8   744.9  1486.9  9901.9  28741.3    28664
read      334.8   206.7    68.9   123.5   141.2   306.7   385.5   433.0   470.1   514.0   564.8   633.4   787.9  1563.7  5652.6  38296.0    38289
read      317.7   249.5    74.4   120.6   137.6   294.8   370.5   410.3   437.8   468.2   507.6   560.2   686.4  1812.1  9932.3  20742.7    20658
read      490.8  1553.9    74.4   124.1   143.4   324.1   392.9   431.6   461.8   503.2   559.4   687.7  4812.3 30894.8 32361.3  13978.0    13840
read      373.0   315.7    74.4   134.6   158.4   330.2   414.0   466.4   506.2   555.0   622.9   731.4  1004.2  3073.6 11914.3  93670.7    93419
read      395.0   359.9    74.4   140.0   166.6   347.6   433.4   487.0   528.0   578.1   649.4   776.3  1117.8  4295.8 12036.9  98372.7    98284
read      347.0   252.9    68.9   123.9   142.7   309.7   393.0   441.6   479.9   527.2   587.3   681.0   970.8  1807.5  9534.3  71185.3    71313
