Random waveform, supplied seed
Total number of intervals = 446 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319)
Average QPS expected = 50126
Timestamp start: 1715814782603
Timestamp end: 1715815563779

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      375.5   545.7    80.4   149.5   178.8   324.4   370.2   396.0   416.4   443.2   487.2   568.4  1711.5  7221.3 26515.2   7575.4     7434
read      367.5   372.5    74.4   129.8   149.2   322.9   411.6   465.7   506.7   553.8   610.6   689.5   975.0  3598.1 12747.3  67210.3    67201
read      399.1   504.7    68.9   137.3   161.3   341.3   424.7   476.5   515.9   568.7   638.4   749.8  1288.1  4657.2 25530.9  86020.0    85927
read      369.6   313.0    74.4   129.1   149.1   328.0   417.0   468.6   508.3   555.5   613.0   693.1  1061.7  2731.7  7504.1  64172.6    63953
read      370.3   401.9    74.4   129.0   147.8   321.5   420.4   482.3   523.2   563.7   610.7   680.1   955.7  6597.6 10755.2  31720.0    31595
read      511.0  1076.8    74.4   143.4   172.2   380.6   469.3   522.3   565.9   628.7   724.8   917.3  3414.9 15460.4 33928.0  87894.3    87879
read      353.4   552.8    86.8   157.8   182.9   318.7   359.1   380.9   397.3   419.5   451.0   505.4   990.1  7491.0 22772.1   7320.0     7287
read      377.8   335.0    74.4   131.4   151.7   325.4   412.6   468.3   510.1   560.0   621.2   723.0  1418.1  3081.6  9623.4  61880.0    62295
read      510.7  1623.9    93.8   159.6   189.9   323.9   367.7   395.2   417.2   446.4   493.1   612.7  5557.1 29941.9 37858.3   6507.4     6561
read      449.5   590.0    80.4   128.1   148.1   363.2   494.2   563.5   617.0   688.7   779.8   929.6  1649.5  5527.9 23493.0  22477.1    22532
read      386.2   318.6    74.4   133.6   154.3   337.7   429.8   486.4   527.4   577.4   640.3   739.1  1373.1  2785.5 10820.4  60235.4    60653
read      365.3   253.6    74.4   130.6   150.3   328.2   416.0   468.7   507.7   554.9   612.2   692.5   999.5  2194.4  9363.7  58810.9    59076
read      377.0   435.4    74.4   130.9   150.0   326.6   412.7   466.4   507.6   556.3   615.6   697.6  1139.0  6554.0 12776.3  59880.6    60154
read      408.2   373.8    74.4   126.0   146.6   349.7   469.1   530.0   572.3   625.8   696.5   842.9  1296.7  3328.3 13961.9  22791.4    22964
read      383.5   534.8    80.4   141.2   173.2   341.3   402.0   435.6   461.8   491.0   527.5   591.4  1276.5  5898.6 30798.5   8186.3     8172
read      390.2   398.2    80.4   123.4   142.0   320.6   431.5   498.0   538.7   585.3   658.8   810.5  1280.2  6343.4 11703.9  27796.0    27652
read      349.2   257.9    74.4   122.8   140.2   308.7   398.3   461.1   505.5   549.4   596.8   662.9   849.1  2610.9  9099.4  37488.0    37594
read      378.5   337.1    74.4   122.5   141.1   324.9   427.5   488.1   528.6   575.1   639.8   775.2  1149.7  3042.6 12680.3  24264.0    24367
read      386.5   477.2    74.4   121.5   139.7   308.3   409.6   478.0   523.8   573.8   639.5   835.0  1425.5  5887.2 15890.3  33974.9    33771
read      337.6   183.7    68.9   127.8   147.8   307.7   385.7   433.9   472.2   517.6   572.9   649.1   795.9  1204.8  3985.8  84830.9    84944
read      347.2   380.7    74.4   128.5   149.2   311.6   388.1   433.9   470.1   515.4   575.6   660.0   809.2  3724.1 15357.7  85877.7    85666
read      409.3   646.9    68.9   128.7   148.6   330.2   418.2   471.9   514.2   565.4   627.7   736.0  1926.3  8246.2 30794.9  52446.3    51918
read      358.8   266.5    74.4   126.6   144.4   321.3   413.5   472.7   515.2   557.9   603.7   669.8   885.3  2262.7  8017.0  34361.7    34406
read      358.8   277.2    74.4   125.7   144.2   319.4   422.3   482.8   519.3   559.2   602.4   660.5   825.2  3198.6  8115.9  28791.4    28664
read      356.2   249.7    74.4   124.3   142.0   316.4   407.5   470.3   513.6   560.4   610.1   679.9   913.0  1884.1  7335.7  38390.9    38289
read      395.8   383.8    74.4   123.5   144.0   346.8   450.8   506.3   546.3   590.7   662.5   788.5  1180.5  4741.6 13392.8  20657.1    20658
