Random waveform, supplied seed
Total number of intervals = 446 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319)
Average QPS expected = 50126
Timestamp start: 1715813961654
Timestamp end: 1715814742664

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      346.5   283.3    80.4   146.3   175.2   322.5   369.8   396.7   416.8   441.1   479.4   539.9   861.6  4549.9  7744.4   7483.4     7434
read      363.2   325.9    74.4   127.5   145.9   308.4   391.5   442.1   483.8   534.3   595.9   697.8  1589.6  3117.2 12130.1  67134.3    67201
read      367.8   477.4    74.4   130.2   150.3   310.3   388.0   437.0   478.2   529.8   593.2   690.5  1170.4  6470.2 12664.9  85993.7    85927
read      354.4   265.1    68.9   128.6   147.2   316.9   401.3   453.4   493.8   541.8   603.1   685.4   941.9  1909.8 11446.3  63758.3    63953
read      346.9   360.2    74.4   122.2   139.0   303.2   394.7   452.6   495.5   538.7   585.0   647.4   842.1  5053.5  9315.5  31536.0    31595
read      414.6   435.1    74.4   135.4   159.0   339.1   424.6   479.7   526.3   587.2   678.5   869.2  1877.3  3842.2 11915.6  87961.1    87879
read      408.9  1086.4    86.8   143.7   171.2   313.5   359.3   385.5   404.0   428.7   467.4   546.3  2033.5 12814.9 36131.6   7339.4     7287
read      469.8   809.6    74.4   132.0   153.6   335.7   429.8   494.1   545.5   615.2   740.5  1293.2  2474.8  8183.7 32401.9  62075.4    62295
read      407.8  1143.4    86.8   153.1   183.2   318.0   361.7   386.2   403.7   429.6   467.0   538.1  2537.8 24572.8 36849.1   6632.0     6561
read      428.8   660.6    80.4   126.0   145.2   343.3   460.6   526.6   574.1   638.3   732.7   890.6  1595.3  5833.9 35190.0  22338.3    22532
read      351.8   276.1    74.4   126.5   145.3   314.0   398.5   449.1   488.4   534.4   590.2   673.7   931.7  2351.4  9346.4  60729.7    60653
read      347.1   253.7    74.4   125.4   144.1   309.5   391.8   441.2   481.8   529.2   586.2   667.6   932.4  2220.5  6874.8  59424.6    59076
read      365.2   473.9    74.4   126.9   145.5   315.8   400.7   450.7   490.0   535.8   593.2   685.1  1128.9  6382.4 26681.7  60469.7    60154
read      375.0   444.9    74.4   122.9   141.3   321.9   419.9   476.2   513.5   554.5   615.9   749.7  1172.1  3065.7 11052.1  23004.6    22964
read      367.0   618.2    80.4   141.1   168.4   322.3   373.0   402.9   425.0   452.1   489.3   545.5  1282.9  6833.1 30789.4   8229.7     8172
read      405.7   693.3    74.4   124.2   142.6   320.9   426.6   488.4   529.2   575.8   636.9   774.4  1395.2  9869.6 31629.8  27749.7    27652
read      354.3   238.5    74.4   124.9   143.3   318.1   403.1   458.6   501.9   548.0   601.7   674.9   922.3  1732.5  8941.2  37547.4    37594
read      361.5   437.1    74.4   122.9   141.3   307.0   399.2   452.4   488.7   526.9   572.5   639.9  1381.0  5455.0 12312.3  24352.6    24367
read      334.8   210.4    68.9   125.1   144.2   298.8   387.6   441.4   483.5   525.6   571.1   632.4   755.7  1443.5  8810.0  33804.0    33771
read      343.7   238.3    68.9   129.9   150.2   312.0   392.0   438.5   474.9   519.2   575.7   661.5   817.7  1419.2 12055.5  85096.0    84944
read      425.9   729.8    74.4   137.4   160.9   344.6   432.7   488.6   532.7   586.5   659.4   796.8  1850.1  7930.4 31320.0  85692.6    85666
read      382.1   519.1    74.4   128.0   147.9   334.5   421.6   473.3   513.4   559.6   619.5   707.8  1080.4  6541.2 21959.8  52040.6    51918
read      354.2   287.4    74.4   127.2   145.9   312.0   400.6   459.5   502.5   546.3   598.2   670.6   888.0  2705.1  9744.8  34368.0    34406
read      356.8   262.5    74.4   129.2   147.5   316.2   415.0   474.1   514.0   555.6   604.4   672.8   867.8  2073.9  7735.4  28622.9    28664
read      343.2   236.8    74.4   125.7   144.3   302.5   387.3   441.6   483.8   529.5   580.0   647.1   904.2  2360.7  7568.7  38153.1    38289
read      391.7   522.8    74.4   128.7   147.8   329.6   425.9   482.1   521.5   569.4   642.5   784.2  1187.2  6834.7 30577.7  20662.3    20658
