Random waveform, supplied seed
Total number of intervals = 780 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463, 35396, 33885, 11712, 51485, 59378, 94757, 71707, 6184, 52631, 31188, 92326, 78268, 78655, 29798, 96196, 39289, 13806, 86543, 67095, 15164, 21544, 80587, 90870, 18274, 33727, 11433, 17009, 61531, 77691, 75329, 79936, 74872, 7464, 12219, 19906, 18108, 6498, 5794, 54376, 12545, 86110, 9730, 82140, 78511, 68231, 11420, 89777, 75189, 96119, 69998, 79345, 21991, 99920, 15067, 96201, 28442, 23738, 9437, 97039, 39843, 11616, 56350, 24650, 33825, 54193, 76287, 30507, 43736, 81903, 80570, 90992, 78961, 37791, 97764, 71081, 32361, 41597, 36321, 97570, 50500, 32308, 14115, 64826, 67795, 92688, 74427, 31361, 50686, 26859, 15666, 97479, 40641, 35398, 68885, 82658, 37588, 19382, 39597, 57154, 52183, 7024, 16027, 79406, 98199, 75565, 48872, 37140, 91170, 18318, 24202, 7149, 28608, 59337, 71066, 68555, 47586, 81864, 84384, 73197, 58808, 8661, 67893, 27081, 38973, 25147, 30015, 43619, 98527, 67442, 59250, 31042, 23168, 12188, 68103, 44810, 85198, 64988, 38245, 39413, 9583, 89844, 70336, 56324, 64001, 79935, 64293, 40603, 58949, 7297, 42332, 47325, 63001, 95603, 40233, 15311, 23880, 8459, 96950, 75208, 39389, 79892, 95654, 45055, 10973, 70015, 78241, 91472, 57947, 79016, 18117, 55130, 50438, 38809, 15631, 83728, 60616, 89642, 86682, 18798, 8916, 83253, 61390, 85247, 35826, 52616, 67912, 65530, 27950, 23562, 83872, 18090, 80935, 50284, 13437, 61010, 65969, 98525, 40014, 30989, 76195, 9419, 83382, 50487, 99073, 24343, 11299, 49053, 38640, 33282, 44180, 38929, 42429, 53509, 77120, 66346, 57710, 83337, 41488, 8265, 70185, 75176, 71811, 52045, 63492, 79305, 27434, 76065, 91823, 65659, 20183, 8397, 14212, 83901, 31621, 56730, 55549, 60016, 77359, 84857, 34274, 93817, 51283, 81228, 48280, 64296, 89835, 12545, 92345, 99448, 58449, 57739, 92294, 8834, 39340, 6847, 86653, 12989, 47510, 51089, 66139, 99350, 27400, 79376, 79562, 61622, 91360, 84701, 70509, 17321, 78722, 6275, 64585, 9575, 42440, 54234, 96591, 31465, 94808, 81865, 6282, 96809, 75508, 55540, 10663, 84006, 83175, 85153, 72310, 79113, 18032, 57218, 91097, 24182, 55787, 76268, 90804, 45083, 8053, 19821, 10566, 77802, 29156, 53062, 61968, 25153, 29596, 36211, 56063, 56353, 89677, 11860, 75005, 48350, 96204, 71725, 18626, 60873, 47905, 31640, 90774, 10192, 62085, 83520, 92971, 80033, 6417, 74495, 32228, 85817, 31895)
Average QPS expected = 51562
Timestamp start: 1715804797650
Timestamp end: 1715805578951

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      463.9  1455.5    80.4   137.0   163.4   301.5   347.3   375.6   399.5   430.0   475.1   575.9  6051.7 28226.3 38682.8   7540.0     7434
read      938.4  2304.4    80.4   200.3   250.5   440.8   617.5   721.7   798.1   948.1  1281.9  2628.4 11665.3 31631.3 49541.0  67084.0    67201
read      628.8   586.1    80.4   185.1   243.0   564.6   712.2   776.8   817.9   870.8   997.7  1321.2  1728.8  8068.2 30239.0  85884.0    85927
read      392.3   371.4    74.4   136.3   157.0   343.6   431.8   486.1   528.2   577.4   640.1   743.7  1118.6  4767.1 10148.0  64149.0    63953
read      363.3   229.6    74.4   127.8   147.2   332.4   419.8   474.6   516.6   560.6   608.9   677.6   902.5  1858.8  8689.0  31556.0    31595
read      356.2   361.7    68.9   129.4   150.5   310.2   386.9   435.0   471.8   522.6   585.9   681.5   949.8  4462.9  8535.3  87833.0    87879
read      343.4   622.9    86.8   140.7   165.5   295.3   333.0   352.5   368.2   388.5   417.9   480.5  1676.7  8095.1 30732.3   7438.0     7287
read      454.8   826.8    74.4   130.4   152.1   338.0   431.1   492.4   541.3   604.1   696.6  1005.3  2161.5  9915.3 33255.8  61565.0    62295
read      325.8   459.8    86.8   145.3   171.7   295.0   331.4   351.6   368.0   389.6   421.3   471.0   861.5  7604.6 16002.7   6660.0     6561
read      390.8   692.1    74.4   120.7   139.1   320.7   414.1   464.2   503.3   544.7   601.2   705.1  1389.7  9056.0 31179.2  22332.0    22532
read      415.8   433.5    74.4   128.6   148.0   321.6   416.8   479.8   530.9   590.1   676.6   986.6  2087.2  4878.6 14307.5  60727.0    60653
read      373.8   278.5    80.4   132.7   153.1   339.1   427.1   477.3   517.8   566.5   625.5   712.1  1001.9  1913.7 10323.3  59143.0    59076
read      382.6   390.7    68.9   128.7   148.1   316.4   401.1   457.4   501.9   554.7   626.8   786.0  1654.4  3241.9  9370.5  59736.0    60154
read      336.5   210.4    74.4   122.3   139.9   306.7   392.7   440.1   471.0   510.8   550.6   619.9   873.8  2035.8  6148.0  23083.0    22964
read      511.4  1503.5    74.4   134.2   161.5   319.9   375.1   409.1   433.2   463.5   515.5   748.8  7568.8 28611.5 38536.6   8022.0     8172
read      510.7   933.3    80.4   128.1   148.8   342.9   477.3   564.3   636.9   751.1   889.8  1123.2  2909.2  9280.2 30875.8  27369.0    27652
read      389.0   661.6    74.4   127.9   146.4   325.7   412.0   467.4   508.7   554.2   609.9   696.4  1249.0  7526.6 35352.3  37586.0    37594
read      350.3   345.0    80.4   123.5   141.6   309.9   398.1   447.9   483.3   523.1   567.2   632.5   998.8  3154.8 10733.4  24143.0    24367
read      495.5   884.5    74.4   126.7   147.1   334.1   457.7   547.6   619.5   743.8   957.2  1191.4  2226.7 11663.7 31365.4  33670.0    33771
read      364.4   435.8    74.4   136.5   158.7   326.3   409.7   460.2   499.0   545.3   609.8   708.3   938.7  1576.8  6250.3  84404.0    84944
read      366.1   240.9    68.9   135.2   157.3   326.1   407.4   456.4   496.6   547.3   613.7   714.1  1020.0  2139.0  8240.0  85356.0    85666
read      352.1   258.3    74.4   125.9   144.2   317.1   404.1   459.0   501.3   548.1   601.9   676.7   860.8  1637.6  8025.8  51881.0    51918
read      374.9   478.1    68.9   122.1   140.1   311.4   406.1   466.6   511.3   556.7   607.5   690.9  1223.3  8390.3 16008.3  34346.0    34406
read      349.5   274.7    74.4   119.7   136.6   313.9   414.2   467.5   506.1   544.7   590.7   658.3   828.1  1974.5 11583.5  28480.0    28664
read      362.1   298.7    74.4   124.0   142.3   322.0   411.4   464.8   507.5   553.4   608.6   694.5  1043.9  2162.0 13006.6  38243.0    38289
read      348.1   260.4    74.4   119.4   138.7   321.2   412.3   457.7   489.6   525.2   567.9   636.4   868.4  2254.5  9842.0  20822.0    20658
read      399.7   323.8    74.4   124.0   146.8   367.4   463.0   520.1   552.6   589.1   634.2   715.5  1117.9  2565.1 15782.5  14047.0    13840
read      577.7   537.9    74.4   165.6   212.4   430.5   519.7   614.1   726.7   881.6  1251.7  1665.9  2153.5  3231.6 18860.3  93336.0    93419
read      379.3   367.7    74.4   135.7   160.1   332.5   411.2   458.4   497.0   548.1   619.5   732.7  1097.1  4449.6 16969.4  97772.0    98284
read      397.4   422.6    74.4   135.5   157.7   347.7   435.6   489.9   533.5   584.6   653.7   762.5  1090.6  8159.0 12239.6  71203.0    71313
read      365.5   437.5    74.4   125.2   144.1   318.2   409.2   466.3   512.5   560.6   613.0   686.1   971.1  4398.6 18708.4  41915.0    42089
read      381.6   521.6    74.4   131.4   151.9   341.9   424.9   475.5   515.4   560.6   615.6   690.1   896.4  5830.7 27539.7  46673.0    46458
read      360.7   415.7    74.4   127.0   145.5   324.8   397.1   441.9   476.5   521.0   571.9   647.4  1057.7  3776.5 17530.3  30957.0    30755
read      346.6   328.5    74.4   123.9   143.0   312.5   389.5   437.8   474.3   520.2   572.3   644.4   901.3  2656.9 16508.8  42668.0    42889
read      407.7   500.3    80.4   146.3   173.4   352.1   436.4   488.4   529.7   580.7   649.2   780.9  1225.0  4515.9 19997.8  93280.0    93552
read      396.3   532.6    68.9   133.1   154.1   329.7   418.4   470.9   513.4   563.7   630.6   767.5  1598.0  5873.0 29240.9  65675.0    65694
read      318.5   200.4    74.4   116.5   133.0   291.2   372.7   416.6   449.0   487.1   532.0   595.1   748.5  2302.9  4399.6  29935.0    29574
read      338.6   222.4    74.4   124.2   142.5   311.6   389.2   433.1   466.8   510.6   563.0   632.8   821.1  1948.0  9332.9  51419.0    51355
read      340.6   180.3    74.4   129.1   148.7   314.5   393.5   438.9   474.4   519.0   573.5   647.0   799.8  1276.4  4777.3  67028.0    67361
read      317.4   285.8    80.4   122.8   140.9   307.5   367.0   397.7   419.9   445.5   478.4   532.7   649.6  2291.9 15283.0  16383.0    16287
read      437.1   817.1    74.4   132.9   156.5   334.3   424.0   479.6   525.0   582.5   660.9   851.1  2102.4 13000.2 31608.8  80794.0    81508
read      405.5   384.6    74.4   144.1   171.0   354.9   439.2   490.8   531.1   580.0   647.3   773.6  1191.9  4802.3 12059.5  87900.0    87619
read      380.5   300.6    74.4   141.9   167.1   338.7   421.5   469.5   508.1   556.0   624.5   741.1  1045.4  1966.3 14052.2  99076.0    99068
read      359.5   263.6    74.4   129.0   148.4   325.1   404.4   454.2   492.2   539.1   597.4   683.2  1050.9  1876.7  7806.3  51043.0    51267
