Random waveform, supplied seed
Total number of intervals = 390 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768)
Average QPS expected = 50218
Timestamp start: 1715806603674
Timestamp end: 1715807384785

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      445.8  1058.6    86.8   142.9   169.4   308.5   356.6   384.4   404.8   433.7   484.7   673.5  3752.8 11932.6 31941.6   7418.5     7434
read      352.9   310.7    74.4   125.5   143.3   299.1   379.8   429.0   467.3   517.9   582.6   683.5  1504.2  3138.2  8305.5  67334.5    67201
read      345.6   394.2    68.9   125.8   144.7   295.6   372.3   421.7   460.8   509.6   572.3   659.7  1062.1  3456.2 13793.1  86510.0    85927
read      338.0   298.5    68.9   122.8   140.6   296.9   374.4   422.5   459.4   506.0   565.3   652.8  1042.8  2465.0 10424.4  63955.0    63953
read      335.3   444.6    74.4   117.0   133.3   289.1   376.1   426.7   464.1   506.9   554.2   618.3   821.8  6640.4 24353.7  31490.5    31595
read      370.6   398.8    68.9   128.1   148.7   309.6   386.5   437.0   481.4   537.4   609.1   725.5  1622.5  3437.2 13873.8  87915.0    87879
read      417.7  1134.0    86.8   140.6   168.4   302.3   343.8   368.3   387.6   412.0   448.9   545.1  3908.9 18369.6 30766.1   7297.5     7287
read      368.5   527.3    68.9   122.9   141.0   297.4   376.8   426.5   465.4   516.8   582.1   691.9  1736.7  6877.5 16664.1  61974.0    62295
read      364.2   847.0    86.8   144.8   171.1   297.2   338.8   362.7   379.9   401.0   430.5   492.0  1842.0  7893.4 31999.2   6538.0     6561
read      378.8   341.4    74.4   121.4   140.3   326.6   431.0   488.3   530.4   581.5   658.5   793.7  1100.9  2645.1 16485.3  22521.0    22532
read      342.2   335.0    74.4   122.9   141.2   302.3   381.2   430.2   468.0   516.4   572.7   654.6   898.8  2324.8 12353.0  60882.5    60653
read      345.7   273.1    68.9   123.4   141.9   302.4   384.5   433.8   471.6   519.9   578.4   668.1  1101.1  2405.7  8870.6  59291.0    59076
read      336.2   265.4    68.9   121.5   139.2   296.8   376.4   425.5   462.8   508.9   567.1   647.9   928.4  2113.0 10036.9  59920.0    60154
read      364.7   369.8    74.4   119.1   136.7   315.2   409.9   462.3   500.9   547.1   612.4   733.9  1003.9  5218.8 12636.4  22921.0    22964
read      369.8   861.7    86.8   138.7   165.4   314.8   365.5   392.3   411.3   435.4   470.3   539.5  1155.5  8007.3 37019.5   8156.0     8172
read      355.2   583.4    68.9   117.3   133.7   293.5   386.9   440.4   477.0   520.7   573.0   670.6  1047.6  8203.7 28240.1  27607.5    27652
read      337.5   317.2    68.9   118.3   135.0   290.6   371.2   423.6   463.8   512.0   563.7   639.8  1015.8  3969.8  9375.7  37536.5    37594
read      329.5   390.3    74.4   118.5   135.1   294.2   379.2   423.6   453.9   488.0   527.4   579.9   736.3  4605.5 21073.6  24428.5    24367
read      328.5   260.0    68.9   120.3   137.4   290.6   379.6   435.0   473.9   517.3   562.3   620.2   734.9  1776.1 10114.5  33646.0    33771
read      373.9   448.1    68.9   125.7   145.9   306.3   386.6   437.0   478.5   530.3   598.5   710.8  1786.0  5478.9 13175.4  84975.0    84944
read      354.1   294.4    74.4   129.8   150.0   311.6   389.3   437.1   477.8   530.1   597.0   702.7  1072.4  2158.2  7232.7  85876.5    85666
read      347.3   316.2    74.4   121.6   139.2   302.6   381.8   433.2   474.1   524.3   581.1   664.2  1050.7  3691.8  9990.2  51920.0    51918
read      336.5   392.7    68.9   117.4   134.2   290.2   378.1   435.6   476.5   522.2   570.0   632.6   942.0  3082.2 24268.1  34324.0    34406
