Random waveform, supplied seed
Total number of intervals = 164 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953)
Average QPS expected = 49561
Timestamp start: 1715791160838
Timestamp end: 1715791981817

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      401.8   876.6    80.4   140.4   170.2   327.4   380.5   411.5   436.6   468.0   509.9   600.1  2007.2 10143.6 31929.5   7430.4     7434
read      376.3   350.9    68.9   132.5   152.8   320.7   406.1   459.7   500.3   547.6   612.1   727.9  1405.7  4341.9  9458.3  67001.6    67201
read      419.0   482.6    74.4   140.4   166.0   349.0   438.9   494.7   537.5   592.0   672.6   834.8  1637.1  7284.3 12902.9  85758.4    85927
read      371.6   333.8    68.9   132.0   152.2   325.0   411.2   464.3   503.9   548.9   610.8   717.9  1188.2  2967.3 11767.0  63734.4    63953
read      363.3   485.6    74.4   126.2   144.5   323.2   402.1   453.4   491.7   533.9   585.7   669.4   994.7  4754.1 26283.3  31550.2    31595
read      372.9   310.3    68.9   136.3   159.4   328.6   413.5   464.3   503.3   550.5   615.6   726.4  1056.2  2872.0 10165.2  87849.4    87879
read      450.4  1219.9    80.4   144.4   172.9   319.5   368.6   398.2   423.2   454.7   498.2   614.6  3894.8 18746.6 38292.5   7295.8     7287
read      355.0   281.4    74.4   130.9   150.5   318.8   401.6   452.6   489.9   533.1   586.6   669.8   917.6  2339.8 10237.5  62163.6    62295
read      395.2  1107.2    80.4   144.4   172.9   308.4   354.3   379.8   400.2   428.7   470.6   567.0  2253.1 13723.5 42174.9   6531.0     6561
read      409.4   549.0    68.9   127.2   145.6   326.9   426.2   490.0   536.6   597.1   702.8   879.5  1575.7  6114.2 28096.3  22479.2    22532
read      386.4   413.1    68.9   128.0   148.2   326.1   413.9   468.1   510.4   563.2   633.2   774.7  1529.0  4073.0 16042.2  60756.6    60653
read      380.3   372.2    68.9   128.1   148.3   328.5   414.3   467.1   507.0   556.0   621.6   740.3  1454.1  3588.0 12417.6  59207.4    59076
read      378.5   403.9    68.9   127.6   147.6   325.3   411.9   465.1   505.3   552.2   617.4   737.4  1397.6  4067.2 11958.1  60061.4    60154
read      383.4   529.0    68.9   118.7   137.0   317.0   409.0   468.8   512.5   571.8   667.1   830.5  1260.0  4996.6 28979.3  23054.8    22964
read      360.8   623.3    80.4   133.6   158.8   313.7   363.9   392.6   415.0   444.7   485.7   554.3  1372.0  7605.9 23736.3   8192.0     8172
