Random waveform, supplied seed
Total number of intervals = 156 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586)
Average QPS expected = 49484
Timestamp start: 1715819125508
Timestamp end: 1715819906489

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      388.4   664.3    74.4   152.7   181.1   335.0   384.0   413.0   435.5   464.6   501.7   568.1  1708.4  7884.9 26945.7   7453.0     7434
read      354.9   318.1    74.4   125.9   145.3   312.9   394.1   442.9   480.7   526.0   583.6   674.7  1034.2  3698.3  8449.3  67135.4    67201
read      376.8   379.8    74.4   132.6   154.1   322.4   404.9   458.3   498.6   548.0   614.2   723.7  1352.9  4218.4 11462.1  85855.0    85927
read      371.4   411.0    74.4   130.1   149.2   312.4   398.4   453.4   496.5   547.9   611.6   713.9  1408.0  4687.1 12468.5  63870.4    63953
read      338.4   267.5    74.4   126.1   143.8   302.1   378.4   431.3   470.5   512.3   560.8   632.8   915.7  2030.7 12534.6  31562.4    31595
read      376.9   315.7    68.9   137.5   160.0   332.3   415.4   466.4   506.0   555.3   622.6   732.0  1105.4  2910.7 10092.8  87814.6    87879
read      394.6   896.2    86.8   149.5   178.9   334.5   387.5   419.2   443.4   470.4   505.1   567.1  1114.1 12406.6 35360.7   7332.2     7287
read      361.9   367.7    68.9   127.6   146.1   313.5   398.0   452.3   494.0   543.2   603.4   691.3  1236.1  3218.4  9669.7  62144.2    62295
read      348.7   640.7    80.4   163.9   191.9   311.7   346.6   366.7   381.3   399.1   426.7   476.2  1344.2  4454.0 35629.2   6567.8     6561
read      429.9   509.6    74.4   125.8   146.1   362.4   489.5   554.8   602.9   659.6   732.6   852.2  1296.5  7318.7 19641.5  22501.4    22532
read      360.5   269.4    74.4   128.2   146.5   313.7   398.8   454.5   497.0   547.4   609.5   701.0  1262.0  2358.0  8749.6  60749.0    60653
read      373.1   507.7    74.4   128.1   146.6   313.9   399.5   453.9   495.5   546.2   609.0   701.2  1286.9  7235.3 28686.7  58964.2    59076
read      363.2   354.9    74.4   127.0   145.4   308.9   394.9   450.7   493.7   545.1   608.7   706.5  1295.2  3903.9 10561.4  59984.2    60154
read      449.1   733.0    74.4   124.9   145.4   361.7   492.4   563.0   616.5   679.1   753.5   870.6  1431.3 10825.1 31211.4  22898.8    22964
read      412.6   863.9    86.8   147.1   177.9   353.3   415.7   452.4   476.4   503.8   541.2   609.8  1384.7  9728.2 35962.4   8214.6     8172
read      368.5   319.5    74.4   124.6   142.8   318.8   433.3   494.3   532.7   573.8   622.9   707.8  1052.4  2623.1 12056.5  27389.4    27652
read      368.2   435.8    68.9   124.4   142.5   310.8   405.4   474.0   520.9   569.6   623.3   698.3  1143.6  4823.3 13055.1  37843.8    37594
read      438.7   754.0    74.4   125.1   144.8   348.4   480.3   546.2   596.0   659.9   747.4   886.6  1359.1 12005.0 31632.4  24509.0    24367
read      359.5   281.9    74.4   124.4   142.4   309.2   403.6   468.7   511.6   558.4   613.3   695.3  1112.8  3065.8  9580.1  33719.2    33771
read      354.7   329.6    74.4   131.2   151.3   311.9   392.8   443.8   483.9   532.1   592.3   684.4   942.3  2637.7 14668.9  84908.6    84944
read      354.7   295.0    74.4   131.8   151.8   311.9   393.5   445.3   485.9   534.6   595.2   685.7   977.8  2276.5  9733.4  85577.6    85666
read      351.9   268.4    74.4   125.6   144.0   310.6   396.3   454.2   498.4   549.9   609.0   685.1   927.7  1662.7  7904.7  51888.6    51918
read      353.3   410.8    74.4   122.1   139.6   302.5   398.9   465.5   508.6   551.8   599.0   663.5   872.9  4174.8 13516.3  34513.0    34406
read      357.9   316.2    74.4   123.1   140.5   306.7   417.6   481.0   519.0   558.2   602.6   675.6  1023.3  2502.2 10625.4  28734.8    28664
read      353.2   287.4    74.4   123.6   141.4   305.8   399.5   466.2   510.7   557.8   609.3   679.7   940.3  1859.2 12132.7  38371.4    38289
read      409.2   571.4    74.4   126.7   146.9   355.3   467.6   520.2   557.3   604.5   670.6   787.3  1273.2  5802.6 31413.4  20754.4    20658
read      430.7   959.1    74.4   132.7   155.7   360.5   443.5   486.8   516.8   551.9   601.6   682.9  1339.4 15135.4 35167.2  13824.8    13840
read      360.0   315.7    68.9   133.7   154.8   314.6   394.2   444.2   483.7   533.1   596.1   693.5  1050.1  3429.5 10993.0  93521.8    93419
read      410.6   519.6    74.4   142.6   168.0   346.6   428.4   479.4   521.7   577.9   656.8   796.2  1589.3  5545.5 18768.6  98025.6    98284
read      376.0   419.1    74.4   130.6   150.4   322.5   409.6   463.7   505.1   554.9   618.9   716.6  1263.1  4492.3 15994.2  71281.8    71313
read      366.1   325.8    74.4   126.1   144.4   313.8   406.0   472.3   519.9   569.7   626.8   708.2  1113.7  3722.9  9486.7  42174.0    42089
