Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715605638344
Timestamp end: 1715606538965

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      448.8   987.9   160.7   221.4   244.1   362.3   401.0   424.9   442.5   466.8   507.5   611.9  2139.4 11969.0 32338.5   7387.6     7434
read      424.3   509.1   148.8   203.7   218.9   350.2   428.1   475.8   514.5   566.2   639.9   798.3  1611.0  5351.8 19073.1  67244.8    67201
read      441.4   475.7   148.8   208.6   227.1   367.5   444.4   493.7   534.5   589.0   669.8   834.3  1661.8  5532.7 15016.3  86006.0    85927
read      405.8   425.8   148.8   201.8   216.5   341.4   416.4   462.5   498.9   546.9   619.8   761.3  1350.8  4835.3 14090.9  63966.2    63953
read      407.4   390.6   148.8   201.6   216.1   349.7   440.1   488.5   524.5   567.5   624.1   734.3  1163.0  5321.1 15140.2  31625.6    31595
read      418.0   446.8   148.8   206.0   223.3   353.9   425.5   469.8   506.5   555.6   629.6   774.1  1407.1  4803.6 16277.7  87907.6    87879
read      437.6   805.9   148.8   220.0   243.2   361.7   402.4   427.7   447.3   471.4   510.4   613.1  2057.6 11082.7 31804.3   7378.6     7287
read      411.4   423.1   148.8   201.8   216.4   345.8   423.4   470.2   507.6   556.6   628.7   767.5  1410.9  4351.8 13630.6  62178.6    62295
read      473.5  1300.9   160.7   218.9   243.2   351.5   391.8   416.2   435.0   462.7   505.8   626.6  2388.3 28917.1 35619.3   6596.2     6561
read      452.4   624.5   148.8   198.6   212.9   369.2   461.1   510.1   549.0   600.8   695.2   890.8  1623.4  8489.4 31045.0  22419.8    22532
read      413.6   431.0   148.8   202.7   217.5   351.7   431.1   478.9   517.0   567.7   638.4   776.0  1286.5  3743.3 17334.8  60564.0    60653
read      407.2   438.6   148.8   200.3   214.9   344.4   420.4   467.4   504.8   553.1   622.4   750.5  1290.8  5696.4 12606.5  59053.8    59076
read      404.1   434.5   148.8   200.7   214.8   339.8   416.8   463.4   500.9   549.5   621.0   756.4  1349.9  3891.2 14990.8  60262.0    60154
read      436.0   527.6   148.8   201.3   215.3   366.1   456.2   502.0   535.8   577.6   637.3   788.6  1415.4  7874.9 19171.0  22980.6    22964
read      497.7  1343.6   160.7   212.1   231.9   364.5   411.8   440.4   463.7   495.9   546.7   682.4  3165.4 28682.5 37696.6   8170.6     8172
read      419.6   523.1   148.8   199.3   213.1   354.8   444.5   492.4   527.5   570.2   627.1   745.1  1256.5  6442.9 19223.5  27676.0    27652
read      407.6   535.2   148.8   198.3   212.6   345.3   427.2   475.1   511.6   558.9   620.0   724.4  1196.7  6921.5 27312.0  37662.4    37594
read      441.0   557.2   148.8   201.6   215.5   366.9   459.3   508.9   547.6   594.6   670.8   848.5  1441.7  7205.6 19573.8  24429.2    24367
read      413.5   471.2   148.8   199.6   213.6   349.2   440.1   490.8   528.1   573.7   633.4   762.1  1220.8  4952.5 16151.9  33695.6    33771
read      500.7  1132.8   148.8   208.4   227.7   377.4   444.8   487.7   523.5   573.9   652.2   832.6  1841.2 12909.5 35907.3  84873.8    84944
read      417.4   433.7   148.8   204.9   222.1   355.7   428.2   473.6   511.5   561.2   631.7   767.0  1299.7  5825.1 13849.3  85602.2    85666
read      404.2   288.8   148.8   200.5   215.3   349.1   428.6   476.4   514.4   565.2   633.5   758.4  1248.1  2599.0 10558.4  52043.2    51918
read      395.2   398.5   148.8   197.8   212.0   339.1   423.1   470.9   505.7   548.0   602.7   701.1  1124.2  4195.6 14857.2  34372.4    34406
read      412.1   445.0   148.8   200.0   214.1   348.3   440.1   487.9   522.9   564.4   621.7   740.6  1243.2  5105.7 14940.0  28689.2    28664
