Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715643142684
Timestamp end: 1715644043298

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      452.4   665.2   173.5   243.2   266.1   398.7   440.2   462.9   480.0   502.1   537.3   625.8  1943.5  8219.1 30323.5   7480.8     7434
read      427.9   389.3   148.8   218.6   234.0   367.4   447.4   496.7   535.8   587.4   658.3   774.7  1242.0  3868.8 14327.3  67255.6    67201
read      448.1   475.6   160.7   221.7   240.0   381.8   458.5   506.1   546.0   599.0   673.3   803.1  1345.2  5992.4 15242.7  85705.2    85927
read      420.8   377.5   148.8   214.8   230.3   365.1   446.5   496.1   534.2   583.7   651.6   753.5  1150.3  4099.1 12342.1  63991.0    63953
read      435.6   488.4   160.7   211.5   226.7   367.2   469.5   527.8   569.1   617.9   673.6   763.4  1205.5  5739.6 24003.1  31696.4    31595
read      454.1   435.9   160.7   224.7   245.0   394.0   471.8   522.2   563.0   616.7   689.3   824.6  1314.7  4999.3 14383.4  87654.8    87879
read      451.4   828.3   173.5   241.3   265.1   394.1   434.6   457.5   472.3   495.8   529.0   608.4  1442.5 10885.2 32082.0   7304.2     7287
read      430.4   380.7   160.7   218.7   234.3   370.4   453.8   504.7   545.0   599.9   673.2   788.0  1236.8  3446.5 13265.9  62416.6    62295
read      449.7   754.2   173.5   245.8   271.0   387.8   426.9   449.4   465.5   488.0   520.4   611.8  1697.7  9423.2 31145.0   6580.0     6561
read      435.4   416.8   160.7   216.5   231.6   386.7   489.8   535.1   566.9   605.3   651.8   727.4  1071.0  6741.1 13711.5  22299.8    22532
read      432.5   407.0   148.8   216.7   232.0   367.1   450.7   502.9   544.4   600.5   674.2   788.9  1281.7  4785.3 14966.5  60647.4    60653
read      426.3   418.7   148.8   214.8   230.3   364.5   448.0   499.1   539.1   591.8   663.7   770.1  1182.7  5328.2 13615.0  59112.2    59076
read      424.0   444.2   148.8   214.9   230.3   363.4   443.5   493.9   533.9   587.3   659.0   766.2  1186.7  4347.8 15019.4  60286.6    60154
read      422.9   285.0   160.7   212.4   227.3   377.8   479.3   525.8   556.3   594.4   640.7   720.4  1076.7  4113.0 10578.0  22830.0    22964
read      434.7   692.4   173.5   235.2   256.3   392.6   435.4   460.0   477.4   501.1   538.9   629.7  1173.1  6036.5 32256.9   8219.6     8172
read      450.5   484.6   160.7   214.1   230.4   378.0   496.8   557.7   602.0   647.9   708.3   816.8  1153.1  5683.5 15778.0  27633.6    27652
read      429.8   306.4   160.7   211.0   226.9   359.6   467.4   538.7   588.8   645.0   700.6   779.1  1178.3  3495.6  9287.1  37761.4    37594
read      427.8   470.7   160.7   212.4   227.3   372.8   480.5   530.6   563.5   601.1   645.0   713.1  1040.2  5763.2 15429.4  24185.8    24367
read      429.6   415.8   160.7   211.5   226.7   359.2   465.4   528.9   573.8   625.4   679.2   751.3  1148.3  4724.9 13647.5  33751.0    33771
read      433.6   479.3   160.7   220.4   238.0   376.9   453.8   501.2   539.9   590.6   660.6   782.9  1131.8  4146.8 17090.9  84998.0    84944
read      432.3   454.8   148.8   219.5   236.6   372.5   448.1   494.7   532.2   581.3   647.5   771.3  1196.7  5969.4 16063.8  85879.0    85666
read      424.4   313.7   148.8   214.7   230.2   365.5   450.4   504.5   547.8   608.0   678.4   778.6  1204.0  3264.1  9399.0  51881.2    51918
read      435.2   515.0   160.7   210.8   226.3   362.9   465.4   528.5   574.2   626.6   684.1   777.2  1192.9  5724.3 28188.9  34361.6    34406
read      429.1   381.3   160.7   210.0   225.2   365.0   476.8   535.5   576.7   621.9   673.9   748.6  1119.5  4784.9 13409.0  28635.2    28664
read      433.9   507.9   160.7   210.6   226.4   366.4   458.5   517.8   561.5   616.9   678.3   773.2  1220.3  6191.2 23557.4  38364.0    38289
read      424.8   432.2   160.7   213.8   229.3   385.6   479.2   522.2   549.1   584.0   626.5   691.9   989.0  4844.5 17227.7  20644.0    20658
read      471.1   875.2   160.7   223.0   239.8   413.6   480.7   512.9   535.7   564.0   607.2   690.4  1416.5  9666.2 36563.4  13908.4    13840
read      433.1   302.3   160.7   224.4   244.2   385.5   458.9   503.9   541.4   590.6   661.5   784.7  1135.5  2194.4 12415.9  93444.4    93419
read      494.1   451.5   148.8   236.4   263.8   431.7   518.1   577.9   625.2   684.0   767.0   902.2  1254.6  5305.5 16755.6  98100.8    98284
read      425.1   409.5   148.8   214.2   231.3   369.5   447.6   494.9   532.4   581.7   650.2   764.3  1140.5  4734.4 14806.6  71429.2    71313
read      432.7   473.2   160.7   212.6   228.4   362.3   458.5   521.9   570.3   626.9   687.6   779.1  1151.0  4839.7 21550.1  42142.0    42089
read      422.1   257.0   160.7   213.9   229.8   363.1   454.2   514.2   561.1   620.9   686.3   779.2  1128.9  1959.1  8708.6  46510.2    46458
read      441.0   497.3   160.7   212.3   228.1   372.2   480.4   540.5   583.9   631.8   685.9   772.9  1125.2  7065.2 14965.3  30825.0    30755
read      428.9   373.6   148.8   212.5   228.1   363.2   454.8   513.8   561.4   619.7   682.7   774.5  1219.4  5596.5 11549.8  42620.8    42889
read      455.5   466.9   160.7   224.9   247.1   399.3   475.2   525.1   566.4   619.6   693.5   833.7  1207.3  3896.1 20152.1  93432.2    93552
read      423.5   371.9   160.7   215.7   232.1   370.5   450.8   498.6   536.5   586.2   654.6   763.8  1091.1  3611.7 12624.5  65836.2    65694
read      431.2   389.3   160.7   212.4   228.1   367.6   481.1   540.1   581.8   626.9   677.8   750.1  1076.5  3991.5 12999.3  29515.0    29574
read      432.1   376.5   148.8   215.4   231.6   366.0   454.6   510.8   557.0   618.6   688.9   794.1  1239.0  4786.4 12349.9  51211.6    51355
read      420.3   355.9   148.8   214.7   230.9   365.7   446.9   495.4   533.1   582.4   650.0   758.2  1101.9  3780.6 12898.5  67227.4    67361
read      437.9   468.4   160.7   219.7   235.6   413.9   491.6   526.5   548.8   578.7   615.7   675.9   965.5  6745.0 21208.0  16262.4    16287
read      431.5   391.2   148.8   218.8   236.0   373.3   450.5   498.0   536.7   587.1   657.5   779.2  1255.0  4755.1 11146.3  81505.0    81508
