2024-05-13T22:04:21.666593 start scheduler
2024-05-13T22:04:21.685435 custom scheduler memcached+pid%3D8483
2024-05-13T22:04:21.685645 custom scheduler scheduler+pid%3D8483
2024-05-13T22:04:21.685837 custom scheduler unstable+%28CURR+0+-+0+QPS%29
2024-05-13T22:04:21.686819 update_cores memcached [0,1]
2024-05-13T22:04:21.752232 custom scheduler stable+%289573+QPS%29
2024-05-13T22:04:21.980806 start freqmine [2,3] 3
2024-05-13T22:04:22.253438 start canneal [2,3] 3
2024-05-13T22:04:22.389838 custom scheduler stable+%287506+QPS%29
2024-05-13T22:04:22.574656 start radix [1] 1
2024-05-13T22:04:22.624196 update_cores radix [3]
2024-05-13T22:04:22.651419 pause radix
2024-05-13T22:04:22.765313 custom scheduler unstable+%28CURR+13897+-+8130+QPS%29
2024-05-13T22:04:23.657164 custom scheduler stable+%2860725+QPS%29
2024-05-13T22:04:24.294160 custom scheduler stable+%2867783+QPS%29
2024-05-13T22:04:24.806763 custom scheduler unstable+%28CURR+103492+-+68680+QPS%29
2024-05-13T22:04:25.131174 custom scheduler stable+%2874786+QPS%29
2024-05-13T22:04:25.196210 custom scheduler unstable+%28CURR+112209+-+75989+QPS%29
2024-05-13T22:04:25.324551 custom scheduler stable+%2878459+QPS%29
2024-05-13T22:04:25.790462 custom scheduler stable+%2886798+QPS%29
2024-05-13T22:04:26.498973 custom scheduler stable+%2886766+QPS%29
2024-05-13T22:04:27.217174 custom scheduler stable+%2876575+QPS%29
2024-05-13T22:04:27.929408 custom scheduler stable+%2864741+QPS%29
2024-05-13T22:04:28.635324 custom scheduler stable+%2864810+QPS%29
2024-05-13T22:04:28.823338 custom scheduler unstable+%28CURR+39194+-+62387+QPS%29
2024-05-13T22:04:29.073385 custom scheduler stable+%2854405+QPS%29
2024-05-13T22:04:29.328980 custom scheduler stable+%2846511+QPS%29
2024-05-13T22:04:30.026953 custom scheduler stable+%2831885+QPS%29
2024-05-13T22:04:30.717161 custom scheduler stable+%2831869+QPS%29
2024-05-13T22:04:30.780089 custom scheduler unstable+%28CURR+66129+-+33576+QPS%29
2024-05-13T22:04:31.631361 custom scheduler stable+%2881050+QPS%29
2024-05-13T22:04:32.280189 custom scheduler stable+%2888896+QPS%29
2024-05-13T22:04:32.796930 custom scheduler unstable+%28CURR+39158+-+84589+QPS%29
2024-05-13T22:04:33.731546 custom scheduler stable+%2810160+QPS%29
2024-05-13T22:04:34.359018 custom scheduler stable+%287471+QPS%29
2024-05-13T22:04:34.793728 custom scheduler unstable+%28CURR+45562+-+9509+QPS%29
2024-05-13T22:04:35.621665 custom scheduler stable+%2854831+QPS%29
2024-05-13T22:04:36.257171 custom scheduler stable+%2863143+QPS%29
2024-05-13T22:04:36.829606 custom scheduler unstable+%28CURR+7978+-+58580+QPS%29
2024-05-13T22:04:37.697140 custom scheduler stable+%2810177+QPS%29
2024-05-13T22:04:38.319329 custom scheduler stable+%286446+QPS%29
2024-05-13T22:04:38.816190 custom scheduler unstable+%28CURR+24864+-+7407+QPS%29
2024-05-13T22:04:39.687581 custom scheduler stable+%2821578+QPS%29
2024-05-13T22:04:40.310325 custom scheduler stable+%2822753+QPS%29
2024-05-13T22:04:40.807694 custom scheduler unstable+%28CURR+66196+-+24287+QPS%29
2024-05-13T22:04:41.629421 custom scheduler stable+%2856042+QPS%29
2024-05-13T22:04:42.269225 custom scheduler stable+%2861454+QPS%29
2024-05-13T22:04:42.962779 custom scheduler stable+%2861073+QPS%29
2024-05-13T22:04:43.661036 custom scheduler stable+%2859691+QPS%29
2024-05-13T22:04:44.360427 custom scheduler stable+%2859995+QPS%29
2024-05-13T22:04:45.055805 custom scheduler stable+%2860405+QPS%29
2024-05-13T22:04:45.757645 custom scheduler stable+%2860752+QPS%29
2024-05-13T22:04:46.453406 custom scheduler stable+%2860488+QPS%29
2024-05-13T22:04:46.831713 custom scheduler unstable+%28CURR+27490+-+57598+QPS%29
2024-05-13T22:04:47.267568 custom scheduler stable+%2841654+QPS%29
2024-05-13T22:04:47.890557 custom scheduler stable+%2823247+QPS%29
2024-05-13T22:04:48.576368 custom scheduler stable+%2823190+QPS%29
2024-05-13T22:04:48.826352 custom scheduler unstable+%28CURR+10101+-+22179+QPS%29
2024-05-13T22:04:49.386103 custom scheduler stable+%2813976+QPS%29
2024-05-13T22:04:50.006500 custom scheduler stable+%288118+QPS%29
2024-05-13T22:04:50.689795 custom scheduler stable+%288079+QPS%29
2024-05-13T22:04:50.814642 custom scheduler unstable+%28CURR+31862+-+9168+QPS%29
2024-05-13T22:04:51.625364 custom scheduler stable+%2825197+QPS%29
2024-05-13T22:04:52.252844 custom scheduler stable+%2827941+QPS%29
2024-05-13T22:04:52.816882 custom scheduler unstable+%28CURR+50561+-+28689+QPS%29
2024-05-13T22:04:53.256356 custom scheduler stable+%2832827+QPS%29
2024-05-13T22:04:53.883696 custom scheduler stable+%2837697+QPS%29
2024-05-13T22:04:54.386926 custom scheduler unstable+%28CURR+57231+-+37892+QPS%29
2024-05-13T22:04:54.450806 custom scheduler stable+%2837956+QPS%29
2024-05-13T22:04:54.575266 custom scheduler stable+%2838032+QPS%29
2024-05-13T22:04:55.263615 custom scheduler stable+%2831417+QPS%29
2024-05-13T22:04:55.951148 custom scheduler stable+%2824300+QPS%29
2024-05-13T22:04:56.637106 custom scheduler stable+%2824405+QPS%29
2024-05-13T22:04:56.826031 custom scheduler unstable+%28CURR+44365+-+25333+QPS%29
2024-05-13T22:04:57.327350 custom scheduler stable+%2829902+QPS%29
2024-05-13T22:04:57.390202 custom scheduler unstable+%28CURR+43634+-+30473+QPS%29
2024-05-13T22:04:57.453380 custom scheduler stable+%2831106+QPS%29
2024-05-13T22:04:58.079529 custom scheduler stable+%2834192+QPS%29
2024-05-13T22:04:58.768186 custom scheduler unstable+%28CURR+51026+-+34943+QPS%29
2024-05-13T22:04:59.531604 custom scheduler stable+%2874060+QPS%29
2024-05-13T22:05:00.171617 custom scheduler stable+%2885892+QPS%29
2024-05-13T22:05:00.879259 custom scheduler stable+%2885127+QPS%29
2024-05-13T22:05:00.942861 custom scheduler unstable+%28CURR+126019+-+85833+QPS%29
2024-05-13T22:05:01.007241 custom scheduler stable+%2885898+QPS%29
2024-05-13T22:05:01.643438 custom scheduler stable+%2886466+QPS%29
2024-05-13T22:05:02.350934 custom scheduler stable+%2885828+QPS%29
2024-05-13T22:05:03.054138 custom scheduler stable+%2876064+QPS%29
2024-05-13T22:05:03.746831 custom scheduler stable+%2853271+QPS%29
