Random waveform, supplied seed
Total number of intervals = 480 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463, 35396, 33885, 11712, 51485, 59378, 94757, 71707, 6184, 52631, 31188, 92326, 78268, 78655, 29798, 96196, 39289, 13806, 86543, 67095, 15164, 21544, 80587, 90870, 18274, 33727, 11433, 17009, 61531, 77691, 75329)
Average QPS expected = 50217
Timestamp start: 1715608615852
Timestamp end: 1715609576736

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      510.0  1254.9   160.7   221.1   243.8   369.5   414.9   443.2   466.9   501.4   555.6   720.7  3906.9 28257.9 32252.5   7332.5     7434
read      441.0   533.8   148.8   205.9   222.2   357.3   438.0   489.0   529.3   581.7   659.1   831.3  1894.4  6681.3 21549.4  66787.0    67201
read      431.8   547.3   148.8   207.7   225.1   361.2   439.9   489.5   528.5   577.8   646.0   793.8  1272.0  7248.8 17567.2  85604.0    85927
read      417.3   485.2   148.8   202.9   217.7   350.3   429.6   478.4   517.2   566.1   635.3   772.1  1444.3  4968.7 25995.1  63719.5    63953
read      420.2   496.0   148.8   202.1   216.7   359.3   450.5   503.3   542.6   587.5   643.4   746.0  1154.6  5798.5 16046.7  31492.0    31595
read      423.4   374.1   148.8   204.8   221.9   359.1   432.0   478.7   517.4   569.1   642.4   806.1  1500.8  4217.2 11494.4  87954.0    87879
read      446.5   947.2   160.7   215.6   237.6   351.9   392.4   416.3   433.9   459.5   500.7   596.4  3312.3  9210.3 37504.3   7305.5     7287
read      408.4   391.9   148.8   201.9   216.6   343.8   423.3   472.1   512.2   562.3   629.3   763.2  1398.5  4801.6  9357.9  61928.5    62295
read      445.3  1130.9   160.7   218.5   242.5   344.8   378.8   398.1   413.6   433.2   467.8   554.9  2658.7 14648.8 32173.0   6559.5     6561
read      461.2   516.8   148.8   202.1   216.2   379.9   481.3   539.1   583.1   648.7   762.2   931.7  1561.4  5954.6 29026.0  22441.0    22532
read      415.5   405.6   148.8   202.5   217.0   349.7   429.2   476.8   516.2   566.3   632.7   772.8  1485.5  4220.3 20744.0  60458.5    60653
read      417.7   580.3   148.8   200.8   215.2   344.1   422.2   469.4   508.0   556.6   626.5   761.9  1455.7  7907.3 30166.5  59038.0    59076
read      411.1   351.9   148.8   202.7   217.6   350.3   428.9   476.5   515.9   567.1   637.1   780.1  1280.9  4488.4 12668.8  59695.5    60154
read      430.6   292.4   148.8   200.7   214.9   369.9   467.1   520.3   558.7   610.2   691.6   859.8  1360.9  3431.2  8880.5  23075.5    22964
read      452.5   964.5   160.7   210.8   230.6   361.2   410.1   441.8   466.2   495.9   539.5   663.0  1953.3 11674.4 32329.6   8231.5     8172
read      444.6   500.3   148.8   198.8   213.5   357.4   460.7   519.1   562.0   618.0   712.5   904.9  1483.4  5790.4 23472.2  27451.0    27652
read      407.8   363.5   148.8   198.9   212.8   347.1   435.4   489.1   528.9   575.9   636.0   755.0  1281.0  2066.3 11508.0  37637.5    37594
read      445.9   707.0   148.8   198.8   213.2   358.6   455.6   504.9   541.2   586.9   663.7   868.1  1506.6 10480.4 38514.3  24286.5    24367
read      419.0   493.7   148.8   200.1   214.3   345.8   439.3   495.3   535.3   581.6   639.9   777.4  1254.2  8156.7 16018.8  33771.0    33771
read      403.3   343.9   148.8   205.4   221.6   348.5   422.0   467.7   504.7   552.3   618.4   737.0  1181.3  3288.1 12804.9  84702.0    84944
read      429.4   484.8   148.8   208.1   225.5   362.4   437.7   485.0   522.4   572.4   648.3   807.6  1293.6  7071.4 15499.3  85992.0    85666
read      424.9   473.9   148.8   202.2   216.7   349.3   433.4   486.7   529.7   583.3   652.1   793.0  1558.5  5537.4 19831.4  51564.0    51918
read      419.0   469.5   148.8   200.9   215.1   353.5   448.6   503.8   543.3   587.0   642.0   751.9  1206.9  8316.3 12898.2  34503.5    34406
read      396.3   226.6   148.8   199.6   213.5   346.2   442.9   495.2   531.3   570.9   620.4   715.7  1064.1  1780.9  8183.3  28644.5    28664
read      418.7   607.0   148.8   199.6   213.6   341.7   430.1   486.0   526.8   572.2   628.7   745.7  1268.8 11075.5 25443.0  37947.0    38289
read      435.3   385.9   148.8   202.1   216.3   377.1   469.5   515.5   549.0   597.8   680.7   839.1  1361.2  4373.4 12867.5  20757.5    20658
read      433.3   827.8   160.7   205.9   220.8   380.1   442.4   474.2   498.7   529.2   573.9   682.5  1335.8  8676.5 37065.9  13937.0    13840
