Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715609646152
Timestamp end: 1715610546960

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      425.5   555.6   160.7   214.6   234.5   361.8   404.9   431.4   454.6   484.9   530.2   669.6  1910.9  8072.0 16964.2   7334.0     7434
read      439.0   481.5   148.8   205.4   221.8   363.0   447.2   498.1   537.3   587.3   663.5   809.2  1660.7  6544.0 10216.5  66679.5    67201
read      447.8   611.5   148.8   208.4   227.4   370.5   448.6   496.3   534.0   582.7   655.6   802.2  1573.5  8543.7 30057.2  85777.0    85927
read      404.2   287.0   148.8   200.5   215.9   351.2   430.5   478.6   516.8   564.2   630.7   749.7  1212.7  2719.5  9585.9  63783.0    63953
read      443.9   720.9   148.8   200.2   214.8   360.6   451.2   505.5   545.4   589.2   647.5   773.3  1344.3  8648.5 31875.6  31731.0    31595
read      472.8   572.3   160.7   215.4   237.0   396.0   481.6   537.6   582.1   640.0   727.7   891.1  1474.7  6448.0 30326.9  87965.5    87879
read      393.2   447.3   160.7   216.1   237.5   351.0   387.8   407.4   425.2   447.4   483.9   565.8  1321.1  7919.4 15393.3   7276.0     7287
read      423.8   461.7   148.8   202.3   217.3   350.9   429.0   476.8   516.2   567.9   638.6   794.5  1631.7  6057.7 11944.1  61950.0    62295
read      441.8  1063.5   160.7   216.5   240.4   348.4   384.4   404.2   421.7   441.1   471.5   549.7  2312.7 12649.3 33983.1   6589.5     6561
read      426.9   441.3   148.8   197.9   212.5   366.0   452.7   499.4   532.5   572.3   632.5   809.5  1442.0  5062.1 17362.7  22409.5    22532
read      416.0   457.7   148.8   202.0   217.4   349.5   428.6   475.3   512.6   559.3   623.9   751.5  1361.8  5738.3 15826.6  60489.5    60653
read      414.7   471.8   148.8   204.0   219.2   355.2   435.1   482.8   521.1   567.7   630.0   742.6  1249.8  6423.3 17375.2  58593.5    59076
read      415.9   281.8   148.8   205.2   220.9   360.5   443.4   493.5   532.7   581.8   648.6   780.2  1257.5  2743.2  8144.5  59878.0    60154
read      443.2   501.6   148.8   199.6   214.4   371.1   461.9   511.6   547.2   594.3   676.2   844.8  1544.1  8145.4 13141.4  22817.0    22964
read      558.2  1693.5   160.7   211.6   233.6   370.5   419.4   451.2   477.5   513.7   576.7   815.9  4126.6 25654.0 37027.9   8232.5     8172
read      440.4   363.3   148.8   201.7   216.4   367.0   467.5   527.6   571.1   625.3   721.3   912.4  1349.2  4954.4 13035.2  27689.5    27652
read      417.3   487.0   148.8   199.7   214.4   353.4   441.0   494.0   533.6   579.3   634.6   742.2  1252.1  7112.4 25355.0  37425.0    37594
read      467.7   679.5   160.7   201.6   216.7   376.8   479.8   536.1   577.4   632.4   730.5   936.9  1530.7 13164.2 30780.4  24476.0    24367
read      411.3   336.0   148.8   198.2   213.2   351.4   439.9   492.4   529.7   572.3   629.7   752.8  1275.2  3836.9 10767.7  33725.0    33771
read      567.0  1395.4   148.8   215.5   236.6   398.1   463.8   507.5   546.6   602.6   696.9   911.5  4089.4 20338.1 35602.4  84915.5    84944
read      438.6   292.6   148.8   210.5   229.6   375.0   454.6   505.6   545.1   598.2   677.6   851.9  1585.1  2883.6  8442.7  85675.0    85666
read      412.2   440.4   148.8   202.1   216.8   351.5   432.7   483.1   521.3   568.2   631.7   750.0  1310.6  3826.8 15923.8  52247.0    51918
read      418.0   416.8   148.8   201.3   216.4   360.1   449.7   503.8   542.8   587.9   641.2   743.0  1194.2  5190.6 11560.5  34500.0    34406
read      426.4   596.5   160.7   202.0   216.2   359.9   453.5   504.8   540.2   581.1   632.3   740.3  1228.3  7917.1 31414.8  28420.0    28664
read      423.5   311.7   148.8   202.6   217.8   362.8   452.1   507.7   548.8   600.5   668.4   796.2  1339.9  3979.7 10531.1  38218.5    38289
read      455.7   544.4   160.7   201.8   216.7   382.5   472.8   523.2   559.2   608.0   697.5   886.1  1415.1  7909.2 17087.8  20577.5    20658
