2024-05-09T16:58:06.356011 start scheduler
2024-05-09T16:58:06.379877 custom scheduler memcached+pid%3D10222
2024-05-09T16:58:06.380267 custom scheduler scheduler+pid%3D10222
2024-05-09T16:58:06.380548 custom scheduler unstable+%28CURR+0+-+0+QPS%29
2024-05-09T16:58:06.382024 update_cores memcached [0,1]
2024-05-09T16:58:06.451200 custom scheduler stable+%2887672+QPS%29
2024-05-09T16:58:06.711758 start freqmine [2,3] 3
2024-05-09T16:58:07.043720 start canneal [2,3] 3
2024-05-09T16:58:07.107439 custom scheduler stable+%2854138+QPS%29
2024-05-09T16:58:07.426523 start dedup [1] 1
2024-05-09T16:58:07.452895 pause dedup
2024-05-09T16:58:07.813287 custom scheduler stable+%2851876+QPS%29
2024-05-09T16:58:08.513456 custom scheduler stable+%2851135+QPS%29
2024-05-09T16:58:09.216714 custom scheduler stable+%2851161+QPS%29
2024-05-09T16:58:09.923699 custom scheduler stable+%2851402+QPS%29
2024-05-09T16:58:10.623523 custom scheduler stable+%2851448+QPS%29
2024-05-09T16:58:11.340601 custom scheduler stable+%2850885+QPS%29
2024-05-09T16:58:12.042459 custom scheduler stable+%2851397+QPS%29
2024-05-09T16:58:12.755640 custom scheduler stable+%2851202+QPS%29
2024-05-09T16:58:13.458884 custom scheduler stable+%2851159+QPS%29
2024-05-09T16:58:14.174662 custom scheduler stable+%2851166+QPS%29
2024-05-09T16:58:14.879053 custom scheduler stable+%2851221+QPS%29
2024-05-09T16:58:15.580497 custom scheduler stable+%2851399+QPS%29
2024-05-09T16:58:16.283765 custom scheduler stable+%2851622+QPS%29
2024-05-09T16:58:16.347164 custom scheduler unstable+%28CURR+87092+-+53259+QPS%29
2024-05-09T16:58:16.994841 custom scheduler stable+%2873103+QPS%29
2024-05-09T16:58:17.646291 custom scheduler stable+%2882468+QPS%29
2024-05-09T16:58:18.359220 custom scheduler stable+%2882261+QPS%29
2024-05-09T16:58:19.078010 custom scheduler stable+%2881867+QPS%29
2024-05-09T16:58:19.144718 custom scheduler unstable+%28CURR+122532+-+82979+QPS%29
2024-05-09T16:58:19.209517 custom scheduler stable+%2882936+QPS%29
2024-05-09T16:58:19.875640 custom scheduler stable+%2883295+QPS%29
