Random waveform, random seed
Total number of intervals = 90 (50621, 81599, 93117, 63906, 8885, 39176, 18723, 77868, 7672, 73235, 43102, 68989, 27213, 81586, 67547, 12590, 86343, 21634, 75560, 63556, 14527, 42782, 92246, 57638, 21671, 33584, 89532, 41145, 43342, 6884, 40615, 65331, 14515, 45539, 71964, 44990, 66140, 30208, 66392, 77051, 49748, 40302, 22609, 27691, 35387, 78711, 17700, 76223, 5595, 37943, 95290, 17136, 10282, 56183, 73310, 56213, 10120, 80861, 47200, 52077, 39452, 90573, 53781, 76295, 64443, 90668, 38329, 19195, 24272, 39851, 56324, 64133, 24236, 16576, 6375, 43042, 99901, 77858, 31926, 54903, 36257, 65255, 58644, 15503, 23074, 50984, 7435, 83527, 20065, 24209)
Average QPS expected = 47963
Timestamp start: 1715273885892
Timestamp end: 1715274786381

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      461.6   494.3   160.7   220.5   236.5   378.6   471.3   528.7   572.6   626.4   707.0   891.0  1661.5  5961.4 17705.5  50714.7    50621
read      461.2   455.3   160.7   224.6   244.1   390.2   469.7   522.2   564.2   619.9   705.1   876.2  1552.2  5246.2 15101.2  81729.7    81599
read      564.5   533.3   160.7   243.9   275.4   472.5   584.6   663.7   730.8   818.9   936.1  1116.1  1595.4  6800.4 21735.0  92977.0    93117
read      426.0   409.6   160.7   216.7   231.8   362.3   441.5   492.5   532.1   581.5   648.4   787.1  1368.8  3789.6 13909.6  63802.7    63906
read      436.2   558.9   173.5   230.4   250.7   398.9   458.9   493.1   517.5   545.5   582.1   637.0   923.9  7594.7 27624.6   8880.1     8885
read      430.6   400.5   160.7   219.2   233.8   366.8   463.8   519.9   559.2   604.5   664.7   782.3  1218.0  3587.8 12599.5  39257.7    39176
read      475.3   512.3   160.7   222.0   239.1   418.1   511.3   574.8   622.2   677.8   744.3   844.6  1070.7  7553.8 28944.3  18773.0    18723
read      457.2   579.0   148.8   221.4   239.2   382.5   459.4   507.0   546.0   596.8   675.0   844.8  1579.7  6919.8 29993.1  77983.7    77868
read      422.7   426.1   173.5   236.2   257.2   392.6   443.9   472.0   494.8   520.5   551.9   606.7   813.4  7251.0 15756.0   7706.6     7672
read      430.9   395.2   160.7   221.8   238.1   367.6   443.7   491.7   530.1   579.3   648.8   790.0  1395.4  4454.9 13644.5  73110.0    73235
read      428.6   398.5   160.7   219.6   234.0   365.5   457.8   512.5   552.4   599.3   659.5   770.3  1231.0  3449.3 13524.1  42992.7    43102
read      439.5   428.9   160.7   223.1   239.9   371.1   451.3   500.6   540.5   591.4   665.4   811.1  1456.9  4314.9 15182.2  69055.1    68989
read      506.9   510.1   160.7   225.6   242.7   421.2   541.5   621.6   690.4   779.1   878.4  1019.9  1318.2  5308.6 16002.8  27218.6    27213
read      457.0   503.8   160.7   226.4   245.8   386.2   462.0   509.6   549.1   601.5   680.0   841.0  1510.6  6953.1 18162.0  81481.1    81586
read      428.8   352.8   160.7   222.9   239.4   367.9   447.5   497.5   537.0   586.1   655.0   784.6  1255.6  3912.2 12150.5  67597.6    67547
read      473.6   464.1   160.7   233.7   253.6   431.5   513.1   560.6   592.9   629.8   676.3   747.3  1039.1  6321.6 16546.9  12574.9    12590
read      461.9   450.0   160.7   231.8   253.7   398.6   473.9   522.8   561.9   614.9   695.1   863.1  1396.1  3997.8 15865.7  86147.2    86343
read      519.2   544.5   160.7   233.8   253.8   451.3   557.8   631.8   689.8   756.5   839.2   957.5  1269.7  6244.9 25050.3  21616.2    21634
read      440.8   430.6   160.7   225.9   243.8   377.1   453.7   501.5   540.0   590.0   664.7   807.2  1356.8  4510.8 15258.1  75597.1    75560
read      436.3   409.3   160.7   222.4   238.9   371.5   452.7   503.0   542.3   591.6   663.8   805.2  1342.6  3797.6 14947.7  63576.8    63556
