Random waveform, random seed
Total number of intervals = 84 (88626, 16337, 66283, 46200, 62066, 57756, 12283, 46162, 6831, 5881, 91975, 63184, 23752, 55975, 88086, 64048, 22862, 97947, 5621, 89500, 83223, 42215, 74127, 26343, 86363, 79748, 56121, 85680, 9356, 76906, 77747, 62902, 34194, 66529, 14310, 19457, 65055, 28354, 66116, 5328, 13168, 14707, 28601, 34319, 87240, 86501, 18676, 54553, 47156, 78712, 26259, 6207, 55802, 36073, 20848, 79664, 65159, 64792, 79031, 73753, 93336, 35380, 54141, 51520, 82237, 81892, 79594, 40337, 53134, 42010, 47690, 31304, 52689, 57420, 63282, 64522, 90723, 8510, 99917, 53124, 63172, 23120, 66020, 93996)
Average QPS expected = 53235
Timestamp start: 1715470447501
Timestamp end: 1715471287933

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      430.0   588.3   148.8   206.4   223.3   355.3   428.3   474.7   511.8   560.5   627.6   746.6  1570.1  7875.0 28876.3  88548.3    88626
read      446.9   734.7   148.8   203.4   216.7   373.1   453.5   494.8   527.6   575.5   657.7   795.1  1378.6  8767.7 31598.4  16297.3    16337
read      389.8   330.4   148.8   199.3   213.1   334.4   406.9   454.5   491.0   536.6   599.4   701.9  1272.4  2921.5 11776.5  66400.4    66283
read      390.8   427.4   148.8   196.9   210.7   331.0   410.3   464.0   504.4   550.7   611.4   691.7  1092.4  4278.5 18478.9  46287.8    46200
read      382.4   307.1   148.8   198.4   212.3   332.1   404.1   451.9   488.9   534.8   595.6   688.6  1080.9  2111.8 12077.7  62164.9    62066
read      387.8   376.7   148.8   199.1   212.9   334.1   404.4   453.6   491.7   538.2   600.6   692.1  1147.7  2744.6 15686.2  57807.5    57756
read      429.1   808.1   160.7   204.8   218.4   361.9   424.2   457.4   482.4   515.4   575.2   687.3  1333.6  9860.0 36325.9  12303.5    12283
read      387.5   365.6   148.8   198.5   212.5   333.2   408.4   460.5   500.8   547.9   607.2   686.3  1061.4  3923.4 12299.8  46166.1    46162
read      391.0   821.0   160.7   210.0   227.8   326.8   365.8   388.4   404.0   428.2   462.7   534.4  1261.9 10090.1 35191.8   6836.6     6831
read      380.8   631.4   160.7   213.9   233.6   321.6   355.9   375.4   392.5   413.4   447.1   511.5  1329.9 10260.1 28165.4   5874.0     5881
read      382.1   332.1   148.8   202.0   217.2   337.7   404.4   447.8   480.6   521.6   577.7   670.7   953.1  3311.9 13153.5  91869.6    91975
read      390.8   417.3   148.8   197.6   211.3   332.6   407.9   457.4   495.6   542.0   604.1   699.8  1104.6  3993.5 14813.3  63187.0    63184
