Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715598704172
Timestamp end: 1715599604728

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      454.4   938.4   160.7   223.9   245.8   368.2   409.2   433.3   454.7   482.4   528.7   633.1  2099.2 12751.7 36420.3   7394.6     7434
read      419.0   435.4   148.8   204.7   220.0   347.8   427.5   479.3   521.1   572.4   640.7   777.1  1471.8  4789.7 14235.8  67201.7    67201
read      423.5   457.5   148.8   207.5   224.5   358.0   433.1   482.7   522.7   574.1   647.2   788.0  1268.2  6685.8 16154.3  85924.3    85927
read      419.9   370.1   148.8   205.4   220.6   352.9   435.5   488.3   529.6   580.8   650.2   786.9  1442.6  4347.0 12639.4  64024.8    63953
read      410.1   417.5   148.8   200.1   214.0   345.6   444.1   500.7   539.1   581.1   632.0   732.1  1168.2  4654.9 13637.3  31544.5    31595
read      418.0   416.5   148.8   208.0   225.1   358.2   432.6   480.2   518.5   567.7   636.3   767.0  1256.5  4698.8 14390.1  87887.0    87879
read      427.4   844.4   160.7   219.8   240.1   357.3   396.6   419.6   435.8   460.9   499.0   586.9  1865.7 11721.7 37477.1   7326.8     7287
read      406.5   383.6   148.8   203.0   217.4   341.6   420.5   470.3   511.8   564.7   632.3   755.5  1336.8  4035.4 12961.9  62153.0    62295
read      423.3   793.3   160.7   223.0   245.7   354.2   392.3   414.4   431.8   457.3   495.6   571.6  1773.8 11711.2 31869.7   6531.7     6561
read      441.2   602.8   148.8   203.1   217.3   367.4   463.3   512.7   546.2   587.0   650.8   822.7  1434.1  7789.1 30983.7  22509.5    22532
read      416.7   451.3   148.8   203.4   218.2   347.1   429.2   481.7   523.9   576.6   645.6   781.2  1420.6  4427.0 16862.2  60630.2    60653
read      413.0   411.5   148.8   203.8   218.7   347.7   430.5   483.3   525.1   575.8   640.9   761.0  1313.2  4874.5 12843.6  59040.8    59076
read      411.0   416.9   148.8   204.8   220.1   344.3   425.7   477.5   519.6   570.6   635.6   753.9  1309.5  4319.5 14879.7  60166.1    60154
read      450.2   604.4   148.8   204.2   219.0   371.0   472.1   524.9   561.1   605.0   675.3   844.6  1455.0  8290.8 30477.4  22991.5    22964
read      460.7   932.2   160.7   217.2   236.2   369.5   418.2   448.4   471.4   505.1   551.1   666.6  2325.2 12700.0 32266.3   8141.4     8172
read      414.8   522.1   148.8   200.1   213.9   347.3   445.6   497.7   533.2   571.6   618.7   706.1  1189.5  7743.3 22472.5  27619.3    27652
read      409.2   374.2   148.8   200.4   214.3   344.5   437.2   495.4   537.8   585.2   641.4   746.6  1218.3  4308.3 12835.4  37605.4    37594
read      450.2   563.2   148.8   201.6   215.9   367.7   473.0   528.3   567.0   616.7   699.4   873.9  1477.4  6824.5 28787.6  24330.6    24367
read      414.4   448.5   148.8   200.4   214.5   345.6   441.4   499.8   541.1   586.7   640.5   742.1  1233.7  5985.8 14622.8  33755.4    33771
read      415.6   420.0   137.8   205.4   221.6   350.7   425.4   472.6   511.3   562.1   632.8   772.7  1385.1  4642.2 15340.8  84846.5    84944
read      418.4   402.4   148.8   207.4   224.2   357.8   433.9   482.6   521.5   570.9   638.7   775.4  1220.8  4932.6 13800.9  85729.0    85666
read      410.7   384.1   148.8   202.1   216.2   345.3   430.0   483.9   527.0   579.4   642.4   759.8  1317.7  3943.0 12715.4  52007.3    51918
read      416.0   499.5   148.8   200.5   214.5   345.2   442.2   501.6   543.6   588.6   642.5   746.5  1232.4  5439.3 26907.7  34364.0    34406
read      411.2   440.5   148.8   200.2   214.1   347.4   447.8   502.1   539.1   580.2   630.0   725.3  1179.4  4653.2 15133.0  28717.8    28664
read      406.8   431.2   148.8   199.1   213.1   338.2   429.0   486.5   529.4   576.8   632.1   732.3  1235.7  4677.4 12907.0  38295.2    38289
read      447.5   638.3   148.8   202.9   217.3   375.2   467.9   515.2   548.6   590.2   660.1   805.7  1458.2  9281.3 30182.9  20605.5    20658
read      440.7   746.1   160.7   206.4   221.9   377.6   443.1   478.1   504.7   539.7   593.7   718.8  1551.9  9372.0 32316.0  13814.6    13840
read      432.4   443.9   148.8   212.8   231.7   371.3   448.6   497.5   536.0   585.5   657.8   793.4  1206.6  4904.4 15909.7  93478.2    93419
read      445.5   447.4   148.8   215.7   235.9   383.2   463.9   516.3   559.0   615.6   693.8   836.9  1210.3  4282.6 17157.5  98277.7    98284
read      411.0   379.7   148.8   204.1   219.2   346.7   426.1   475.4   514.3   564.2   631.9   759.0  1400.0  4144.0 12532.0  71441.7    71313
read      411.2   441.0   148.8   200.5   214.7   343.0   431.0   487.6   531.3   581.3   639.9   745.4  1230.1  5492.7 14099.4  42057.1    42089
read      416.8   420.6   148.8   201.4   215.3   346.5   434.7   491.9   535.7   587.1   651.0   768.9  1333.7  5997.0 15186.3  46591.2    46458
read      402.5   319.0   148.8   199.0   213.0   342.4   440.3   496.6   535.5   578.0   628.8   721.7  1145.0  3916.2  9854.4  30773.0    30755
read      411.3   376.6   148.8   201.4   215.5   346.0   433.4   489.4   532.9   583.5   643.1   750.3  1284.1  4348.4 12487.4  42820.8    42889
read      421.7   457.8   148.8   209.1   226.8   360.6   435.2   484.1   522.9   573.0   643.2   782.9  1214.9  4498.3 15302.8  93474.7    93552
read      408.6   408.8   148.8   203.7   218.5   345.9   425.5   475.0   515.1   564.6   629.8   743.1  1238.6  5106.6 15264.8  65866.2    65694
read      428.4   535.1   148.8   200.7   214.7   348.2   448.6   505.7   545.7   589.3   641.8   760.6  1354.8  7992.9 20857.2  29559.2    29574
read      412.1   453.3   148.8   200.6   214.8   341.6   425.3   479.1   521.9   573.9   637.8   756.3  1347.7  5740.6 12909.4  51349.4    51355
read      417.2   518.6   148.8   202.8   217.5   343.7   422.5   471.4   511.1   562.9   632.4   761.9  1470.3  6909.4 21991.5  67526.6    67361
read      439.4   575.3   148.8   203.5   218.3   379.0   454.4   494.9   526.0   567.2   632.8   769.1  1472.5  8330.4 28531.0  16390.7    16287
read      404.8   462.5   148.8   202.9   218.0   342.4   416.0   462.7   500.8   549.3   620.0   745.6  1232.5  4108.6 17254.1  81474.6    81508
read      401.2   428.1   148.8   203.4   219.0   342.2   411.0   455.0   489.7   534.6   597.3   722.2  1288.6  4678.4 14339.9  87594.1    87619
read      428.7   432.5   148.8   211.0   230.2   367.1   440.2   488.2   526.9   577.7   650.8   793.8  1274.8  4611.6 15192.1  98891.1    99068
read      404.6   447.4   148.8   199.8   213.9   336.6   419.3   473.0   516.5   568.6   630.9   737.0  1250.8  5707.6 16237.6  51378.6    51267
read      434.6   716.9   148.8   208.7   225.2   375.5   432.5   463.5   488.2   519.5   566.9   669.3  1425.7 10186.9 31285.4  11826.4    11822
read      430.0   412.3   148.8   208.8   227.3   364.9   440.6   492.1   533.9   589.5   674.0   825.3  1318.9  4479.0 16209.3  97556.3    97494
read      432.0   449.5   148.8   210.0   228.7   367.7   444.8   496.0   538.2   592.8   674.3   814.0  1208.1  5542.6 14891.9  97241.0    97350
read      400.9   366.9   148.8   199.6   213.7   338.0   418.1   469.1   510.5   563.1   627.5   740.8  1288.3  3047.6 14966.6  55410.4    55460
read      406.9   439.0   148.8   204.3   220.2   346.2   418.9   465.2   502.3   549.1   617.9   740.5  1209.2  5637.0 16500.2  85993.6    85984
read      405.9   415.7   148.8   203.6   219.1   343.4   417.1   463.6   501.3   549.1   618.4   747.1  1297.6  4683.8 13228.6  82156.3    82043
read      422.8   516.0   148.8   202.0   216.1   345.5   430.8   485.6   529.2   582.1   650.5   781.4  1462.2  6967.4 21735.4  52975.8    52873
read      433.8   619.9   160.7   206.1   221.5   378.9   442.9   474.9   499.6   531.2   579.0   690.3  1621.1  8186.7 30148.8  13930.0    13911
read      413.1   421.7   148.8   200.3   214.6   342.4   427.7   483.0   527.2   580.7   646.9   776.9  1382.7  4192.9 15618.4  49847.8    49984
read      465.3   957.3   160.7   215.4   233.7   375.6   426.7   456.7   479.5   509.2   563.5   695.8  2311.9 13404.3 36352.0   9328.9     9274
