Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715611881312
Timestamp end: 1715612782119

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      416.2   559.0   160.7   220.1   242.3   366.9   410.6   438.1   462.7   494.5   540.5   652.7  1138.7  7478.8 28461.7   7411.5     7434
read      443.0   589.8   148.8   204.9   221.7   360.9   441.1   492.7   532.8   583.0   659.6   808.5  1757.8  7226.9 30908.6  66765.0    67201
read      439.1   554.0   148.8   206.7   224.9   367.2   445.8   496.5   536.8   589.5   669.9   824.9  1310.8  7546.3 27734.2  86090.0    85927
read      406.1   314.2   148.8   200.1   215.2   347.5   429.2   477.7   517.1   566.5   635.6   761.0  1271.3  2906.2  9906.5  64123.5    63953
read      412.1   533.1   148.8   198.4   213.4   346.9   433.9   484.0   519.7   560.3   613.3   716.4  1150.8  9320.3 24579.9  31478.0    31595
read      474.0   550.0   148.8   208.2   228.9   385.0   470.3   527.8   575.1   637.1   737.0   937.7  1859.8  7128.9 25312.4  87647.5    87879
read      393.4   395.5   160.7   216.0   238.3   352.1   389.8   411.1   429.3   453.8   492.1   582.1  1390.1  5698.9 13192.7   7320.0     7287
read      424.0   489.1   148.8   199.4   215.1   353.5   433.2   483.7   523.0   573.2   644.3   797.2  1438.8  6112.6 17125.1  62011.5    62295
read      397.1   352.2   160.7   219.1   241.9   353.4   393.5   418.6   437.5   466.8   506.5   586.0  1279.1  5412.9  8579.8   6616.5     6561
read      432.8   374.4   148.8   201.3   216.7   372.2   463.8   513.0   547.1   590.9   677.9   830.0  1425.7  3653.4 10391.8  22461.0    22532
read      415.9   486.7   148.8   201.1   216.3   349.4   429.1   479.7   519.8   569.6   635.5   752.6  1279.3  5512.8 16081.6  60824.0    60653
read      409.3   269.6   148.8   201.2   216.7   352.4   433.1   484.5   524.6   573.3   642.7   777.6  1298.4  2495.5  8527.8  59109.0    59076
read      397.2   238.3   148.8   199.2   214.5   345.4   424.8   475.0   514.7   561.9   626.3   743.2  1159.9  2251.5  7987.0  60096.0    60154
read      467.3   775.8   148.8   203.3   219.0   375.9   472.8   525.8   565.7   624.5   734.8   898.4  1466.0 10221.9 33020.0  23094.5    22964
read      392.2   548.6   160.7   216.9   237.2   355.1   394.3   416.1   431.6   453.9   486.6   554.6   938.9  8708.2 30581.7   8063.0     8172
read      419.9   385.1   148.8   202.2   218.0   362.7   453.7   506.8   542.2   582.9   640.8   762.8  1203.5  3971.6 12717.1  27652.5    27652
read      422.1   524.6   148.8   198.4   213.5   348.9   435.1   488.5   527.1   572.2   633.2   769.3  1315.8  8071.9 15658.5  37613.5    37594
read      461.9   618.9   148.8   200.7   216.6   371.6   471.2   528.7   572.3   636.1   762.2   940.7  1455.1  8225.8 19802.1  24569.0    24367
read      409.1   261.0   148.8   200.4   215.5   358.0   445.8   499.2   537.6   581.8   641.6   751.3  1178.8  2173.4  9175.8  33553.5    33771
read      414.9   349.9   148.8   203.6   220.3   356.1   431.0   479.3   517.2   564.4   632.5   769.6  1286.9  4545.4 10910.0  84974.5    84944
read      429.7   521.3   148.8   205.5   223.4   365.9   442.2   491.7   532.8   585.2   659.0   788.6  1201.4  6391.6 29941.7  85388.5    85666
read      398.1   389.0   148.8   197.5   211.9   341.6   417.9   465.5   503.2   548.8   610.5   721.1  1199.6  4413.7 12654.9  52267.0    51918
read      410.8   269.8   148.8   201.7   217.3   359.2   447.3   499.5   537.5   581.7   640.3   745.3  1165.7  3293.4  7765.8  34290.0    34406
read      421.6   642.7   148.8   199.2   213.7   351.5   439.8   488.5   521.9   559.3   610.3   715.0  1112.3  9819.7 30998.9  28490.0    28664
read      415.1   387.6   148.8   200.8   215.9   355.8   443.0   499.0   538.8   584.6   656.8   770.3  1221.0  4315.3 12408.0  38270.5    38289
read      422.6   502.0   148.8   203.0   218.2   369.2   453.6   495.5   524.9   559.7   614.0   741.3  1156.6  5824.6 16141.4  20534.5    20658
