Random waveform, supplied seed
Total number of intervals = 320 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999)
Average QPS expected = 50456
Timestamp start: 1715607578948
Timestamp end: 1715608539674

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      448.7  1078.7   160.7   217.4   238.3   353.8   393.1   415.5   431.8   455.8   497.3   616.6  2367.7 19851.2 32473.1   7374.3     7434
read      411.4   416.9   148.8   203.0   217.8   348.6   424.3   470.7   508.4   558.9   629.5   764.0  1282.9  5270.7 12737.4  67007.3    67201
read      482.3   738.0   148.8   207.0   225.4   372.4   449.3   501.1   545.7   608.7   713.8   987.6  2011.4 10475.3 31252.9  85821.0    85927
read      402.3   454.2   148.8   200.4   214.7   338.8   412.5   458.8   495.6   542.1   607.6   730.6  1392.0  5250.6 14467.7  63804.0    63953
read      415.0   442.2   148.8   198.6   212.2   342.7   434.5   488.3   527.9   572.5   630.6   762.8  1283.0  5697.1 15688.2  31609.7    31595
read      396.1   387.3   148.8   203.4   219.0   339.8   406.7   449.6   483.4   529.2   594.2   719.8  1157.0  5536.7 12514.6  87741.3    87879
read      414.3   713.6   160.7   216.4   237.8   353.2   395.0   421.1   441.4   468.1   514.5   613.0  1544.3  8153.5 34175.9   7304.0     7287
read      412.7   417.3   148.8   200.2   214.8   343.0   418.2   464.3   502.0   551.6   627.3   787.8  1586.2  4748.2 12705.2  62017.0    62295
read      392.7   505.7   160.7   220.4   243.7   346.8   380.1   399.1   414.4   432.7   463.8   536.7  1426.4  7908.1 13446.4   6576.7     6561
read      412.8   497.6   148.8   196.6   210.3   348.1   434.0   475.6   505.7   542.2   591.6   731.9  1376.3  7062.1 20850.3  22612.7    22532
read      416.6   447.9   148.8   203.2   218.0   349.4   428.7   476.7   514.8   565.6   636.1   781.8  1420.4  5381.9 13391.0  60535.0    60653
read      392.4   353.9   148.8   199.0   213.4   334.3   406.8   453.2   489.7   536.5   601.8   724.3  1258.0  3872.5 10975.1  59174.3    59076
read      388.5   401.7   148.8   197.7   211.6   329.0   399.1   444.7   481.2   529.4   593.1   707.5  1235.4  4064.7 12919.6  59951.0    60154
read      418.2   428.0   148.8   199.8   213.4   357.7   448.1   495.1   529.7   570.4   629.0   774.6  1268.2  5370.5 10701.7  23019.3    22964
read      423.3   639.4   160.7   212.5   233.0   360.2   405.8   432.2   454.2   482.8   530.8   649.8  1775.6  7802.2 27398.2   8235.7     8172
read      440.1   572.5   148.8   198.2   212.7   350.0   447.7   503.2   544.9   595.8   686.9   907.5  1478.3  7893.4 28377.0  27791.3    27652
read      409.2   614.2   148.8   197.2   211.3   336.7   419.9   469.7   508.3   553.5   610.6   714.0  1183.7 10663.1 25021.8  37500.3    37594
read      449.7   712.4   148.8   198.8   212.9   357.2   452.1   501.7   539.0   584.7   670.2   861.9  1687.5 11770.2 31205.1  24284.3    24367
read      403.6   431.7   148.8   196.5   210.4   338.2   424.5   475.7   513.5   557.5   614.5   730.9  1245.0  6502.6 15337.4  33652.7    33771
